loss_pol_surr,EpThisIter,ev_tdlam_before,loss_kl,loss_pol_entpen,TimestepsSoFar,loss_ent,EpRewMean,EpLenMean,loss_vf_loss,EpisodesSoFar,TimeElapsed
-0.0046343,2,-0.0178914070129,0.00388167,0.0,273446,0.912823,952.28,952.28,69.3822,1005,215.8438422679901
-0.00485262,3,-0.00357258319855,0.00836019,0.0,276446,0.896476,952.28,952.28,97.0142,1008,217.45321249961853
-0.012142,2,0.022722363472,0.00847217,0.0,278446,0.891424,952.28,952.28,59.5813,1010,219.06288290023804
-0.00650099,2,0.417385280132,0.00808105,0.0,280108,0.871631,951.73,951.73,39.6981,1012,220.6678946018219
-0.00814764,2,-0.000218510627747,0.00565129,0.0,282108,0.869894,951.73,951.73,69.3113,1014,222.2614119052887
-0.00543138,2,-0.00276947021484,0.00417559,0.0,284108,0.874403,951.73,951.73,68.8266,1016,223.8629331588745
-0.00651286,2,-0.0124937295914,0.00963787,0.0,286108,0.851125,951.73,951.73,69.136,1018,225.4726288318634
-0.00691581,3,0.0425493717194,0.00457216,0.0,288169,0.854235,946.66,946.66,89.1268,1021,227.06420922279358
-0.00761739,2,-0.00123023986816,0.00741269,0.0,290169,0.863003,946.66,946.66,68.2922,1023,228.68285608291626
-0.00546619,2,-0.0045360326767,0.00882756,0.0,292169,0.869808,946.66,946.66,68.2582,1025,230.27448415756226
-0.011451,2,0.137945890427,0.00900313,0.0,294169,0.849689,946.66,946.66,51.6137,1027,231.89086627960205
-0.00505729,2,-0.00697660446167,0.00518251,0.0,296169,0.830818,946.66,946.66,68.6303,1029,233.48951268196106
-0.00506861,2,0.00355803966522,0.0141706,0.0,298169,0.824006,946.66,946.66,68.3483,1031,235.09363508224487
-0.00580865,2,0.00540447235107,0.00964288,0.0,300169,0.830959,946.66,946.66,68.3495,1033,236.71862840652466
-0.0096326,2,0.00944638252258,0.00794571,0.0,302169,0.791067,954.04,954.04,67.9361,1035,238.33559727668762
-0.00410272,2,0.0146291851997,0.00422136,0.0,304169,0.805502,954.04,954.04,67.9983,1037,239.93945789337158
