EpRewMean,EpThisIter,ev_tdlam_before,loss_pol_entpen,loss_kl,TimeElapsed,TimestepsSoFar,EpLenMean,loss_vf_loss,loss_pol_surr,EpisodesSoFar,loss_ent
7268.07573409,2,0.471381187439,0.0,0.0187461,275.8756699562073,320649,780.94,3968.95,-0.00309295,4664,-0.42966
7328.45461647,2,0.376280367374,0.0,0.0201381,277.62909984588623,322640,787.43,4730.94,-0.00906969,4666,-0.437989
7227.04448764,4,0.524298608303,0.0,0.00998538,279.357061624527,325553,776.56,7866.08,-0.0104792,4670,-0.451646
7027.24405034,4,0.69211691618,0.0,0.0157295,281.10729479789734,327408,755.11,5859.24,-0.00965202,4674,-0.472249
7014.07611126,3,0.226205289364,0.0,0.024564,282.82723689079285,329556,753.69,6310.68,-0.00296774,4677,-0.477361
7004.69031528,4,0.637662708759,0.0,0.0122534,284.5827307701111,331456,752.68,5838.11,-0.00924724,4681,-0.475917
7038.26395728,2,0.160043120384,0.0,0.0125391,286.32532954216003,333456,756.28,4330.01,-0.00962638,4683,-0.464431
6894.45443054,6,0.579885363579,0.0,0.0124089,288.07665395736694,335686,740.84,8884.44,-0.0130869,4689,-0.481072
6830.30899473,5,0.78755363822,0.0,0.0275357,289.82698011398315,337897,733.96,5356.18,-0.00396385,4694,-0.488211
6848.53030827,3,0.506687223911,0.0,0.0178891,291.59970593452454,339611,735.92,4402.04,-0.0131507,4697,-0.494639
6516.36561917,6,0.641500532627,0.0,0.00985299,293.33561182022095,341962,700.24,9651.4,-0.0138828,4703,-0.510594
6523.72579128,2,0.305562734604,0.0,0.0197743,295.06927847862244,343368,701.03,4663.63,-0.00724449,4705,-0.519027
6515.50855997,3,0.365154981613,0.0,0.0198518,296.8090388774872,345445,700.15,6748.3,-0.0162638,4708,-0.536723
6566.83967752,3,0.264360547066,0.0,0.0164016,298.56875491142273,348128,705.66,7170.1,-0.00747606,4711,-0.550161
6633.56441508,2,0.364696383476,0.0,0.021693,300.30400943756104,349825,712.82,3993.93,-0.00551253,4713,-0.553847
6621.93115133,2,0.294463932514,0.0,0.042847,302.05432772636414,351316,711.57,5083.48,-0.00367185,4715,-0.548212
6561.95833031,3,0.415645956993,0.0,0.00950703,303.8045802116394,353671,705.12,5400.22,-0.0142965,4718,-0.555744
6511.95046777,3,0.12186217308,0.0,0.0165811,305.5616931915283,355734,699.75,7952.86,-0.0109256,4721,-0.55284
6538.82379083,3,0.567417830229,0.0,0.0158428,307.29551577568054,358319,702.65,5601.75,-0.0136206,4724,-0.565972
6610.90763487,2,-0.00992727279663,0.0,0.0323845,309.0614197254181,360319,710.39,5690.07,0.00115907,4726,-0.538632
6684.20875806,2,0.0408523082733,0.0,0.0194894,310.82735681533813,362319,718.26,4897.53,-0.00845823,4728,-0.540585
6716.11879896,2,-0.0619293451309,0.0,0.0107876,312.5706834793091,364319,721.68,5800.94,-0.00875415,4730,-0.528952
6834.80499249,2,0.396842896938,0.0,0.0184695,314.3199074268341,365996,734.43,4224.07,-0.00549809,4732,-0.531601
6844.8935753,2,-0.0128239393234,0.0,0.020308,316.0701744556427,367996,735.51,5559.56,-0.00870137,4734,-0.544359
6844.84619032,2,-0.0577210187912,0.0,0.0157198,317.8070192337036,369996,735.51,5858.75,-0.0088997,4736,-0.52376
6895.25749549,2,0.189272999763,0.0,0.0234875,319.5664789676666,371748,740.92,4913.89,-0.0103905,4738,-0.523058
6889.44183073,3,0.298945724964,0.0,0.0242051,321.3026919364929,374686,740.3,6773.07,-0.00790098,4741,-0.529579
6733.60112905,3,0.696513235569,0.0,0.0308686,323.03791666030884,375880,723.56,2044.22,-0.00716821,4744,-0.513252
6639.54187029,4,0.527266949415,0.0,0.0145947,324.78819942474365,377960,713.46,8032.21,-0.0126643,4748,-0.549524
6641.43867335,2,0.014798283577,0.0,0.0197446,326.52967500686646,379960,713.66,5048.33,-0.00705043,4750,-0.557788
6641.49667013,3,-0.0302832126617,0.0,0.0152348,328.2798912525177,382960,713.66,8235.5,-0.010633,4753,-0.551904
6525.9221211,3,0.584013074636,0.0,0.0285558,330.0232312679291,384718,701.24,4270.42,-0.00408395,4756,-0.556966
6595.29468546,2,0.645261496305,0.0,0.0260648,331.7579162120819,386479,708.68,4312.56,-0.00347573,4758,-0.565643
6562.93583425,3,0.266386687756,0.0,0.0202292,333.48376965522766,388609,705.18,6555.93,-0.0105023,4761,-0.575025
6276.70615506,6,0.729069709778,0.0,0.00938889,335.23622822761536,391082,674.42,7134.62,-0.018334,4767,-0.576457
6138.00827976,6,0.678938418627,0.0,0.0170027,336.9732623100281,392990,659.5,9060.94,-0.00815187,4773,-0.571713
6031.76682923,5,0.774067237973,0.0,0.0108003,338.70971632003784,394829,648.08,4661.86,-0.00978807,4778,-0.5878
6112.85461108,3,0.409862399101,0.0,0.00998616,340.4365677833557,397134,656.78,7568.66,-0.00981861,4781,-0.590395
5988.67843326,3,0.638858348131,0.0,0.0106183,342.1869549751282,398799,643.43,4254.74,-0.0118729,4784,-0.596092
6103.05459539,3,0.458040118217,0.0,0.0114223,343.9209735393524,400994,655.69,6438.85,-0.00659904,4787,-0.595461
6259.00509308,2,0.520160019398,0.0,0.0131736,345.67677545547485,402929,672.43,3756.22,-0.0120375,4789,-0.590253
6380.71295812,3,0.634706825018,0.0,0.0110272,347.4057309627533,405190,685.49,4787.43,-0.0112019,4792,-0.583791
6428.97911179,2,0.340771794319,0.0,0.00834063,349.1759920120239,406963,690.66,4692.62,-0.0116418,4794,-0.583664
6477.95672362,3,0.379564762115,0.0,0.013751,350.9123237133026,409202,695.91,6263.07,-0.0104786,4797,-0.56119
6570.79075339,2,-0.0679702758789,0.0,0.0355383,352.66019654273987,411202,705.87,5791.0,-0.00444207,4799,-0.554994
6734.97108344,2,-0.00691497325897,0.0,0.0122558,354.39612340927124,413202,723.49,5789.54,-0.00783147,4801,-0.555436
6818.02577207,2,-0.00358831882477,0.0,0.0566835,356.1463432312012,415202,732.4,5835.81,0.00183412,4803,-0.539347
