EpLenMean,TimeElapsed,EpRewMean,loss_pol_entpen,loss_ent,loss_kl,loss_vf_loss,loss_pol_surr,EpisodesSoFar,EpThisIter,TimestepsSoFar,ev_tdlam_before
50.0,353.94881796836853,-6.38758501942,0.0,-3.73811,4.87392,0.0239506,0.0777838,8151,41,407550,0.978292580694
50.0,355.7358500957489,-6.90710121677,0.0,-3.74145,0.0258775,0.0633175,-0.0137973,8192,41,409600,0.894662819803
50.0,357.4926173686981,-7.44516126911,0.0,-3.73947,0.0433239,0.0549249,-0.022394,8232,40,411600,0.93837595731
50.0,359.2739884853363,-7.77476438329,0.0,-3.74862,0.0184345,0.0752563,-0.0208559,8273,41,413650,0.964466884732
50.0,361.03053188323975,-8.47928230677,0.0,-3.752,0.0194452,0.0571008,-0.0232619,8314,41,415700,0.979939339682
50.0,362.8214466571808,-8.44044905841,0.0,-3.75605,0.0426331,0.0538266,-0.0115186,8355,41,417750,0.979166343808
50.0,364.58719420433044,-8.0157266448,0.0,-3.74321,0.0327842,0.0718332,-0.0172551,8396,41,419800,0.981086531654
50.0,366.36819887161255,-7.61090679676,0.0,-3.75734,0.0348431,0.0516134,-0.00904832,8437,41,421850,0.979846956208
50.0,368.11931920051575,-7.19908242845,0.0,-3.76671,0.0250639,0.0564238,-0.018002,8478,41,423900,0.978048734367
50.0,369.9309437274933,-7.10498671201,0.0,-3.80777,0.0293796,0.0508484,-0.0188781,8519,41,425950,0.985865858383
50.0,371.6801869869232,-7.86620138517,0.0,-3.81637,0.0317217,0.042854,-0.00488592,8560,41,428000,0.977648926899
50.0,373.4771730899811,-7.91568906345,0.0,-3.82859,0.0371176,0.0441105,-0.00463553,8601,41,430050,0.987117649987
50.0,375.24400210380554,-8.14888030426,0.0,-3.83341,0.0215847,0.0719156,-0.0202602,8642,41,432100,0.978770919144
50.0,377.024507522583,-7.32144231833,0.0,-3.82325,0.0322831,0.0370237,-0.0220014,8683,41,434150,0.984127406031
50.0,378.78204584121704,-7.44621987638,0.0,-3.85324,0.0338545,0.0312792,-0.0118162,8724,41,436200,0.989032334648
50.0,380.5789740085602,-7.48273771836,0.0,-3.8359,0.0413505,0.0328899,-0.010305,8765,41,438250,0.98689435143
