loss_pol_surr,TimeElapsed,EpRewMean,loss_vf_loss,loss_ent,TimestepsSoFar,loss_kl,EpisodesSoFar,loss_pol_entpen,ev_tdlam_before,EpThisIter,EpLenMean
-0.0496285,320.94471192359924,2697.69941964,872.01,5.13994,319024,0.0253628,1550,0.0,0.829464897513,3,645.0
-0.0545117,323.0241892337799,2712.26528104,184.587,5.09861,321277,0.0225172,1554,0.0,0.925376318395,4,646.52
-0.0546926,325.07788467407227,2739.52076161,281.286,5.09567,323379,0.0236028,1557,0.0,0.892847925425,3,650.23
-0.054609,327.1249237060547,2771.01010561,229.398,5.07627,325571,0.0313476,1560,0.0,0.891389861703,3,655.25
-0.0539659,329.156290769577,2794.36261744,298.304,5.04203,327423,0.0264122,1563,0.0,0.907174013555,3,659.36
-0.05047,331.2028353214264,2792.99004904,166.263,5.03475,329430,0.0288839,1566,0.0,0.932694256306,3,657.25
-0.0555863,333.2499189376831,2825.90808612,447.745,5.00708,331014,0.0299994,1568,0.0,0.792620435357,2,662.58
-0.06277,335.2968554496765,2866.96874109,224.075,4.98549,333435,0.0292898,1572,0.0,0.922052785754,4,669.41
-0.0444689,337.3284478187561,2866.73012714,939.39,5.01119,335331,0.0267487,1575,0.0,0.833858132362,3,668.6
-0.063009,339.3745517730713,2850.18623204,226.178,4.97678,337894,0.0251299,1580,0.0,0.917842797935,5,663.72
-0.0567432,341.43227458000183,2843.9598892,237.776,4.96925,339208,0.0292332,1582,0.0,0.881551995873,2,662.29
-0.049539,343.46105194091797,2810.1136188,1112.42,4.92778,341927,0.0315294,1586,0.0,0.776881068945,4,653.85
-0.0598196,345.4925377368927,2815.83092937,289.436,4.92751,343948,0.0265878,1589,0.0,0.919259473681,3,653.13
-0.061106,347.5239133834839,2805.52095324,251.915,4.91559,345746,0.0293457,1592,0.0,0.908578708768,3,650.18
-0.060829,349.5708420276642,2787.7370412,254.275,4.89043,347683,0.0287063,1596,0.0,0.922436028719,4,645.39
-0.0569094,351.6088664531708,2779.76199655,196.348,4.85584,349348,0.0268259,1599,0.0,0.915560469031,3,643.23
-0.0393036,353.62473225593567,2836.42787304,1752.43,4.84173,351876,0.0204704,1602,0.0,0.620309829712,3,654.81
-0.0381516,355.6715557575226,2854.617155,1551.42,4.79542,353876,0.0268559,1604,0.0,0.461874127388,2,658.05
-0.0448865,357.70270133018494,2869.09157208,923.297,4.82465,356037,0.0263024,1607,0.0,0.863745003939,3,660.89
-0.0509033,359.74962520599365,2878.70619233,974.568,4.82104,357633,0.032412,1609,0.0,0.677690923214,2,662.79
-0.0461586,361.78135323524475,2898.00145471,1558.59,4.80872,359981,0.0261278,1612,0.0,0.691104233265,3,666.03
-0.0393404,363.8281638622284,2931.90567901,842.167,4.79269,361852,0.0238198,1614,0.0,0.706808298826,2,672.56
-0.03186,365.85914516448975,2961.58129644,1259.37,4.80321,363852,0.034237,1616,0.0,0.452752232552,2,678.22
-0.033813,367.9061052799225,3007.21302497,1176.84,4.81628,365852,0.0264648,1618,0.0,0.485082507133,2,687.56
-0.0457378,369.9386098384857,3041.65735525,1575.89,4.79127,367852,0.0317474,1620,0.0,0.307429552078,2,694.25
-0.0431098,371.98417615890503,3054.78305943,1127.58,4.7793,369852,0.0233163,1622,0.0,0.556414067745,2,698.14
