loss_pol_surr,TimeElapsed,TimestepsSoFar,ev_tdlam_before,EpThisIter,EpRewMean,EpLenMean,loss_kl,loss_pol_entpen,EpisodesSoFar,loss_ent,loss_vf_loss
-0.00592305,227.95307898521423,289901,-0.0416411161423,2,867.44,867.44,0.00722861,0.0,1093,0.95894,67.4201
-0.00455449,229.5310139656067,291901,-0.0135382413864,2,867.44,867.44,0.0082912,0.0,1095,0.959213,68.8372
-0.00307103,231.14105367660522,294901,-0.0028223991394,3,867.44,867.44,0.00293009,0.0,1098,0.962045,101.525
-0.00499613,232.73927998542786,296901,-0.0111887454987,2,872.3,872.3,0.00573577,0.0,1100,0.968649,67.8125
-0.00559727,234.32766222953796,298901,-0.0101355314255,2,872.3,872.3,0.00591087,0.0,1102,0.960541,67.8007
-0.00559297,235.92239665985107,300901,0.00335437059402,2,872.3,872.3,0.00762684,0.0,1104,0.959114,67.2741
-0.00362192,237.53112840652466,302901,-0.00546824932098,2,877.72,877.72,0.00465441,0.0,1106,0.95549,68.286
-0.00635115,239.12447810173035,304901,-0.0020090341568,2,877.72,877.72,0.0137526,0.0,1108,0.968154,68.1558
-0.00905004,240.73729753494263,306295,0.0365398526192,2,877.45,877.45,0.0044837,0.0,1110,0.966108,61.1044
-0.00355256,242.3276948928833,308295,-0.00413918495178,2,889.21,889.21,0.00643847,0.0,1112,0.975058,68.5515
-0.0088401,243.95310378074646,311295,-0.0135953426361,3,889.21,889.21,0.00935642,0.0,1115,0.96845,101.036
-0.00668933,245.54616737365723,313295,-0.00240731239319,2,889.21,889.21,0.00544241,0.0,1117,0.960669,67.5724
-0.00813698,247.13969230651855,315295,0.000487089157104,2,890.04,890.04,0.0034911,0.0,1119,0.951401,58.5557
-0.00831052,248.7437927722931,317295,0.0569862127304,2,890.04,890.04,0.00565571,0.0,1121,0.938601,64.9455
-0.00485284,250.35924577713013,319295,0.00857734680176,2,890.64,890.64,0.00601432,0.0,1123,0.944296,66.7156
-0.00815418,251.96954822540283,321295,0.025467634201,2,893.39,893.39,0.0110471,0.0,1125,0.958724,66.8251
-0.0095928,253.56164813041687,323527,0.258746147156,5,865.71,865.71,0.00510405,0.0,1130,0.956333,32.3025
-0.008501,255.17187929153442,324988,0.819689750671,2,867.07,867.07,0.00399641,0.0,1132,0.939417,11.9473
-0.00552738,256.7810263633728,326988,-0.000579476356506,2,878.31,878.31,0.00419041,0.0,1134,0.92702,68.6683
-0.00620943,258.377099275589,329405,0.647265344858,5,875.36,875.36,0.00489422,0.0,1139,0.902813,71.4278
-0.00969994,259.9845926761627,331652,0.443276524544,3,882.03,882.03,0.0083274,0.0,1142,0.8967,81.4925
-0.00624464,261.57807898521423,333652,0.110060214996,2,888.98,888.98,0.00414219,0.0,1144,0.89671,62.4993
-0.00744823,263.18190002441406,335652,0.061600446701,2,895.26,895.26,0.00587053,0.0,1146,0.910162,65.1427
-0.00536583,264.7803554534912,337652,0.116234481335,2,902.76,902.76,0.00390609,0.0,1148,0.903442,65.5526
-0.00609876,266.374231338501,339652,-0.00590682029724,2,902.76,902.76,0.015396,0.0,1150,0.907275,72.2277
-0.00468597,267.9679892063141,341652,0.00224602222443,2,902.76,902.76,0.00733369,0.0,1152,0.932186,71.1902
-0.0048953,269.59332275390625,343652,-0.00401568412781,2,907.9,907.9,0.00753975,0.0,1154,0.946968,71.0923
-0.00469661,271.18777108192444,345652,0.0054520368576,2,907.9,907.9,0.00597197,0.0,1156,0.956593,68.7987
-0.00915616,272.79647278785706,347652,0.0134136080742,2,907.9,907.9,0.00756397,0.0,1158,0.954997,69.5973
-0.00520181,274.39126539230347,349652,-0.00661492347717,2,907.9,907.9,0.00702553,0.0,1160,0.966782,70.682
-0.0076693,275.98489451408386,351652,0.00985956192017,2,907.9,907.9,0.00782161,0.0,1162,0.942118,67.7319
-0.00563947,277.57736349105835,353652,-0.0225803852081,2,907.9,907.9,0.005751,0.0,1164,0.933289,70.0274
-0.00714494,279.18673515319824,355652,-0.00159907341003,2,907.9,907.9,0.00738831,0.0,1166,0.92966,66.9978
-0.00572081,280.78069162368774,357652,0.0155701637268,2,907.9,907.9,0.00446733,0.0,1168,0.924121,68.0953
-0.00355248,282.37446546554565,359652,0.0101780295372,2,907.9,907.9,0.0153396,0.0,1170,0.925229,68.5583
-0.00855067,283.9839713573456,361652,0.0186340212822,2,907.9,907.9,0.00560213,0.0,1172,0.894104,67.5726
-0.00455232,285.57847118377686,363652,0.00698518753052,2,907.9,907.9,0.00810155,0.0,1174,0.916649,63.766
-0.00624085,287.18767046928406,365652,0.0544922947884,2,907.9,907.9,0.00661414,0.0,1176,0.920122,52.4085
-0.00422327,288.8121690750122,367652,-0.039296746254,2,909.92,909.92,0.00589429,0.0,1178,0.929121,69.8703
-0.0066309,290.422532081604,370652,0.0255284309387,3,914.59,914.59,0.011558,0.0,1181,0.957837,92.7856
-0.00679345,292.01602387428284,372652,-0.00123655796051,2,914.59,914.59,0.00867241,0.0,1183,0.961196,67.2576
-0.00615402,293.62412571907043,374652,-0.00457322597504,2,921.65,921.65,0.00435374,0.0,1185,0.946762,68.9685
-0.00567824,295.2195711135864,376652,0.00776052474976,2,921.65,921.65,0.0124885,0.0,1187,0.957728,67.5101
