TimestepsSoFar,EpRewMean,EpisodesSoFar,loss_pol_entpen,loss_vf_loss,loss_kl,TimeElapsed,loss_ent,ev_tdlam_before,loss_pol_surr,EpThisIter,EpLenMean
382875,1560.99190066,1766,0.0,348.868,0.0202113,423.56288623809814,1.25307,0.9032965675,-0.0265453,5,415.73
384995,1552.80084238,1773,0.0,44.344,0.0187778,425.79664635658264,1.25072,0.973650699481,-0.0324491,7,414.43
387020,1541.42282638,1777,0.0,10.1774,0.0176456,427.90653347969055,1.23697,0.992531463969,-0.0304778,4,411.03
389106,1490.73550611,1784,0.0,63.9167,0.0183822,429.9992141723633,1.246,0.981831349432,-0.0277202,7,397.39
391149,1486.67516424,1789,0.0,71.1378,0.0267006,432.1126034259796,1.25375,0.973058843985,-0.0241635,5,397.09
393184,1475.23622011,1794,0.0,47.3684,0.0169827,434.2105550765991,1.27933,0.98401619494,-0.0274651,5,394.59
395078,1470.36583994,1799,0.0,192.487,0.0157119,436.3555600643158,1.26624,0.949360646307,-0.0288168,5,394.78
397097,1468.55179453,1805,0.0,143.863,0.0168129,438.4220857620239,1.24608,0.970325818285,-0.0258548,6,394.87
399266,1473.73891998,1811,0.0,212.949,0.0258242,440.5313081741333,1.25275,0.902453310788,-0.0214955,6,396.59
401291,1487.12267575,1817,0.0,16.4757,0.0223903,442.633269071579,1.22242,0.987820455804,-0.0205733,6,400.12
403145,1502.00448302,1821,0.0,18.9918,0.0188711,444.8056311607361,1.2094,0.988280162215,-0.0323959,4,403.71
405052,1473.2438642,1826,0.0,120.855,0.0187868,447.0859408378601,1.22003,0.97178277187,-0.0240422,5,396.69
407381,1485.21851021,1831,0.0,13.1581,0.0214552,449.34373354911804,1.20322,0.994042889215,-0.0298417,5,399.86
409425,1525.16324836,1835,0.0,13.1722,0.0201316,451.6101939678192,1.18876,0.993687135633,-0.0283818,4,410.43
411495,1506.67300961,1840,0.0,10.3488,0.0344358,453.89202785491943,1.16404,0.996578397695,-0.0291891,5,405.29
413431,1495.00036941,1845,0.0,14.2306,0.0231003,456.3446707725525,1.14916,0.994406044949,-0.0269387,5,401.63
415493,1430.06037392,1852,0.0,19.4832,0.0197523,458.8044948577881,1.13514,0.995192085858,-0.0416474,7,383.49
417462,1446.36853513,1857,0.0,8.54466,0.0257454,461.2028124332428,1.10376,0.997178997612,-0.0370311,5,387.92
419551,1427.12844894,1862,0.0,9.2154,0.0203589,463.6188883781433,1.10021,0.997664534952,-0.0339601,5,381.24
421538,1426.04353757,1868,0.0,20.1706,0.0164292,466.1480224132538,1.09502,0.990297342651,-0.0382414,6,381.03
423681,1435.51123152,1874,0.0,15.738,0.023713,468.6645140647888,1.0709,0.994962263852,-0.0371706,6,382.83
425762,1420.73907927,1880,0.0,10.203,0.0221762,471.24599838256836,1.06655,0.996872405987,-0.0363722,6,377.99
428008,1424.92106201,1886,0.0,9.35701,0.0186095,473.3582606315613,1.07873,0.997150672134,-0.0330939,6,378.33
430037,1425.15247452,1892,0.0,15.7087,0.0199581,475.47247886657715,1.07036,0.991729379632,-0.0359366,6,378.13
431812,1399.8379281,1898,0.0,93.6085,0.0206899,477.5703315734863,1.0455,0.956241793931,-0.0300025,6,370.37
433894,1410.10753952,1904,0.0,14.8045,0.0262354,479.69516611099243,1.00799,0.992357236333,-0.0351084,6,371.8
435953,1411.94054538,1909,0.0,15.5635,0.0205366,481.8046147823334,0.990108,0.993818143383,-0.031577,5,372.59
438125,1435.88749657,1914,0.0,19.1246,0.0211003,483.8906147480011,0.957512,0.993283959106,-0.037897,5,378.58
440311,1431.89198368,1920,0.0,12.3369,0.0193343,486.0017931461334,0.95264,0.995534210466,-0.0345107,6,376.63
442123,1433.25699789,1925,0.0,12.361,0.02137,488.085725069046,0.926022,0.996332361829,-0.032693,5,375.77
444254,1435.03663288,1929,0.0,392.827,0.0275181,490.25043082237244,0.911747,0.87879190594,-0.015389,4,376.48
446266,1394.36863698,1936,0.0,16.4871,0.0212393,492.3454761505127,0.882463,0.990006204695,-0.026064,7,364.95
448258,1373.3500603,1942,0.0,16.5685,0.0229446,494.4564027786255,0.852218,0.993193831295,-0.0305098,6,358.57
450523,1400.46707382,1947,0.0,14.6549,0.0179617,496.55570912361145,0.84774,0.995759672951,-0.0312569,5,365.01
452405,1424.70720244,1951,0.0,559.595,0.0231494,498.6982626914978,0.835289,0.825324654579,-0.0281939,4,372.07
454455,1395.78463822,1958,0.0,387.021,0.0189643,500.914519071579,0.84347,0.925135307014,-0.0229883,7,364.26
456330,1395.07495919,1963,0.0,20.8503,0.0318215,503.172159910202,0.821789,0.986004757695,-0.0329374,5,363.91
458514,1405.24400075,1969,0.0,20.7396,0.0295289,505.4218428134918,0.794825,0.992664927151,-0.0277347,6,365.79
460653,1408.66233329,1975,0.0,23.0261,0.0247908,507.69297885894775,0.771047,0.991548401304,-0.0341975,6,366.81
