TimestepsSoFar,ev_tdlam_before,loss_pol_surr,EpRewMean,loss_ent,EpisodesSoFar,TimeElapsed,loss_kl,EpThisIter,loss_pol_entpen,EpLenMean,loss_vf_loss
276000,0.138356566429,-0.0332553,1024.08120781,1.76385,276,241.23587441444397,0.0367779,2,0.0,1000.0,94.1099
278000,0.0339930057526,-0.0345095,1029.48545079,1.74872,278,243.03192448616028,0.0295359,2,0.0,1000.0,94.5308
280000,0.0688673853874,-0.0354289,1035.4231955,1.69927,280,244.8122594356537,0.0309575,2,0.0,1000.0,95.0147
282000,0.0751854777336,-0.0322498,1040.11272455,1.67234,282,246.6069839000702,0.0332658,2,0.0,1000.0,96.3087
284000,0.286861479282,-0.0426179,1044.40938128,1.62022,284,248.3747100830078,0.0421498,2,0.0,1000.0,96.4887
286000,0.186861813068,-0.0358066,1049.6971688,1.58429,286,250.17146801948547,0.0312127,2,0.0,1000.0,97.9242
288000,0.0618061423302,-0.0304238,1054.98956247,1.59719,288,251.94235610961914,0.041944,2,0.0,1000.0,97.1374
290000,0.0583390593529,-0.0380943,1060.49381977,1.56009,290,253.73393034934998,0.023827,2,0.0,1000.0,100.252
292000,0.148526132107,-0.0288408,1065.81027904,1.54413,292,255.50073313713074,0.0512354,2,0.0,1000.0,96.0018
294000,0.0629492402077,-0.0379709,1070.54143547,1.50643,294,257.29705572128296,0.0204221,2,0.0,1000.0,100.836
296000,0.0306687355042,-0.030152,1075.32406284,1.48891,296,259.0632972717285,0.0346731,2,0.0,1000.0,98.5802
299000,0.0398772954941,-0.0350102,1082.78675385,1.49911,299,260.84329533576965,0.0269384,3,0.0,1000.0,147.812
301000,0.0779682397842,-0.0340909,1086.74996568,1.49378,301,262.62456011772156,0.0313326,2,0.0,1000.0,94.8093
303000,0.0349572896957,-0.029041,1090.8311145,1.47266,303,264.4066939353943,0.0354634,2,0.0,1000.0,97.6629
305000,0.0672124028206,-0.0375424,1095.58147092,1.423,305,266.18766140937805,0.0237473,2,0.0,1000.0,101.751
307000,0.04305768013,-0.0354979,1100.08236213,1.42026,307,267.9688951969147,0.0315357,2,0.0,1000.0,98.1695
309000,0.0760658383369,-0.0365764,1104.44338776,1.38304,309,269.74995398521423,0.0268856,2,0.0,1000.0,102.383
311000,0.0770491957664,-0.0362463,1107.6156161,1.3852,311,271.53079438209534,0.0257849,2,0.0,1000.0,104.956
313000,0.0850563645363,-0.0344888,1111.76738981,1.35662,313,273.3123586177826,0.0340763,2,0.0,1000.0,107.917
315000,0.0927375555038,-0.0395483,1115.91019108,1.35964,315,275.09343099594116,0.0235517,2,0.0,1000.0,103.178
317000,0.0582156777382,-0.0364008,1120.15540558,1.3391,317,276.89110827445984,0.0271377,2,0.0,1000.0,110.447
319000,0.0785003304482,-0.036076,1123.80427454,1.31609,319,278.6720235347748,0.0268635,2,0.0,1000.0,110.844
321000,0.0866444706917,-0.0353025,1128.32784795,1.32145,321,280.4495840072632,0.0274895,2,0.0,1000.0,103.568
323000,0.0627648830414,-0.0357032,1130.82675359,1.30199,323,282.23522305488586,0.0228783,2,0.0,1000.0,107.153
325000,0.124303162098,-0.0390047,1134.09217303,1.27101,325,284.0001564025879,0.0289345,2,0.0,1000.0,109.916
327000,0.0756686925888,-0.0336459,1136.88477226,1.26542,327,285.7888255119324,0.0268892,2,0.0,1000.0,109.86
