EpThisIter,TimestepsSoFar,loss_pol_surr,loss_ent,TimeElapsed,EpisodesSoFar,loss_kl,EpLenMean,ev_tdlam_before,loss_vf_loss,EpRewMean,loss_pol_entpen
4,317314,-0.0331021,1.82055,325.0018000602722,1717,0.0123832,489.66,0.99839257251,4.37138,1678.72508736,0.0
2,318647,-0.0352456,1.78428,327.0778570175171,1719,0.0174014,493.96,0.997609561775,3.49906,1693.85511583,0.0
6,321247,-0.030542,1.79678,329.1467328071594,1725,0.0163076,489.52,0.997359372675,6.05988,1681.39893173,0.0
3,322785,-0.0291381,1.75841,331.24241065979004,1728,0.0164078,494.34,0.99724072637,3.64451,1699.30386232,0.0
4,325334,-0.0257289,1.76936,333.32732820510864,1732,0.020388,494.14,0.99839833728,3.76097,1699.4107165,0.0
4,327613,-0.0198324,1.76938,335.43695402145386,1736,0.0213481,502.4,0.914458990097,245.063,1728.18123414,0.0
3,329149,-0.0258164,1.7377,337.49978375434875,1739,0.023282,505.72,0.993652397767,5.80917,1739.56727466,0.0
4,331326,-0.0283542,1.75082,339.57723593711853,1743,0.0210392,509.44,0.983769141138,23.1223,1751.51672501,0.0
3,333707,-0.0201868,1.76788,341.65661096572876,1746,0.0175343,521.61,0.589331418276,832.759,1789.61304545,0.0
3,335423,-0.0268244,1.72734,343.7379939556122,1749,0.0241487,523.43,0.992768063676,5.72983,1796.46896758,0.0
3,337870,-0.0288929,1.71862,345.8186583518982,1752,0.0196383,533.67,0.98374071531,9.97345,1831.24600545,0.0
2,339791,-0.020839,1.68608,347.8976924419403,1754,0.0218721,539.31,0.756105750799,349.682,1849.36504707,0.0
4,341864,-0.020811,1.68962,349.9607422351837,1758,0.0263563,539.34,0.882874660194,344.436,1846.82815385,0.0
2,343189,-0.017898,1.69217,352.03782081604004,1760,0.0241365,545.76,0.715750992298,399.345,1867.44750358,0.0
4,345676,-0.0172574,1.68776,354.1247773170471,1764,0.0229566,552.14,0.864946395159,415.49,1889.14396493,0.0
2,347514,-0.0169055,1.71907,356.19118332862854,1766,0.0246513,563.75,0.75476013124,408.147,1927.26686323,0.0
5,350057,-0.0379552,1.68257,358.28150606155396,1771,0.0224537,565.91,0.99046153482,10.35,1934.25324517,0.0
3,351795,-0.0345456,1.67674,360.34702944755554,1774,0.0188455,567.68,0.995490771253,7.23391,1940.68867326,0.0
2,353463,-0.0205252,1.69657,362.44391655921936,1776,0.0198193,572.46,0.746838331223,419.847,1956.32245135,0.0
4,356236,-0.0152983,1.68743,364.5151381492615,1780,0.0373059,580.09,0.892267778516,390.763,1982.24777626,0.0
4,358137,-0.0271998,1.66547,366.5772109031677,1784,0.0273491,579.8,0.992573176511,6.7872,1982.43469323,0.0
4,360268,-0.0339877,1.62883,368.6561677455902,1788,0.0250389,576.66,0.995289990678,5.14166,1973.60230345,0.0
5,362371,-0.0368337,1.60944,370.72087693214417,1793,0.0253001,571.94,0.997055381769,5.46847,1958.13173942,0.0
6,364530,-0.0287728,1.60661,372.819753408432,1799,0.0201353,562.78,0.997636782937,7.33437,1927.06399252,0.0
4,366542,-0.031056,1.60383,374.89793276786804,1803,0.0178616,565.63,0.997306687292,4.96794,1937.55820528,0.0
5,368540,-0.0357631,1.59965,376.9917778968811,1808,0.0209172,559.37,0.998356365599,5.2879,1917.44312574,0.0
3,370563,-0.0301566,1.60736,379.06199073791504,1811,0.0211223,561.52,0.998182431213,3.90584,1925.85403014,0.0
5,372549,-0.0344818,1.60909,381.1713123321533,1816,0.0279777,558.96,0.996931378497,9.42824,1919.06334411,0.0
5,374723,-0.0393176,1.5981,383.24954557418823,1821,0.0205664,549.8,0.996235774364,8.76471,1888.97576296,0.0
4,376334,-0.0183264,1.58471,385.359277009964,1825,0.0322486,550.87,0.935477443039,178.96,1892.86524561,0.0
4,378532,-0.0228704,1.5825,387.4248471260071,1829,0.0196452,549.12,0.991072519682,7.93219,1888.02994109,0.0
6,380818,-0.0399508,1.5451,389.50184321403503,1835,0.0222341,536.14,0.997038799338,6.70226,1846.51658186,0.0
4,382864,-0.0271172,1.52286,391.57078528404236,1839,0.0223832,537.15,0.997917954111,4.31513,1851.50268905,0.0
5,384914,-0.0383556,1.50677,393.65576004981995,1844,0.0201203,525.88,0.998487966019,3.80578,1817.34708503,0.0
2,386360,-0.0370146,1.48191,395.740061044693,1846,0.0182647,526.53,0.998364781612,2.70375,1822.33494136,0.0
5,388910,-0.0326439,1.45861,397.80045437812805,1851,0.0180759,520.4,0.998381621437,4.33267,1802.62727372,0.0
5,391005,-0.0336081,1.47051,399.8825800418854,1856,0.0187867,499.82,0.998578057741,3.41324,1738.36517911,0.0
