EpThisIter,EpLenMean,EpisodesSoFar,EpRewMean,ev_tdlam_before,loss_ent,TimestepsSoFar,loss_pol_entpen,loss_vf_loss,TimeElapsed,loss_kl,loss_pol_surr
5,362.49,1535,1239.79804916,0.997498158831,2.29261,233280,0.0,5.20001,257.7027337551117,0.0144646,-0.0267291
3,374.17,1538,1278.56173739,0.913889728487,2.26509,235358,0.0,170.839,259.99964809417725,0.0201798,-0.0222556
6,376.04,1544,1283.56519426,0.906566485763,2.27105,237317,0.0,353.778,262.3085741996765,0.0148391,-0.0251638
4,382.83,1548,1306.16736894,0.987145247869,2.25325,239006,0.0,13.6514,264.6434438228607,0.0165358,-0.0284865
4,395.82,1552,1347.25435492,0.878933258355,2.26876,241549,0.0,318.596,266.8986291885376,0.0208894,-0.021959
4,402.73,1556,1370.35289807,0.991290005855,2.24891,243387,0.0,15.4055,269.1879336833954,0.0160392,-0.0312927
7,404.91,1563,1375.69107131,0.914822287858,2.24646,245585,0.0,182.585,271.57837414741516,0.018876,-0.022792
4,410.55,1567,1393.94798979,0.945871341974,2.26589,247741,0.0,46.9816,274.0340404510498,0.0179829,-0.0275856
3,417.6,1570,1417.57799312,0.986189294606,2.23631,249357,0.0,13.7005,276.4635932445526,0.0178228,-0.0276645
5,422.28,1575,1433.37301478,0.994830536656,2.21918,251756,0.0,8.71747,278.87470030784607,0.018845,-0.0291181
5,421.84,1580,1432.59755223,0.995465578046,2.1906,253618,0.0,11.082,281.3309168815613,0.0206145,-0.0308088
5,422.4,1585,1435.90609815,0.997979995795,2.1644,255954,0.0,6.24349,283.8055167198181,0.0190335,-0.0313373
3,432.87,1588,1471.36826109,0.957209534943,2.16082,257908,0.0,60.9598,286.32005071640015,0.0122206,-0.0213618
5,433.85,1593,1473.782838,0.989366733469,2.14864,259806,0.0,15.7733,288.8788888454437,0.0185828,-0.0353682
3,435.81,1596,1480.39402496,0.995312294457,2.13439,261263,0.0,8.39252,291.3622534275055,0.0183014,-0.0345505
5,446.9,1601,1518.02799765,0.931976236403,2.14644,264026,0.0,215.748,293.8195872306824,0.0132924,-0.0207675
5,444.2,1606,1508.98646909,0.993289534468,2.13883,266102,0.0,10.6332,295.9371769428253,0.016085,-0.0322613
2,457.35,1608,1551.74985422,0.823351889849,2.14252,268035,0.0,209.339,298.0466721057892,0.0155368,-0.011908
5,458.37,1613,1554.89552458,0.98368688114,2.13106,269961,0.0,16.1792,300.20611476898193,0.0146157,-0.0276869
5,460.59,1618,1563.83027337,0.990660994314,2.13693,272159,0.0,17.0482,302.257111787796,0.0179875,-0.0299734
5,460.58,1623,1563.99248363,0.995386462659,2.12618,273967,0.0,8.3539,304.33645582199097,0.0219738,-0.0293051
4,465.1,1627,1580.20374457,0.996445309138,2.08433,276061,0.0,6.30723,306.4385952949524,0.0190809,-0.0275822
5,463.33,1632,1576.19176476,0.996534341015,2.05978,278306,0.0,11.2643,308.5468862056732,0.0180005,-0.0350726
5,457.11,1637,1556.47250043,0.998102676007,2.0448,280370,0.0,4.33612,310.68941593170166,0.0154787,-0.0264773
4,453.73,1641,1546.77787635,0.997719327221,2.06479,281995,0.0,5.74518,312.75437808036804,0.0211252,-0.0267428
5,464.46,1646,1586.45263484,0.977187238634,2.07683,284530,0.0,51.1138,314.86603927612305,0.0293897,-0.0226432
4,462.29,1650,1583.42885539,0.996132994769,2.08725,286536,0.0,7.00711,316.9749336242676,0.0189058,-0.0315676
5,455.68,1655,1563.44884945,0.997048285324,2.07199,288485,0.0,5.37106,319.10942029953003,0.0163862,-0.0302109
6,460.03,1661,1581.73007343,0.997342332965,2.07039,290790,0.0,7.69997,321.21976017951965,0.0180991,-0.0317798
6,450.99,1667,1555.42142728,0.998122888501,2.02694,292840,0.0,5.34879,323.31309628486633,0.0201512,-0.0294532
5,442.99,1672,1530.1018052,0.997990385629,2.01539,294531,0.0,6.08742,325.3748404979706,0.0212076,-0.0353467
5,440.26,1677,1523.40803835,0.997805847321,2.02371,296619,0.0,4.87869,327.48452162742615,0.0129861,-0.0305429
3,447.31,1680,1547.74759183,0.997551206499,2.02019,298349,0.0,4.04075,329.6409206390381,0.0205526,-0.0369051
6,443.46,1686,1535.45160795,0.993901582435,2.0438,300844,0.0,6.27308,331.77810311317444,0.0142689,-0.028374
4,442.98,1690,1535.96506144,0.996757617919,2.00972,303029,0.0,6.47287,333.90583300590515,0.0195066,-0.0267502
4,446.37,1694,1547.67604528,0.894214555621,2.02621,305127,0.0,427.306,336.0626001358032,0.0204642,-0.0147746
5,440.18,1699,1529.51543379,0.995298083872,2.03579,307082,0.0,6.96686,338.273934841156,0.0200967,-0.0300756
4,442.48,1703,1537.83944378,0.997491325252,2.00189,309185,0.0,4.62541,340.5307397842407,0.0171309,-0.0284036
4,439.89,1707,1529.75219655,0.998016863363,1.98538,311024,0.0,4.56184,342.8440589904785,0.0180555,-0.0266271
4,436.98,1711,1522.27725491,0.998427138897,1.94804,312923,0.0,4.51073,345.0654091835022,0.0200088,-0.0216658
7,429.38,1718,1497.29101651,0.996755143162,1.92027,315097,0.0,9.10483,347.3592007160187,0.019332,-0.0321627
6,426.67,1724,1488.38440124,0.998432444758,1.90628,317226,0.0,4.27908,349.6141231060028,0.0180829,-0.0303179
4,427.32,1728,1490.16255044,0.997732126154,1.93088,319227,0.0,3.97502,351.92915391921997,0.0178982,-0.0298509
5,427.66,1733,1490.98852014,0.998489177786,1.94283,321326,0.0,3.93842,354.33767890930176,0.0171292,-0.0274675
4,431.36,1737,1503.8211305,0.997816273244,1.95224,323506,0.0,4.87037,356.70692348480225,0.0161091,-0.0308049
5,426.86,1742,1488.61855489,0.99837445328,1.95496,325590,0.0,3.81773,359.087317943573,0.0151833,-0.0345309
4,426.17,1746,1485.90214076,0.997460418846,1.93607,327147,0.0,4.89084,361.4928638935089,0.0189945,-0.0351768
5,425.6,1751,1484.17440208,0.998715449707,1.91953,329536,0.0,3.48494,363.9385018348694,0.0208387,-0.0339091
4,430.65,1755,1501.38901958,0.997116526822,1.92955,331550,0.0,7.28931,366.39009380340576,0.0187991,-0.0329934
5,429.09,1760,1495.65582005,0.997396860039,1.89997,333361,0.0,6.06204,368.8594717979431,0.012229,-0.0306858
5,436.76,1765,1521.45430412,0.997472368879,1.85716,335818,0.0,4.40903,371.3124713897705,0.0237793,-0.0272912
4,440.75,1769,1535.29597695,0.997990578646,1.82388,337651,0.0,3.84596,373.8151457309723,0.0228004,-0.0281689
5,446.08,1774,1553.3818319,0.997991652228,1.80672,339921,0.0,4.62909,376.3123269081116,0.0181701,-0.0304919
4,444.89,1778,1548.98047677,0.998774521751,1.78932,341814,0.0,2.41046,378.59355759620667,0.0151691,-0.0373511
5,439.6,1783,1531.14139365,0.998468209291,1.78516,343964,0.0,4.17825,380.6714754104614,0.0176194,-0.0285876
4,441.79,1787,1538.70782994,0.998513387633,1.75467,345951,0.0,3.62283,382.7642443180084,0.0208853,-0.0272707
5,444.93,1792,1550.06238712,0.998923243838,1.73766,348112,0.0,2.98807,384.84315967559814,0.0214215,-0.0340769
4,438.56,1796,1530.12953123,0.998798973509,1.71803,349720,0.0,3.02459,386.97135639190674,0.0195415,-0.0352621
5,436.53,1801,1523.14598175,0.998829539632,1.71151,352065,0.0,3.13925,389.0560026168823,0.0191772,-0.0358078
2,448.8,1803,1562.45297342,0.54408621788,1.718,354065,0.0,284.506,391.1094763278961,0.0195216,-0.0206535
3,447.89,1806,1559.56775888,0.959478724748,1.72021,355463,0.0,8.00863,393.22722482681274,0.0269147,-0.0246927
5,454.27,1811,1580.76769997,0.962707489729,1.77122,358350,0.0,96.2295,395.31266355514526,0.0192774,-0.0330618
3,463.34,1814,1610.30439515,0.896375477314,1.74775,360304,0.0,181.392,397.46913385391235,0.0191744,-0.0209792
4,469.59,1818,1631.81878194,0.98349429667,1.73721,362056,0.0,12.408,399.5494816303253,0.0205405,-0.0339296
2,482.8,1820,1674.34711492,0.337522268295,1.74543,364056,0.0,580.73,401.6315131187439,0.0265341,-0.0197697
3,495.39,1823,1715.951875,0.861540526152,1.77091,366423,0.0,313.946,403.7212142944336,0.0371841,-0.0175387
2,508.66,1825,1758.22451674,0.0709050893784,1.77679,368423,0.0,837.986,405.8214228153229,0.0262029,-0.0160124
3,513.75,1828,1774.7915148,0.836277708411,1.76861,370602,0.0,426.074,407.92153215408325,0.021577,-0.0150787
3,519.67,1831,1795.27117908,0.989283097908,1.73047,372434,0.0,17.085,410.01667857170105,0.0203103,-0.0327475
4,518.51,1835,1792.00959578,0.995176841039,1.71958,374372,0.0,7.0061,412.10095262527466,0.0271047,-0.0326034
2,527.33,1837,1821.21654586,0.834358409047,1.70667,376239,0.0,396.08,414.20349740982056,0.0179049,-0.0218666
5,531.63,1842,1836.18920081,0.989436834119,1.71115,378753,0.0,8.82489,416.3626916408539,0.0228364,-0.0353857
5,531.68,1847,1837.54225225,0.995736248791,1.68403,380863,0.0,6.39309,418.5553460121155,0.020208,-0.0439176
5,527.56,1852,1823.73020747,0.997756929602,1.67215,382747,0.0,5.73161,420.7814357280731,0.0205997,-0.0377077
4,529.03,1856,1829.66748636,0.998152708518,1.65118,384711,0.0,4.90675,423.0161991119385,0.0218879,-0.0297661
6,524.56,1862,1815.73581064,0.998563994304,1.63619,386863,0.0,4.72809,425.312153339386,0.039607,-0.0204046
4,529.87,1866,1835.05701992,0.998931147158,1.60057,389083,0.0,3.54464,427.57816314697266,0.0196606,-0.0382744
6,519.71,1872,1799.78667518,0.997707739705,1.57789,390981,0.0,6.93468,429.89057421684265,0.0173107,-0.0352475
5,518.88,1877,1797.52538463,0.998299496132,1.56831,392950,0.0,5.38191,432.1094493865967,0.0282702,-0.028334
