loss_ent,loss_vf_loss,EpThisIter,TimestepsSoFar,EpisodesSoFar,EpRewMean,ev_tdlam_before,loss_pol_surr,TimeElapsed,loss_kl,loss_pol_entpen,EpLenMean
-0.326118,4928.38,4,200426,4503,5595.32110774,0.57912299037,0.00806052,172.86866283416748,0.0358866,0.0,600.81
-0.323663,4583.16,5,202452,4508,5478.64501708,0.668002068996,-0.0135911,174.6186592578888,0.0119003,0.0,588.27
-0.336973,4120.25,2,204092,4510,5598.91383833,0.170799016953,-0.0061854,176.43115234375,0.00952437,0.0,601.18
-0.348513,5866.11,3,206787,4513,5665.34362228,0.159312069416,-0.00942184,178.19682955741882,0.0125133,0.0,608.31
-0.336455,3009.01,5,208519,4518,5559.23549313,0.542999237776,-0.0114416,179.94682383537292,0.0119365,0.0,596.93
-0.320358,4595.56,2,210519,4520,5559.19878943,-0.156462192535,-0.00806508,181.7124445438385,0.0237787,0.0,596.93
-0.344282,4919.51,4,212859,4524,5488.03209916,0.539335101843,-0.00256199,183.46243953704834,0.0304371,0.0,589.3
-0.346266,3008.03,2,214768,4526,5636.43250955,0.683711946011,-0.0115989,185.21243381500244,0.0125492,0.0,605.23
-0.351543,3222.15,3,216702,4529,5642.14682632,0.575907737017,-0.00473223,186.94686031341553,0.0165865,0.0,605.85
-0.362953,4334.72,2,218486,4531,5674.82835452,0.18601757288,-0.0100682,188.7280478477478,0.0105221,0.0,609.37
-0.357529,4699.48,2,220486,4533,5795.04587641,-0.0117936134338,-0.00878049,190.47804164886475,0.0216147,0.0,622.28
-0.358608,3620.39,3,222427,4536,5786.81314674,0.534978479147,-0.0115766,192.24366450309753,0.0131195,0.0,621.41
-0.370239,5669.2,3,224781,4539,5761.93911533,0.26849925518,-0.00946684,193.99366521835327,0.0204137,0.0,618.75
-0.371931,3935.76,2,226731,4541,5806.63198828,0.241463363171,-0.0122788,195.72802782058716,0.0125357,0.0,623.55
-0.37863,3560.06,2,228726,4543,5890.83706824,0.38012355566,-0.0114834,197.47802090644836,0.0108414,0.0,632.6
-0.383548,6732.16,4,231371,4547,5916.24269642,0.369110286236,-0.00850717,199.22801661491394,0.0206241,0.0,635.34
-0.382401,3730.76,3,232893,4550,5854.35174746,0.536606699228,-0.0140002,200.97862029075623,0.0190846,0.0,628.71
-0.371887,6414.67,4,235222,4554,5806.44696533,0.426244616508,-0.00917463,202.7443118095398,0.0132243,0.0,623.58
-0.382714,4471.98,5,237161,4559,5705.92728419,0.621806561947,-0.00452099,204.5005054473877,0.0418305,0.0,612.81
-0.406282,6638.91,5,239423,4564,5637.95902574,0.47981595993,-0.012765,206.2286102771759,0.0135317,0.0,605.53
-0.410213,5454.52,3,241664,4567,5751.9368401,0.418483376503,-0.0014288,207.97873616218567,0.0167047,0.0,617.77
-0.437522,6262.01,3,243695,4570,5821.31919389,0.209126830101,1.06313e-05,209.73546051979065,0.0364506,0.0,625.22
-0.441127,5774.46,4,245711,4574,5673.7949178,0.482477009296,-0.0128134,211.47794604301453,0.0156425,0.0,609.4
