loss_vf_loss,loss_pol_entpen,loss_kl,EpLenMean,loss_ent,TimestepsSoFar,TimeElapsed,EpisodesSoFar,ev_tdlam_before,EpRewMean,loss_pol_surr,EpThisIter
76.8724,0.0,0.0136498,323.6,2.84808,227243,252.53087639808655,1590,0.972180945799,1053.14493804,-0.0216659,5
7.88567,0.0,0.0163894,328.33,2.81305,229155,254.6631634235382,1596,0.995506459847,1070.85757168,-0.0257847,6
6.92639,0.0,0.0148583,336.09,2.79006,231209,256.757928609848,1601,0.997070980258,1096.26766436,-0.030744,5
11.4697,0.0,0.011555,335.76,2.79461,233413,258.80809569358826,1609,0.994665575679,1096.09391869,-0.024658,8
267.888,0.0,0.00981019,333.15,2.78836,235211,260.91747188568115,1615,0.868876352906,1083.53130178,-0.0266054,6
16.2302,0.0,0.0219084,342.92,2.77553,237264,263.0086305141449,1619,0.983887627721,1116.41195007,-0.0266906,4
22.5641,0.0,0.0171966,349.54,2.7868,239466,265.17964577674866,1625,0.990595436655,1139.07980302,-0.0324252,6
21.6905,0.0,0.0172516,351.5,2.76839,241414,267.26033878326416,1632,0.993909716606,1146.58548576,-0.032414,7
9.47201,0.0,0.013523,355.12,2.76148,243657,269.32673358917236,1637,0.995666786097,1159.14452123,-0.0345527,5
5.69499,0.0,0.0147803,359.28,2.74746,245654,271.40485644340515,1642,0.996915755328,1174.43919941,-0.0296048,5
14.1289,0.0,0.0132943,357.31,2.72174,247683,273.51518964767456,1648,0.994388218969,1169.77586413,-0.0330517,6
13.8045,0.0,0.0149097,359.13,2.68571,249785,275.62569642066956,1653,0.994676359929,1177.12123438,-0.0261583,5
10.5222,0.0,0.0130838,361.54,2.6995,251886,277.7263820171356,1658,0.996502376162,1187.46920624,-0.0308814,5
14.5745,0.0,0.0156469,357.95,2.69533,253820,279.79707312583923,1664,0.991278576665,1176.48474978,-0.0312852,6
270.492,0.0,0.0140877,359.26,2.69158,255958,281.908833026886,1668,0.893923655152,1181.89625086,-0.018797,4
17.3982,0.0,0.0114808,363.22,2.65491,258013,284.054484128952,1674,0.985331201926,1197.64657069,-0.0256573,6
17.592,0.0,0.0160352,365.88,2.67225,259955,286.2109868526459,1679,0.991613206454,1206.29845947,-0.0287198,5
10.5264,0.0,0.0133705,368.83,2.63104,262027,288.3981149196625,1685,0.99479682697,1218.05464034,-0.0308474,6
14.0011,0.0,0.0144754,370.78,2.62481,264109,290.5383005142212,1689,0.993338432629,1224.48402297,-0.0299344,4
372.419,0.0,0.0196753,381.42,2.62888,266019,292.7430901527405,1692,0.855921536684,1256.90924148,-0.0196482,3
359.236,0.0,0.0207983,392.33,2.63932,268116,294.97196102142334,1695,0.84649720788,1289.7237503,-0.0180463,3
187.604,0.0,0.0171076,398.43,2.65056,269962,297.3045370578766,1698,0.867470413446,1307.50678122,-0.0189521,3
34.3188,0.0,0.0191244,408.94,2.67908,272103,299.5385584831238,1701,0.949652250856,1340.68108231,-0.0269753,3
15.0739,0.0,0.0107987,411.53,2.66126,273583,301.8116443157196,1705,0.991794678383,1350.05470367,-0.0295996,4
25.3157,0.0,0.0183112,422.52,2.65885,276024,304.02993273735046,1710,0.992197492626,1386.5613651,-0.0328327,5
12.6642,0.0,0.0224237,430.59,2.62133,278270,306.31376600265503,1715,0.995542383753,1417.60724297,-0.029241,5
14.5951,0.0,0.0123467,420.88,2.60437,280483,308.5661668777466,1721,0.995499917772,1386.82266652,-0.0301726,6
113.612,0.0,0.0153484,432.76,2.60266,282503,310.9693434238434,1724,0.922046691179,1424.8247375,-0.0180614,3
241.814,0.0,0.0174203,445.67,2.60062,284529,313.3057687282562,1727,0.864518284798,1465.4706727,-0.0188567,3
13.257,0.0,0.0146849,453.07,2.55783,286502,315.6947588920593,1731,0.989901742898,1489.39131868,-0.0304282,4
14.9181,0.0,0.0207303,453.77,2.57261,288750,318.07228350639343,1736,0.99311922444,1493.00476636,-0.0277421,5
7.64446,0.0,0.0143906,459.59,2.56687,290182,320.4848737716675,1739,0.994683416095,1511.25988022,-0.0327716,3
354.402,0.0,0.0144196,466.41,2.58835,292295,322.92374086380005,1742,0.853561863303,1532.2626413,-0.0176952,3
243.836,0.0,0.0199965,471.6,2.595,294013,325.2800362110138,1745,0.860435128212,1548.12281536,-0.0182073,3
