EpisodesSoFar,TimestepsSoFar,EpLenMean,EpRewMean,loss_kl,loss_ent,loss_pol_entpen,loss_vf_loss,loss_pol_surr,ev_tdlam_before,TimeElapsed,EpThisIter
4842,237205,538.84,5013.07520418,0.0148976,-0.337393,0.0,7692.56,-0.0111373,0.447380125523,203.9064326286316,5
4848,239434,522.51,4861.17614155,0.0175813,-0.332549,0.0,7935.89,-0.0132631,0.558269202709,205.64080023765564,6
4852,241077,518.08,4820.02812265,0.00869287,-0.338157,0.0,6996.48,-0.0114692,0.455839037895,207.39079761505127,4
4855,243503,537.11,4997.26557127,0.0153814,-0.342657,0.0,3832.76,-0.00812504,0.559861779213,209.12514281272888,3
4858,245590,555.28,5166.53511823,0.0157706,-0.352209,0.0,5373.35,-0.00615594,0.200798749924,210.87513971328735,3
4860,246978,567.47,5279.99632104,0.0137937,-0.360866,0.0,3678.05,-0.0133285,0.543435811996,212.60950708389282,2
4862,248978,584.55,5439.03770041,0.147127,-0.352273,0.0,4926.69,0.0188381,-0.0273895263672,214.3595049381256,2
4867,251901,599.44,5577.55918484,0.0376108,-0.365676,0.0,7217.27,0.00537649,0.459147632122,216.09387230873108,5
4872,253552,597.92,5563.35100049,0.0133659,-0.38479,0.0,5496.02,-0.0176754,0.648977607489,217.8438675403595,5
4875,255111,600.71,5589.23118881,0.0470945,-0.401353,0.0,3143.41,0.00135714,0.72816991806,219.57823634147644,3
4880,257754,606.45,5642.48131604,0.0255691,-0.406942,0.0,8293.02,-0.0143381,0.493175089359,221.3343584537506,5
4883,259676,620.04,5768.8500849,0.0158,-0.423769,0.0,3869.73,-0.00824206,0.659415245056,223.05849981307983,3
4886,262006,621.27,5780.10887479,0.0149258,-0.435297,0.0,5144.95,-0.0147868,0.447885096073,224.81255292892456,3
4890,263720,609.53,5670.61426396,0.019521,-0.421291,0.0,3833.63,-0.00784175,0.683477193117,226.54692149162292,4
4894,266219,621.87,5785.3789065,0.0319702,-0.424254,0.0,6137.22,-0.00852684,0.531453311443,228.28129148483276,4
4900,267730,603.67,5615.82518033,0.0152943,-0.432363,0.0,7562.65,-0.0123676,0.691256761551,230.01566100120544,6
4904,270009,601.63,5596.68499773,0.0214159,-0.444499,0.0,7504.65,-0.00633455,0.478602945805,231.76565551757812,4
4907,271690,604.62,5624.30843671,0.0161499,-0.449088,0.0,3812.22,-0.0168462,0.750044852495,233.48440027236938,3
4910,273540,593.12,5516.83368253,0.0141223,-0.462673,0.0,3607.27,-0.01368,0.703480541706,235.21877026557922,3
4913,276276,590.48,5492.07147208,0.0141626,-0.477976,0.0,7257.98,-0.011024,0.113315582275,236.96893548965454,3
4915,278210,598.3,5564.76655474,0.0357704,-0.476908,0.0,3458.11,-0.00230944,0.370171844959,238.70330500602722,2
4919,279977,581.33,5406.61145642,0.0140453,-0.470742,0.0,3856.32,-0.0141744,0.749271392822,240.45329999923706,4
4923,282192,572.94,5328.25406546,0.0181501,-0.470033,0.0,5911.97,-0.00766915,0.575520992279,242.1882631778717,4
4927,284260,565.29,5256.75607875,0.017482,-0.479411,0.0,5140.36,-0.0167996,0.643305301666,243.93810439109802,4
4935,286683,529.69,4924.93264779,0.028928,-0.47587,0.0,6657.94,-0.00682003,0.690835982561,245.68799710273743,8
4939,288301,524.15,4873.16772648,0.0316359,-0.489964,0.0,7543.79,-0.009404,0.376730978489,247.42832398414612,4
4941,290301,535.76,4981.14606972,0.0351327,-0.483154,0.0,5405.08,-0.00609555,-0.251221179962,249.17290019989014,2
4943,292301,540.96,5029.4838896,0.0251555,-0.481483,0.0,5508.17,-0.00826533,-0.187935829163,250.92184352874756,2
4946,294317,552.12,5133.25939588,0.0139873,-0.481806,0.0,6379.34,-0.0130826,0.173516154289,252.65621209144592,3
4949,296821,563.87,5242.49282388,0.0248361,-0.483939,0.0,3733.39,-0.0156578,0.556222170591,254.40621161460876,3
4952,298770,576.93,5364.0093998,0.0204891,-0.470531,0.0,6430.04,-0.00959115,0.433620631695,256.1405770778656,3
4955,300997,574.94,5345.37174939,0.0212753,-0.469572,0.0,6451.61,-0.0113053,0.391516089439,257.90619921684265,3
4957,302342,568.39,5284.20469164,0.0125835,-0.4647,0.0,4355.5,-0.00953525,0.337859034538,259.64056611061096,2
4962,305060,560.82,5213.55419473,0.0338504,-0.46619,0.0,9115.31,-0.0018695,0.501448124647,261.3905622959137,5
4970,307191,547.45,5089.00354703,0.0726741,-0.480947,0.0,7512.82,-0.0123293,0.640732645988,263.12493109703064,8
4973,308405,542.77,5045.46215851,0.0203283,-0.491229,0.0,3383.0,-0.0161596,0.759247899055,264.859251499176,3
4978,311063,540.75,5026.7370684,0.0206952,-0.509556,0.0,9242.21,-0.00969475,0.49838411808,266.5936186313629,5
4980,313063,553.09,5141.60613127,0.037687,-0.513226,0.0,5766.62,-0.000190851,-0.264286875725,268.3592402935028,2
4983,314688,550.12,5114.07290497,0.0372167,-0.504562,0.0,5967.72,-0.00909706,0.350729525089,270.0779824256897,3
4987,317133,548.48,5099.14882961,0.0182583,-0.49041,0.0,6763.05,-0.00966085,0.498119235039,271.8279776573181,4
4991,318958,546.97,5085.28055749,0.0365623,-0.493265,0.0,5944.23,-0.00343508,0.611364334822,273.82797169685364,4
