EpRewMean,ev_tdlam_before,loss_pol_surr,TimeElapsed,loss_pol_entpen,loss_ent,TimestepsSoFar,EpLenMean,EpisodesSoFar,loss_kl,loss_vf_loss,EpThisIter
7027.31919745,0.480096757412,-0.00604893,263.89868211746216,0.0,-0.388422,303089,753.98,4592,0.0326659,6697.82,4
6731.8043496,0.813605010509,-0.00814512,265.6874620914459,0.0,-0.388038,304834,722.24,4599,0.0054136,4523.02,7
6845.92693024,0.179794311523,-0.0125561,267.4530825614929,0.0,-0.389046,306834,734.47,4601,0.00966785,3986.22,2
6888.4034141,0.612539768219,-0.0065429,269.2351288795471,0.0,-0.383485,308754,739.02,4603,0.0111168,3582.18,2
6886.77238512,0.387270152569,-0.00151844,271.00051712989807,0.0,-0.382441,311108,738.84,4606,0.012007,7252.36,3
6817.35137484,0.155913710594,-0.00762473,272.7740683555603,0.0,-0.379778,312363,731.39,4608,0.013382,4970.78,2
6879.88089618,0.350583076477,0.000746162,274.54713010787964,0.0,-0.369363,315386,738.08,4612,0.0423391,8455.85,4
6866.25013792,0.628372341394,-0.0172734,276.32837677001953,0.0,-0.383977,316568,736.62,4615,0.0196494,3222.95,3
6937.85991871,0.194598555565,-0.00306098,278.0864996910095,0.0,-0.397217,318795,744.29,4618,0.0420764,7733.6,3
6970.47585083,-0.0257105827332,-0.00916613,279.85957050323486,0.0,-0.392621,320795,747.78,4620,0.0135826,5746.0,2
7092.08342077,0.472612559795,-0.0107111,281.6251895427704,0.0,-0.394872,322623,760.82,4622,0.0193436,3944.83,2
7263.96964999,0.00401383638382,-0.0092163,283.40643644332886,0.0,-0.390522,325623,779.24,4625,0.0134807,7992.34,3
7224.98639105,0.314469754696,-0.0122881,285.17205357551575,0.0,-0.393311,327204,775.05,4627,0.0136407,4482.07,2
7283.00149547,-0.0225427150726,-0.0046043,286.943959236145,0.0,-0.382511,329204,781.26,4629,0.00785634,5786.05,2
7431.03189556,-0.0834065675735,-0.00954844,288.7189874649048,0.0,-0.367955,331204,797.13,4631,0.0117912,5893.71,2
7431.09194749,-0.0271784067154,-0.00262806,290.48460721969604,0.0,-0.387861,333204,797.13,4633,0.0158691,5806.8,2
7431.09356769,-0.0142520666122,-0.00649067,292.2587671279907,0.0,-0.364904,335204,797.13,4635,0.0124143,5809.16,2
7338.40376987,0.407125592232,-0.00862715,294.01606464385986,0.0,-0.380411,337211,787.2,4638,0.0130015,5537.99,3
7231.21542488,0.42677628994,-0.0133504,295.7815456390381,0.0,-0.39727,339062,775.71,4641,0.00841031,5154.71,3
7231.26124223,-0.00283062458038,-0.00977513,297.5636234283447,0.0,-0.398415,341062,775.71,4643,0.0112654,5826.07,2
7281.90888049,-0.00249457359314,-0.00489177,299.3289246559143,0.0,-0.395114,344062,781.14,4646,0.00783321,8600.57,3
7281.97255384,-0.0180715322495,-0.00285271,301.09383058547974,0.0,-0.409386,346062,781.14,4648,0.022471,5806.1,2
7298.16220251,0.394507527351,-0.0113692,302.85950779914856,0.0,-0.417016,348144,782.87,4651,0.0132704,6067.83,3
7314.51383964,-0.0264996290207,-0.00785005,304.6305351257324,0.0,-0.416752,350144,784.62,4653,0.00966682,5800.72,2
7361.16319469,-0.00528228282928,-0.00493572,306.3910400867462,0.0,-0.418835,352144,789.62,4655,0.00862862,5820.31,2
7361.13996787,-0.0131825208664,-0.00529524,308.16832733154297,0.0,-0.412335,354144,789.62,4657,0.0109107,5819.22,2
7481.96281704,0.26594555378,-0.013053,309.93774032592773,0.0,-0.421759,356073,802.58,4659,0.0105156,3592.16,2
7465.78682662,0.46021258831,-0.0127528,311.70335960388184,0.0,-0.439101,357900,800.85,4661,0.0154739,3761.22,2
7610.67984195,-0.00175547599792,-0.00628664,313.4689793586731,0.0,-0.441944,359900,816.39,4663,0.00993923,5884.13,2
7560.47251881,0.608353346586,-0.0121765,315.2345986366272,0.0,-0.443838,362363,811.02,4666,0.0145484,4576.81,3
7447.05834933,0.39906591177,-0.0094017,317.0158438682556,0.0,-0.45622,364147,798.86,4669,0.0120632,6848.1,3
7447.08812231,-0.00467896461487,-0.00558735,318.78146505355835,0.0,-0.452036,366147,798.86,4671,0.0189616,5880.94,2
7507.06369715,-0.0230151414871,-0.00746363,320.5522310733795,0.0,-0.444231,368147,805.29,4673,0.0102797,5894.35,2
7501.34183063,0.598332107067,-0.00516893,322.3292987346649,0.0,-0.43898,369995,804.68,4675,0.0129052,3138.83,2
7622.95518557,-0.0580762624741,-0.00609545,324.1011755466461,0.0,-0.454042,371995,817.72,4677,0.0136143,6031.05,2
7654.60747989,-0.00644874572754,0.000527092,325.8752329349518,0.0,-0.466655,373995,821.12,4679,0.0226538,5907.24,2
7654.57983906,-0.00591623783112,-0.00546231,327.65647768974304,0.0,-0.46577,375995,821.12,4681,0.00836642,5906.85,2
7654.53610354,-0.00210738182068,-0.00901703,329.4220972061157,0.0,-0.455674,377995,821.12,4683,0.0113102,5918.11,2
7684.34081797,-0.0029833316803,-0.00767,331.203341960907,0.0,-0.458863,379995,824.31,4685,0.0278051,5920.23,2
7684.23509863,0.00215250253677,-0.00794954,332.97526955604553,0.0,-0.451951,381995,824.31,4687,0.0228413,5692.35,2
