loss_ent,EpLenMean,loss_pol_surr,loss_kl,ev_tdlam_before,loss_vf_loss,EpThisIter,TimestepsSoFar,EpRewMean,loss_pol_entpen,TimeElapsed,EpisodesSoFar
4.76117,305.0,-0.0576835,0.0210396,0.988491182216,32.9711,6,329307,1007.53909958,0.0,333.54700446128845,1949
4.73245,306.51,-0.0558231,0.0234854,0.985580245964,51.0157,8,331749,1018.6464237,0.0,335.59462308883667,1957
4.71594,307.38,-0.0522395,0.0222501,0.992310814559,25.8403,7,333807,1027.35921258,0.0,337.6413118839264,1964
4.70796,308.04,-0.0523584,0.0245123,0.989657136612,25.6062,6,335611,1030.55064793,0.0,339.7033154964447,1970
4.73231,307.02,-0.054931,0.0214782,0.992845798843,22.2303,8,337902,1028.9680468,0.0,341.76613306999207,1978
4.70788,306.41,-0.0571621,0.0248493,0.986858556047,23.2927,6,339798,1025.52171453,0.0,343.81435227394104,1984
4.69014,311.89,-0.0540056,0.0249385,0.991339419037,19.4582,5,341765,1045.45200536,0.0,345.863032579422,1989
4.63905,313.1,-0.0560629,0.0232696,0.988364814781,28.3305,7,343929,1050.35962633,0.0,347.9306616783142,1996
4.63819,313.79,-0.0488585,0.0211437,0.986654268578,23.6246,6,345841,1052.63759017,0.0,349.9886326789856,2002
4.61522,313.28,-0.0460122,0.0210718,0.993264647666,19.5953,6,347779,1053.55044744,0.0,352.0375905036926,2008
4.58537,316.87,-0.0582808,0.0246896,0.992791819386,21.3677,6,350043,1069.66509567,0.0,354.1056625843048,2014
4.58377,321.57,-0.056632,0.023897,0.987972656265,25.2113,4,351886,1089.75640676,0.0,356.1485834121704,2018
4.55271,322.61,-0.051964,0.0238808,0.988986521028,29.3,8,354268,1094.39149242,0.0,358.210168838501,2026
4.59631,317.34,-0.0613347,0.0248046,0.979368370026,32.6391,7,356295,1077.52646309,0.0,360.2571225166321,2033
4.58919,316.36,-0.0608801,0.0223122,0.980036960915,47.0508,7,358133,1073.62499066,0.0,362.32847905158997,2040
4.56181,321.33,-0.0539141,0.0227758,0.992174889892,26.2274,6,360417,1095.59237333,0.0,364.3811733722687,2046
4.53063,320.21,-0.0481698,0.0307824,0.992695565335,19.6466,5,362043,1092.17224435,0.0,366.4449272155762,2051
4.50919,324.59,-0.0594797,0.0258338,0.991989125498,20.1083,7,364467,1108.22376658,0.0,368.4846079349518,2058
4.50699,319.32,-0.0537635,0.0196813,0.990797623992,18.8866,8,366510,1090.68038381,0.0,370.54745173454285,2066
4.49252,319.34,-0.0538528,0.0227937,0.99337039981,22.0707,7,368392,1091.6214907,0.0,372.60323429107666,2073
4.4968,316.69,-0.0430968,0.0173711,0.955034278333,48.2332,8,370447,1082.92964535,0.0,374.65670585632324,2081
4.49692,310.5,-0.0592137,0.017897,0.989103174768,26.7003,7,372441,1061.46818676,0.0,376.7193284034729,2088
4.4527,310.28,-0.0557672,0.0257156,0.985678239726,32.1704,7,374655,1062.20363611,0.0,378.7830648422241,2095
4.44769,309.81,-0.0588833,0.0232437,0.990180583671,29.9652,7,376822,1061.4401452,0.0,380.8467514514923,2102
4.40554,309.11,-0.0582403,0.0277546,0.988420859911,39.5304,6,378690,1059.20641993,0.0,382.8939311504364,2108
4.41073,297.57,-0.0599471,0.0285685,0.993207005784,18.8514,8,380855,1017.60226189,0.0,384.9609453678131,2116
4.42329,302.01,-0.0516429,0.0171175,0.984295519069,14.9458,3,382466,1032.7958971,0.0,387.00650215148926,2119
4.41138,309.46,-0.0542771,0.0262654,0.988090835512,32.9537,5,384688,1060.68192886,0.0,389.06795620918274,2124
4.3924,312.93,-0.052203,0.0182388,0.984062733129,39.4311,7,387032,1073.7777452,0.0,391.1177079677582,2131
4.4053,313.63,-0.0543623,0.0195149,0.98553621769,32.3972,4,388246,1076.19889169,0.0,393.18011569976807,2135
4.40802,329.71,-0.0451005,0.0255512,0.987358307466,31.0672,4,390981,1134.74736342,0.0,395.227281332016,2139
4.34555,331.95,-0.0516326,0.0257582,0.987120226026,40.5089,6,393154,1143.15134945,0.0,397.2739827632904,2145
4.31407,333.09,-0.051955,0.0315352,0.99062987417,23.1744,5,395070,1146.96588664,0.0,399.3361520767212,2150
4.30426,332.74,-0.0577833,0.0199489,0.991691454314,21.6049,6,397190,1146.02741653,0.0,401.38396525382996,2156
4.27814,337.41,-0.052831,0.0240779,0.993890799582,16.0784,5,398991,1164.54048719,0.0,403.4379692077637,2161
4.25723,342.54,-0.0557884,0.0283078,0.993349896278,20.8428,7,401289,1183.35275114,0.0,405.5007293224335,2168
4.28637,346.49,-0.0588569,0.0287121,0.993978076614,19.9853,6,403382,1197.87303702,0.0,407.5632266998291,2174
