EpThisIter,EpRewMean,loss_pol_entpen,TimeElapsed,TimestepsSoFar,EpLenMean,EpisodesSoFar,loss_pol_surr,loss_vf_loss,loss_kl,loss_ent,ev_tdlam_before
2,957.77,0.0,301.89098954200745,394399,957.77,1163,-0.00793699,36.1266,0.00601609,1.16896,0.573410689831
2,957.77,0.0,303.4521367549896,396399,957.77,1165,-0.00233139,69.195,0.00481563,1.16488,-0.00206637382507
2,966.32,0.0,305.01562666893005,398399,966.32,1167,-0.00905812,69.0661,0.00693555,1.17067,-0.00759494304657
3,959.69,0.0,306.58235692977905,400736,959.69,1170,-0.00830864,96.2211,0.00635543,1.15746,0.0140514373779
2,959.69,0.0,308.16029119491577,402736,959.69,1172,-0.00825009,67.6798,0.00556296,1.13372,-0.017528295517
2,959.69,0.0,309.7176516056061,404736,959.69,1174,-0.00939177,67.3982,0.00841601,1.1333,0.00412046909332
2,959.69,0.0,311.280535697937,406736,959.69,1176,-0.00847057,44.364,0.00552325,1.13644,0.320735752583
2,959.69,0.0,312.8425807952881,408736,959.69,1178,-0.00832873,68.8592,0.00742225,1.1616,-0.00441324710846
2,959.69,0.0,314.40611481666565,410736,959.69,1180,-0.00867847,63.4141,0.00551779,1.15657,0.00249862670898
3,951.48,0.0,315.98430037498474,412915,951.48,1183,-0.00847515,56.3668,0.00807029,1.15886,0.588120758533
2,951.48,0.0,317.5456097126007,414915,951.48,1185,-0.00736492,68.4154,0.0113914,1.15238,0.0208015441895
2,951.48,0.0,319.1091547012329,416915,951.48,1187,-0.0111159,66.2382,0.00914397,1.13648,0.00287616252899
2,951.48,0.0,320.6607801914215,418915,951.48,1189,-0.00317934,69.7328,0.00225273,1.13432,-0.00705051422119
3,960.05,0.0,322.2022898197174,421538,960.05,1192,-0.0164204,100.195,0.00895162,1.098,-0.0406360626221
2,954.63,0.0,323.7645900249481,422996,954.63,1194,-0.00435613,38.4728,0.0142998,1.0858,0.0734180808067
