EpLenMean,loss_pol_entpen,ev_tdlam_before,loss_kl,loss_vf_loss,loss_ent,EpisodesSoFar,TimeElapsed,loss_pol_surr,TimestepsSoFar,EpRewMean,EpThisIter
1000.0,0.0,0.0352559685707,0.0369689,97.36,1.25508,350,306.97019362449646,-0.030333,350000,1088.37146509,2
1000.0,0.0,0.0891514420509,0.0249518,98.3559,1.25419,352,308.7503640651703,-0.040043,352000,1090.8660417,2
1000.0,0.0,0.239317536354,0.0405244,101.649,1.22495,354,310.56360936164856,-0.0411433,354000,1092.53698256,2
1000.0,0.0,0.0315039753914,0.0290429,95.0446,1.21537,356,312.34451127052307,-0.0414381,356000,1095.58227598,2
1000.0,0.0,0.149329841137,0.021985,94.1993,1.17033,358,314.1251518726349,-0.0411057,358000,1098.24936555,2
1000.0,0.0,0.0559754371643,0.0269245,95.7085,1.15106,360,315.9226350784302,-0.0357603,360000,1099.93104209,2
1000.0,0.0,0.0317667722702,0.0377558,101.459,1.11847,362,317.7194609642029,-0.0318107,362000,1102.25510445,2
1000.0,0.0,0.0600227713585,0.0255755,101.882,1.12179,364,319.50066566467285,-0.0359097,364000,1105.37044735,2
1000.0,0.0,0.0456976294518,0.0220226,102.405,1.08378,366,321.28174567222595,-0.0397065,366000,1108.34866928,2
1000.0,0.0,0.0562071800232,0.0274248,103.707,1.03754,368,323.07095217704773,-0.0375357,368000,1111.28219577,2
1000.0,0.0,0.062165081501,0.0338514,103.745,1.01156,370,324.8597478866577,-0.0383776,370000,1114.01489764,2
1000.0,0.0,0.0381054878235,0.0397887,104.942,0.997286,372,326.64120054244995,-0.0330308,372000,1117.07250729,2
1000.0,0.0,0.0703592896461,0.0375888,104.812,0.924473,374,328.43756556510925,-0.0399383,374000,1119.77921259,2
1000.0,0.0,0.0952967405319,0.0366292,102.971,0.902331,376,330.21946144104004,-0.0322472,376000,1123.38766665,2
1000.0,0.0,0.0855503678322,0.0305109,104.295,0.8604,378,332.0164604187012,-0.0370871,378000,1126.98474179,2
1000.0,0.0,0.0492707490921,0.0248773,104.237,0.843063,380,333.7974739074707,-0.0404115,380000,1129.40421017,2
1000.0,0.0,0.199402451515,0.0341252,108.622,0.835353,382,335.59439730644226,-0.0427548,382000,1131.59526307,2
1000.0,0.0,0.0432407855988,0.0354594,152.822,0.820659,385,337.3751130104065,-0.0395365,385000,1135.39755313,3
1000.0,0.0,0.0657047629356,0.0303027,101.209,0.822691,387,339.15679240226746,-0.0350504,387000,1138.25255832,2
1000.0,0.0,0.0552502274513,0.0236061,104.468,0.768442,389,340.9400005340576,-0.037509,389000,1141.34982582,2
1000.0,0.0,0.0507389903069,0.0249473,108.503,0.74936,391,342.7513406276703,-0.037763,391000,1143.36397215,2
1000.0,0.0,0.161277830601,0.03106,107.26,0.74997,393,344.5626263618469,-0.0357859,393000,1146.29803513,2
1000.0,0.0,0.162746012211,0.0309409,111.196,0.724927,395,346.3437578678131,-0.0387799,395000,1148.17465064,2
1000.0,0.0,0.0907793045044,0.0306943,106.356,0.715952,397,348.12555408477783,-0.0354261,397000,1151.57153867,2
1000.0,0.0,0.0625801682472,0.0283286,108.965,0.678707,399,349.9540057182312,-0.0368526,399000,1153.95730206,2
1000.0,0.0,0.175065815449,0.025352,112.965,0.670397,401,351.73495388031006,-0.0399427,401000,1157.34270283,2
1000.0,0.0,0.297004699707,0.0465096,113.02,0.659373,403,353.5318682193756,-0.0313161,403000,1160.36701965,2
1000.0,0.0,0.0729625225067,0.0211664,108.68,0.664426,405,355.3129303455353,-0.0362629,405000,1162.17326674,2
1000.0,0.0,0.196090102196,0.0291083,111.046,0.682365,407,357.1091649532318,-0.0382209,407000,1164.94878365,2
1000.0,0.0,0.0427734851837,0.0248523,109.904,0.651547,409,358.89085030555725,-0.0364791,409000,1165.91769641,2
1000.0,0.0,0.0854058861732,0.0268297,113.858,0.620392,411,360.6956741809845,-0.0371912,411000,1168.42569009,2
1000.0,0.0,0.0378456711769,0.0407616,106.778,0.625718,413,362.4853546619415,-0.0324,413000,1170.96272703,2
1000.0,0.0,0.104457437992,0.0352588,107.013,0.607967,415,364.3604996204376,-0.0325009,415000,1172.98283208,2
1000.0,0.0,0.0311389565468,0.0365228,110.399,0.602438,417,366.1418535709381,-0.0311913,417000,1175.82948477,2
1000.0,0.0,0.0483865141869,0.0268499,105.234,0.603338,419,367.9531111717224,-0.0345599,419000,1178.10362651,2
1000.0,0.0,0.0182510614395,0.0322282,110.243,0.599597,421,369.7506728172302,-0.031132,421000,1181.19973339,2
1000.0,0.0,0.0432224869728,0.0226364,110.072,0.613235,423,371.5320053100586,-0.0339127,423000,1182.78097223,2
1000.0,0.0,0.0425674319267,0.0255757,113.652,0.596254,425,373.31245160102844,-0.0368167,425000,1184.66609618,2
1000.0,0.0,0.0205049514771,0.0261469,155.791,0.598319,428,375.11017656326294,-0.0389629,428000,1187.31853938,3
1000.0,0.0,0.041257083416,0.0314941,111.887,0.602726,430,376.89104866981506,-0.0313292,430000,1190.31360003,2
1000.0,0.0,0.0281184315681,0.0370495,109.945,0.59593,432,378.6723544597626,-0.0322141,432000,1192.8690921,2
1000.0,0.0,0.0626720190048,0.0325706,115.806,0.582073,434,380.46583318710327,-0.0338534,434000,1194.76302698,2
1000.0,0.0,0.0407267212868,0.0212005,110.609,0.558892,436,382.25037026405334,-0.037246,436000,1196.79463133,2
1000.0,0.0,0.0948435664177,0.0247359,112.842,0.548904,438,384.0313196182251,-0.0399682,438000,1199.46404404,2
1000.0,0.0,0.0665526390076,0.0386417,113.497,0.555921,440,385.8282606601715,-0.0287181,440000,1202.37352708,2
1000.0,0.0,0.0861142873764,0.0363444,108.937,0.536238,442,387.60949969291687,-0.0373037,442000,1205.82790411,2
1000.0,0.0,0.0306888222694,0.0288549,114.495,0.503628,444,389.40761613845825,-0.0352781,444000,1208.57893506,2
1000.0,0.0,0.236328244209,0.0461707,120.011,0.47912,446,391.18994212150574,-0.0389375,446000,1210.53744499,2
1000.0,0.0,0.106870234013,0.0260532,119.478,0.475726,448,392.96908950805664,-0.0336083,448000,1212.67973911,2
1000.0,0.0,0.187127649784,0.0269233,117.069,0.429273,450,394.76594281196594,-0.0388042,450000,1215.65945777,2
1000.0,0.0,0.105556726456,0.0347825,117.88,0.404543,452,396.54695415496826,-0.0327051,452000,1219.55240155,2
1000.0,0.0,0.0251688957214,0.0316755,117.986,0.412145,454,398.3287343978882,-0.0337239,454000,1222.64879676,2
1000.0,0.0,0.0192117094994,0.0285192,122.837,0.397611,456,400.10995507240295,-0.0350622,456000,1225.43262901,2
