loss_kl,TimeElapsed,loss_pol_surr,ev_tdlam_before,loss_pol_entpen,TimestepsSoFar,EpLenMean,EpisodesSoFar,EpThisIter,loss_ent,EpRewMean,loss_vf_loss
0.0336385,363.12866854667664,-0.0301617,0.0915194153786,0.0,407000,1000.0,407,2,0.3506,1221.79352916,117.003
0.0506747,364.9567868709564,-0.0271833,0.0671179294586,0.0,409000,1000.0,409,2,0.314667,1223.67034733,119.663
0.0301894,366.78468346595764,-0.0365988,0.0779501795769,0.0,411000,1000.0,411,2,0.301214,1227.41520672,120.359
0.0368554,368.60988211631775,-0.0343405,0.0936025381088,0.0,413000,1000.0,413,2,0.259365,1230.84329322,122.831
0.0234241,370.5196979045868,-0.0387426,0.0784187316895,0.0,415000,1000.0,415,2,0.237955,1233.12738581,120.061
0.0690231,372.33219361305237,-0.0234758,0.0811901092529,0.0,417000,1000.0,417,2,0.257016,1235.05990444,120.636
0.0384382,374.14468717575073,-0.0317211,0.0644752979279,0.0,419000,1000.0,419,2,0.232544,1237.55625533,124.893
0.0294705,375.95718264579773,-0.0297736,0.0796231031418,0.0,421000,1000.0,421,2,0.247314,1240.50684862,119.614
0.0373777,377.7853021621704,-0.0343679,0.0908433198929,0.0,423000,1000.0,423,2,0.244827,1242.2722329,119.584
0.0411809,379.5977966785431,-0.0435317,0.309263825417,0.0,425000,1000.0,425,2,0.245944,1243.16027218,120.893
0.0223657,381.40194964408875,-0.037453,0.0730069279671,0.0,428000,1000.0,428,3,0.213739,1244.17150478,171.93
0.0272478,383.2148940563202,-0.0352413,0.0830931663513,0.0,430000,1000.0,430,2,0.233072,1245.22936166,123.572
0.0445975,385.0445988178253,-0.0290372,0.071261882782,0.0,432000,1000.0,432,2,0.195624,1246.65924298,116.176
0.0334152,386.862154006958,-0.0316778,0.0799141526222,0.0,434000,1000.0,434,2,0.208959,1247.39148958,118.383
0.0299301,388.6746492385864,-0.0350558,0.0578554868698,0.0,436000,1000.0,436,2,0.185781,1249.41410503,118.855
0.0479496,390.4871428012848,-0.033648,0.118576407433,0.0,438000,1000.0,438,2,0.197719,1249.86805801,119.526
