loss_kl,EpLenMean,TimestepsSoFar,EpisodesSoFar,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,loss_ent,TimeElapsed,loss_vf_loss,EpThisIter,EpRewMean
0.0299653,409.91,353820,2031,0.0,0.943294979632,-0.0550682,4.7303,353.4842562675476,213.499,5,1641.77106743
0.0265708,419.01,356053,2034,0.0,0.935379460454,-0.0479266,4.71184,355.51256346702576,106.537,3,1682.38765437
0.0167323,432.47,358279,2037,0.0,0.898321859539,-0.0440208,4.70653,357.55169200897217,254.903,3,1743.48948565
0.0286124,434.91,360087,2040,0.0,0.964161626995,-0.0635822,4.71264,359.58297967910767,76.9043,3,1761.24349022
0.0271122,438.39,362206,2043,0.0,0.965235047042,-0.0562668,4.6742,361.62187123298645,102.693,3,1783.64960055
0.0209111,446.97,364193,2046,0.0,0.875701107085,-0.0320422,4.67013,363.64542722702026,717.946,3,1824.31536875
0.0267373,461.15,366193,2048,0.0,0.253757715225,-0.0320994,4.67837,365.67684626579285,1401.42,2,1884.56618286
0.0336655,468.47,367746,2051,0.0,0.905503220856,-0.0432069,4.63187,367.7081711292267,266.144,3,1918.30059054
0.0297689,481.03,370398,2055,0.0,0.941431250423,-0.0470184,4.64389,369.7388291358948,200.872,4,1977.30756073
0.0324785,480.97,371818,2059,0.0,0.968255616724,-0.0635163,4.61632,371.7547376155853,120.066,4,1979.6179282
0.0273498,486.5,374764,2064,0.0,0.869540840387,-0.0480158,4.5647,373.7860972881317,816.936,5,2012.87420908
0.0281825,496.64,376749,2067,0.0,0.849027365446,-0.0393324,4.54582,375.8175094127655,652.895,3,2063.55588267
0.0265128,489.76,378755,2072,0.0,0.950190618634,-0.0581485,4.53827,377.8488805294037,268.503,5,2036.34000314
0.0262493,485.45,380424,2076,0.0,0.980124847963,-0.0581239,4.55014,379.872435092926,67.8973,4,2019.93550489
0.024954,483.31,382807,2082,0.0,0.964444626123,-0.0599463,4.5444,381.8899419307709,109.296,6,2018.34575309
0.0263814,487.33,384269,2085,0.0,0.970789279789,-0.0432346,4.54494,383.9186987876892,176.463,3,2037.46967419
