EpisodesSoFar,loss_vf_loss,EpRewMean,loss_pol_entpen,EpThisIter,TimestepsSoFar,TimeElapsed,loss_ent,loss_pol_surr,EpLenMean,loss_kl,ev_tdlam_before
1761,136.68,1600.84339427,0.0,5,347816,368.19596552848816,4.50564,-0.0668532,461.93,0.0274563,0.959117367864
1764,208.006,1642.57174854,0.0,3,350043,370.3405194282532,4.4632,-0.05461,470.99,0.0300616,0.880214348435
1767,113.579,1655.34181454,0.0,3,351737,372.48636770248413,4.44331,-0.0579522,473.87,0.0255621,0.948771383613
1774,323.862,1621.59779605,0.0,7,354280,374.63465213775635,4.42662,-0.0597658,464.58,0.0191513,0.87246401608
1777,605.136,1629.09770209,0.0,3,355746,376.7967908382416,4.41893,-0.0443358,465.68,0.0295591,0.819640487432
1782,207.003,1615.87027585,0.0,5,358106,378.9623463153839,4.39397,-0.0558528,461.68,0.0252279,0.833209857345
1787,601.562,1614.25030605,0.0,5,360374,381.10409212112427,4.38745,-0.047537,461.54,0.0258621,0.614745616913
1790,226.289,1637.13086947,0.0,3,361961,383.26159286499023,4.35695,-0.0520636,464.99,0.0293682,0.839244216681
1794,228.583,1658.46809594,0.0,4,364055,385.40776920318604,4.40337,-0.0564293,470.0,0.0238752,0.884502127767
1797,249.415,1708.56897334,0.0,3,366294,387.5804212093353,4.41475,-0.0471402,480.65,0.0292343,0.855547264218
1802,139.227,1695.5346548,0.0,5,368275,389.7151777744293,4.37967,-0.0574353,475.74,0.0316675,0.882978104055
1806,202.682,1712.59347123,0.0,4,370401,391.8668749332428,4.36729,-0.0597413,480.2,0.0286213,0.925199240446
1810,160.485,1752.77206196,0.0,4,372417,394.00933480262756,4.32275,-0.0636232,489.05,0.0320079,0.942568391562
1818,178.51,1710.80040112,0.0,8,374763,396.16543769836426,4.31762,-0.0640807,478.02,0.0271473,0.92970123142
1821,142.419,1719.22853466,0.0,3,376287,398.3236572742462,4.30261,-0.0645345,479.46,0.0289471,0.931964896619
1825,161.734,1729.1712547,0.0,4,378619,400.4716806411743,4.31337,-0.0555706,481.61,0.0362967,0.918497994542
1830,183.618,1713.75046653,0.0,5,380370,402.6119022369385,4.29355,-0.0578401,477.05,0.0309373,0.943846505135
1836,173.097,1667.22606651,0.0,6,382586,404.7584412097931,4.26421,-0.0745237,463.84,0.0269838,0.95008321479
1841,151.922,1624.94122758,0.0,5,384652,406.9147119522095,4.24297,-0.0566236,451.35,0.0251574,0.931819416583
