loss_pol_surr,loss_pol_entpen,EpRewMean,EpThisIter,EpLenMean,TimestepsSoFar,loss_kl,loss_ent,TimeElapsed,loss_vf_loss,EpisodesSoFar,ev_tdlam_before
-0.0345238,0.0,1404.93311622,5,391.81,524126,0.0234428,1.11921,579.4694163799286,6.99633,2423,0.994893618859
-0.0329251,0.0,1346.84659578,6,373.58,526154,0.0220076,1.11722,581.970716714859,18.6218,2429,0.991987584159
-0.0439363,0.0,1336.19639179,6,369.37,528352,0.0239284,1.10553,584.2410318851471,16.3196,2435,0.994091568515
-0.0308447,0.0,1338.01227362,4,370.17,530031,0.0213689,1.10335,586.3668684959412,49.9323,2439,0.964467428625
-0.0270968,0.0,1335.82262947,6,369.06,532359,0.0228878,1.10957,588.490975856781,92.4925,2445,0.973190417513
-0.0346811,0.0,1340.27850678,5,370.53,534219,0.027663,1.11392,590.5619525909424,15.4277,2450,0.983398940414
-0.0390235,0.0,1357.86023808,5,375.47,536337,0.0203495,1.12459,592.6554565429688,10.5947,2455,0.983336795121
-0.0447113,0.0,1376.96365713,4,381.0,538330,0.0267977,1.10014,594.7520639896393,8.91661,2459,0.989333271049
-0.0411485,0.0,1389.2236002,5,384.25,540431,0.0224427,1.11159,596.8822264671326,16.6195,2464,0.989497457631
-0.0398904,0.0,1382.39238348,6,382.42,542532,0.0243304,1.09592,598.9751906394958,14.0138,2470,0.992356001399
-0.0335155,0.0,1389.25052863,4,384.02,544381,0.0222718,1.08607,601.0690820217133,14.1102,2474,0.993472781032
-0.0376358,0.0,1394.9921434,5,384.96,546461,0.0242702,1.04221,603.1483461856842,6.01231,2479,0.993136573583
-0.0360622,0.0,1394.2017947,5,385.32,548629,0.0180427,1.07229,605.2739052772522,10.6386,2484,0.989424232394
-0.0437756,0.0,1401.67865734,6,386.71,550665,0.0205317,1.07833,607.3981192111969,7.67873,2490,0.994293739554
-0.031021,0.0,1425.79314056,4,392.9,552584,0.0223587,1.04974,609.4919624328613,29.3056,2494,0.978914897889
-0.0383088,0.0,1441.69191439,5,396.54,554670,0.0168937,1.03849,611.5624272823334,13.628,2499,0.990040252917
-0.0343866,0.0,1443.39553784,6,395.7,556867,0.0251258,1.008,613.6428146362305,6.34219,2505,0.993396424223
-0.032507,0.0,1423.00097687,7,389.46,558957,0.0353259,1.01127,615.7559103965759,31.4957,2512,0.983483012766
-0.0344581,0.0,1426.86770687,5,390.17,560916,0.0173586,1.00127,617.945166349411,18.253,2517,0.989319592714
-0.0394865,0.0,1424.47976531,6,389.3,563056,0.0295348,0.982508,620.1254329681396,19.4026,2523,0.987556617707
-0.039401,0.0,1418.60143237,7,387.61,565193,0.0297475,0.997376,622.2969007492065,49.3395,2530,0.98052371107
-0.0415733,0.0,1405.02802306,6,383.04,567053,0.0245163,0.995478,624.5466725826263,25.6691,2536,0.990680294111
-0.0287434,0.0,1387.10930901,6,377.55,569035,0.028846,1.00122,626.8274929523468,71.2292,2542,0.975981632248
-0.0306701,0.0,1378.38237829,7,373.87,571258,0.0290179,0.963962,629.1723582744598,15.307,2549,0.991105018184
-0.0320677,0.0,1368.56955442,5,370.27,573030,0.0227792,0.958735,631.4606745243073,11.7845,2554,0.992911608424
-0.0366605,0.0,1358.8948549,6,366.9,575436,0.0243861,0.958236,633.734484910965,27.6341,2560,0.989957988262
-0.0431559,0.0,1336.65093783,7,360.31,577526,0.0280617,0.929253,636.0780739784241,15.971,2567,0.99326053774
-0.0357317,0.0,1320.30901881,6,355.01,579521,0.0250657,0.918849,638.5470464229584,16.4516,2573,0.994084718172
