EpLenMean,loss_vf_loss,loss_kl,ev_tdlam_before,loss_ent,TimestepsSoFar,loss_pol_surr,EpRewMean,EpisodesSoFar,TimeElapsed,EpThisIter,loss_pol_entpen
681.02,4923.5,0.021386,0.248041331768,-0.398901,331594,-0.00959833,6341.06546683,4798,289.1090326309204,2,0.0
687.08,3540.57,0.0354724,0.51162147522,-0.398979,333308,-0.000421015,6397.58866796,4800,290.8746519088745,2,0.0
694.41,4880.86,0.0265978,0.608898431063,-0.394355,335214,-0.00910287,6465.97941406,4803,292.6487834453583,3,0.0
710.74,4178.01,0.0210764,0.7143881917,-0.406454,337632,-0.0104346,6618.17389929,4806,294.41509652137756,3,0.0
711.3,6252.31,0.0130604,0.504137337208,-0.429563,339678,-0.0118984,6623.57358722,4809,296.1881306171417,3,0.0
724.5,5825.86,0.0231895,-0.0627695322037,-0.434101,341678,-0.0108951,6746.63631009,4811,297.9533751010895,2,0.0
734.45,6498.17,0.0138507,0.342126429081,-0.433365,343942,-0.00317924,6839.41650686,4814,299.7339656352997,3,0.0
740.72,4590.78,0.0240304,0.694987535477,-0.429604,345769,-0.00575799,6897.99624758,4817,301.49958515167236,3,0.0
740.86,5411.84,0.010893,0.684625834227,-0.430732,347563,-0.00799712,6899.38024149,4820,303.2652049064636,3,0.0
735.65,3919.83,0.0200004,0.7571285218,-0.417774,349597,-0.00348258,6851.00589255,4824,305.0308241844177,4,0.0
727.65,5211.76,0.0163879,0.772889196873,-0.43894,351956,-0.00707372,6776.51062724,4828,306.8276948928833,4,0.0
741.75,6357.02,0.011357,-0.0429669618607,-0.428125,353956,-0.0140728,6907.99005571,4830,308.59397411346436,2,0.0
748.86,5806.51,0.0234349,-0.0981632471085,-0.423258,355956,0.00195123,6974.27894389,4832,310.3749985694885,2,0.0
749.71,7717.83,0.0145856,0.178388416767,-0.420997,358003,-0.00821884,6982.31348113,4835,312.1403839588165,3,0.0
759.51,5787.69,0.0229701,-0.0161427259445,-0.407979,360003,-0.00450514,7073.60617336,4837,313.9372537136078,2,0.0
770.64,5733.05,0.0131041,-0.0658942461014,-0.422486,362003,-0.0127001,7177.32233683,4839,315.70338702201843,2,0.0
768.65,7167.36,0.0122368,0.357331454754,-0.422235,364329,-0.00997549,7158.83115169,4843,317.48463249206543,4,0.0
776.32,4290.92,0.0184678,0.52246311307,-0.429349,366286,-0.0114662,7230.27093213,4845,319.26509523391724,2,0.0
766.28,5421.89,0.0196577,0.622858226299,-0.431337,368282,-0.0146184,7136.67458931,4848,321.0471715927124,3,0.0
765.89,4149.13,0.0211103,0.614573299885,-0.426355,370416,-0.0110357,7132.96177369,4851,322.8204710483551,3,0.0
757.94,6694.09,0.042728,0.26438075304,-0.407806,372565,0.00634096,7058.90507798,4854,324.59372305870056,3,0.0
767.53,5799.22,0.0244369,-0.0365985631943,-0.421224,374565,-0.0018608,7148.19475865,4856,326.35897493362427,2,0.0
759.77,7476.57,0.0106602,0.223216772079,-0.409689,376711,-0.0116063,7075.87610672,4859,328.14022040367126,3,0.0
750.7,4450.29,0.0230988,0.457310140133,-0.398524,378804,-0.0101539,6991.34975639,4862,329.9058392047882,3,0.0
735.39,6381.51,0.014387,0.421065211296,-0.439626,380273,-0.0175854,6848.68027417,4865,331.7027096748352,3,0.0
725.38,11081.6,0.0203145,0.358481526375,-0.449076,382909,-0.00880667,6755.52692977,4870,333.4683287143707,5,0.0
738.34,5057.62,0.0100818,-0.0107247829437,-0.445935,384909,-0.0128343,6876.32830315,4872,335.24957394599915,2,0.0
722.86,5056.83,0.0112538,0.565835088491,-0.459463,386361,-0.0126557,6732.08266178,4875,337.03081941604614,3,0.0
722.86,5585.68,0.0197394,-0.0243773460388,-0.45834,388361,-0.0141531,6732.1377659,4877,338.8120632171631,2,0.0
706.34,7977.12,0.0165058,0.443044304848,-0.455961,390709,-0.0142105,6578.16470819,4881,340.5779666900635,4,0.0
716.78,5396.22,0.0109711,0.505617946386,-0.457434,392909,-0.00631201,6675.39935432,4884,342.3592691421509,3,0.0
721.63,4682.49,0.00995188,0.633655697107,-0.449014,395208,-0.0151531,6720.63412845,4888,344.1209125518799,4,0.0
707.4,5698.25,0.0273802,0.604420691729,-0.463104,396785,-0.00202763,6588.04838015,4891,345.91366505622864,3,0.0
711.54,5511.41,0.0233498,0.0983244776726,-0.474819,398703,-0.00686111,6626.66923676,4893,347.6875584125519,2,0.0
711.77,5047.65,0.022006,0.56657102704,-0.465121,400817,-0.0101168,6628.85727569,4896,349.45273089408875,3,0.0
712.08,4000.28,0.0138103,0.517975866795,-0.453365,402802,-0.0089748,6631.8139404,4898,351.2339746952057,2,0.0
714.94,6022.22,0.00803156,-0.11320412159,-0.466028,404802,-0.0111799,6658.55642603,4900,353.0081615447998,2,0.0
711.26,7985.22,0.0369442,0.416734516621,-0.480722,407283,-0.00362253,6624.31523174,4904,354.7807548046112,4,0.0
715.93,6320.92,0.0484404,0.190513730049,-0.477848,409590,0.00112519,6667.88854596,4907,356.55695390701294,3,0.0
667.92,4389.02,0.00620657,0.851459756494,-0.47552,411527,-0.00883763,6220.62524991,4915,358.32804775238037,8,0.0
630.57,5306.02,0.0080495,0.872453346848,-0.475827,413592,-0.0150088,5872.67766758,4925,360.10908603668213,10,0.0
623.16,4163.96,0.00845522,0.795045673847,-0.480212,415272,-0.0128834,5803.71271875,4929,361.89033031463623,4,0.0
596.47,7362.81,0.0183738,0.772746324539,-0.485383,417650,-0.0103153,5555.10437143,4935,363.6559498310089,6,0.0
596.47,6430.7,0.0175985,-0.113069176674,-0.479534,419650,-0.00989742,5555.19018538,4937,365.42157006263733,2,0.0
596.47,5689.01,0.0158055,-0.0307891368866,-0.473991,421650,-0.00360807,5555.30007041,4939,367.20281434059143,2,0.0
591.62,1476.77,0.0178458,0.868852078915,-0.47728,423165,-0.00831111,5510.17308909,4941,368.9684338569641,2,0.0
601.31,6364.06,0.0191766,0.305477976799,-0.470225,425417,-0.00832117,5600.61634476,4944,370.74967861175537,3,0.0
601.31,5852.14,0.0225313,-0.0567705631256,-0.477084,427417,-0.0112727,5600.73945415,4946,372.51529836654663,2,0.0
608.94,7716.75,0.0288394,0.230198860168,-0.491495,429539,-0.0102968,5672.07435015,4949,374.2809178829193,3,0.0
611.23,5750.79,0.0345902,-0.0210702419281,-0.471306,431539,0.000894958,5693.60905361,4951,376.04653811454773,2,0.0
611.23,5865.0,0.0262353,-0.0559537410736,-0.462603,433539,-0.0102055,5693.71101622,4953,377.82778239250183,2,0.0
593.73,8415.05,0.0120923,0.496980011463,-0.478178,435938,-0.00906962,5530.75097486,4958,379.5934019088745,5,0.0
602.54,3237.02,0.0259632,0.677742570639,-0.458649,437552,-0.0121406,5612.91097329,4960,381.3712387084961,2,0.0
594.4,6798.37,0.0131539,0.559630930424,-0.466235,439601,-0.0106475,5537.08955658,4964,383.1403284072876,4,0.0
600.91,6379.67,0.0132156,0.474390983582,-0.485942,441674,-0.0121581,5597.79009276,4967,384.9059479236603,3,0.0
608.89,6654.08,0.0176559,0.410374701023,-0.482563,443798,-0.00666272,5672.14796012,4970,386.67156744003296,3,0.0
608.89,6178.57,0.0363555,-0.176113724709,-0.491718,445798,-0.00754191,5672.1610609,4972,388.4371874332428,2,0.0
