loss_kl,loss_pol_surr,TimeElapsed,ev_tdlam_before,EpThisIter,EpisodesSoFar,EpLenMean,loss_ent,TimestepsSoFar,loss_pol_entpen,EpRewMean,loss_vf_loss
0.00737824,-0.00907869,231.28874111175537,0.633569478989,6,4790,593.94,-0.499572,263598,0.0,5528.16700458,8378.49
0.0125722,-0.00610665,233.07861971855164,0.35835814476,3,4793,601.3,-0.489907,265865,0.0,5596.66443666,6435.54
0.0144525,-0.00888076,234.84423756599426,0.522939562798,3,4796,588.83,-0.492272,267618,0.0,5480.47874527,5333.85
0.0188552,-0.00675342,236.62491369247437,-0.0230273008347,2,4798,598.14,-0.479475,269618,0.0,5567.22554512,5224.04
0.014337,-0.00819492,238.40615820884705,0.327193558216,3,4801,598.4,-0.460179,272234,0.0,5569.62785579,5859.81
0.0141751,-0.00909802,240.1874029636383,0.247706949711,2,4803,595.6,-0.442865,273954,0.0,5543.53679112,4658.58
0.0226439,-0.0095392,241.95302200317383,-0.0781636238098,2,4805,595.6,-0.432271,275954,0.0,5543.51004126,5405.08
0.0137831,-0.00302914,243.74989247322083,0.54486605525,3,4808,602.18,-0.438889,277729,0.0,5604.76420822,5157.93
0.0166439,-0.00563905,245.51551151275635,0.492981016636,3,4811,602.57,-0.43582,279966,0.0,5608.5218729,5453.48
0.0509468,-0.00209053,247.2967565059662,0.404284417629,3,4814,619.91,-0.439414,282182,0.0,5770.1060916,6514.99
0.0226742,-0.00539076,249.07800102233887,-0.0180503129959,2,4816,630.62,-0.426619,284182,0.0,5869.92927157,5442.54
0.00853864,-0.0107051,250.85924553871155,0.43658810854,4,4820,617.62,-0.434571,286182,0.0,5749.01887248,7839.69
0.0176645,-0.0108767,252.64504957199097,0.283179879189,3,4823,617.13,-0.435512,288395,0.0,5744.5662854,6995.55
0.023327,-0.0082324,254.42085337638855,-0.0854674577713,2,4825,623.84,-0.417467,290395,0.0,5807.21145677,5474.82
0.0428775,0.00471102,256.2020962238312,0.322267532349,3,4828,628.88,-0.420112,292556,0.0,5854.28271004,4570.65
0.00861923,-0.00975641,257.9863066673279,0.211062431335,3,4831,631.24,-0.402722,294660,0.0,5876.39728476,5711.66
0.0427683,0.00236639,259.75005865097046,-0.0566476583481,2,4833,638.7,-0.426976,296660,0.0,5946.09297325,5620.14
0.00431513,-0.00797275,261.54693031311035,0.587431609631,3,4836,644.65,-0.415568,298806,0.0,6001.74209805,4601.58
0.0154469,-0.0109354,263.31305146217346,0.665071517229,4,4840,641.92,-0.410888,300262,0.0,5976.55725179,5202.19
0.0211865,-0.00317265,265.10946130752563,0.443455219269,3,4843,651.84,-0.406547,302840,0.0,6069.09777568,6723.95
0.0176275,-0.00772397,266.8907058238983,-0.0884872674942,2,4845,657.03,-0.406722,304840,0.0,6117.50339833,5713.56
0.0250012,-0.00292557,268.6719512939453,0.602390348911,4,4849,661.68,-0.420814,306974,0.0,6160.85060617,5125.44
0.0110212,-0.00751305,270.4531955718994,0.385526835918,3,4852,664.51,-0.417486,309098,0.0,6187.2642667,7121.3
0.0115927,-0.00997654,272.2299909591675,0.550186812878,2,4854,663.28,-0.401643,310344,0.0,6175.81065314,4112.59
0.0389134,0.00830498,273.99971437454224,0.394295036793,3,4857,675.33,-0.397352,313006,0.0,6288.01648152,7191.36
0.0157766,-0.0114899,275.7965853214264,0.502070218325,3,4860,689.5,-0.390768,314991,0.0,6420.05451644,4139.65
0.0217876,-0.00787615,277.56220388412476,0.517950892448,2,4862,702.12,-0.39221,316475,0.0,6537.61439666,4504.66
0.0107927,-0.00506374,279.3434488773346,-0.00239360332489,3,4865,721.06,-0.383314,319475,0.0,6714.17757529,8459.98
0.0122612,-0.00630475,281.12469363212585,0.148816406727,2,4867,730.68,-0.389389,321243,0.0,6803.80958174,5465.71
0.0108996,-0.0122985,282.9184002876282,0.436982214451,2,4869,735.2,-0.380882,323094,0.0,6845.99853748,2989.45
0.0115681,-0.00839709,284.68628454208374,0.205373346806,3,4872,731.74,-0.385179,325466,0.0,6813.90872716,7279.61
0.0115482,-0.00288047,286.48315501213074,-0.0166207551956,2,4874,738.86,-0.379971,327466,0.0,6880.3310523,5770.84
0.0144102,-0.0104094,288.25054836273193,0.422941982746,3,4877,729.32,-0.40165,329512,0.0,6791.44895008,6175.21
0.0116471,-0.00870379,290.05000495910645,-0.00388419628143,2,4879,729.32,-0.377602,331512,0.0,6791.51649895,5766.29
0.0163598,-0.0127133,291.844660282135,0.597071319818,2,4881,740.98,-0.373961,333274,0.0,6900.13427685,3400.65
0.00753075,-0.00741889,293.62521052360535,0.473109185696,3,4884,744.78,-0.384543,335768,0.0,6935.61661794,6673.94
0.00899075,-0.0109639,295.39061427116394,0.376543402672,3,4887,741.28,-0.397819,337057,0.0,6903.06896017,6395.68
0.00971877,-0.00773613,297.18748474121094,0.661434561014,4,4891,749.7,-0.412188,339568,0.0,6981.4913416,6753.06
0.0106654,-0.00814131,298.9531035423279,0.550657778978,4,4895,751.13,-0.420481,341731,0.0,6994.91132111,6903.31
0.00930391,-0.00428693,300.73434948921204,0.127322852612,3,4898,743.62,-0.427074,343980,0.0,6925.0723955,7949.58
0.0296968,-0.00133269,302.515593290329,-0.0177040100098,2,4900,747.46,-0.431397,345980,0.0,6960.97097901,5720.01
0.0109729,-0.00446273,304.29683780670166,0.756519928575,2,4902,739.42,-0.420927,347176,0.0,6886.20347356,577.861
0.0215164,-0.0044346,306.07808232307434,-0.00112056732178,3,4905,742.22,-0.416837,350176,0.0,6912.65225532,8238.42
0.0144291,-0.00604517,307.8593270778656,0.00566703081131,2,4907,748.95,-0.390787,352176,0.0,6975.66071618,5750.42
0.0161195,-0.00438655,309.6405713558197,-0.00922214984894,2,4909,754.47,-0.385564,354176,0.0,7027.32625408,5803.87
0.00557635,-0.00619439,311.4218168258667,-0.00485038757324,2,4911,762.1,-0.372135,356176,0.0,7098.63323921,5819.93
0.0180812,-0.00246172,313.2081925868988,-0.00193762779236,2,4913,769.94,-0.380261,358176,0.0,7171.90116438,5831.25
0.0101275,-0.0112789,314.99030208587646,-0.00346171855927,2,4915,769.94,-0.376531,360176,0.0,7172.11439585,5837.36
0.010873,-0.0084982,316.78189992904663,0.114945232868,2,4917,769.94,-0.386734,362176,0.0,7172.31141051,3353.81
0.0104475,-0.00589572,318.5665605068207,-0.0425155162811,2,4919,784.27,-0.406813,364176,0.0,7306.04510387,5925.18
0.027822,-0.00487296,320.33647108078003,0.531047195196,2,4921,786.44,-0.393721,365826,0.0,7326.35524185,3392.49
0.0173336,-0.0028599,322.12544679641724,0.698826640844,4,4925,773.6,-0.413903,367755,0.0,7206.85616963,5368.1
0.0172758,-0.00973439,323.9061951637268,-0.0437883138657,2,4927,773.6,-0.403007,369755,0.0,7206.96810724,5916.33
0.020165,-0.00288736,325.7030653953552,0.225973308086,3,4930,788.43,-0.393057,372503,0.0,7345.28377638,5977.52
0.0163007,-0.00189892,327.46868348121643,0.686913758516,3,4933,772.45,-0.41789,373905,0.0,7196.30464123,3803.74
0.0248277,-0.00627475,329.2655544281006,0.192149341106,2,4935,773.73,-0.413561,375905,0.0,7208.25540343,6685.48
0.0155799,-0.0131894,331.03117322921753,0.57634177804,3,4938,792.27,-0.402421,378397,0.0,7381.04713925,4238.2
0.0155558,-0.00692845,332.8124189376831,0.641118764877,3,4941,795.86,-0.411082,380848,0.0,7414.52442264,4758.24
0.0123993,-0.00665734,334.5936622619629,-0.0753667354584,2,4943,800.08,-0.418957,382848,0.0,7453.97484532,6109.7
0.020542,-0.00421669,336.37491035461426,-0.0711585283279,2,4945,800.08,-0.414593,384848,0.0,7454.0730138,5905.74
0.0132746,-0.00772914,338.1405267715454,0.316908955574,2,4947,807.51,-0.403411,386643,0.0,7523.31329131,4571.64
0.00828527,-0.00692808,339.93739676475525,-0.0190798044205,2,4949,816.69,-0.394462,388643,0.0,7608.93831626,5810.4
0.0223937,-0.00495154,341.71864080429077,0.00136148929596,2,4951,816.69,-0.379803,390643,0.0,7609.08939453,5766.4
0.00792961,-0.014754,343.51551127433777,0.69277960062,4,4955,818.51,-0.380715,393195,0.0,7626.21061707,2930.27
0.0261272,-0.00246282,345.2832133769989,-0.116613745689,2,4957,821.89,-0.37718,395195,0.0,7657.89486541,5786.47
0.0210581,-0.00844477,347.0709581375122,-0.0182181596756,2,4959,832.04,-0.375603,397195,0.0,7752.51521173,5890.59
0.0169702,-0.0137954,348.8517367839813,0.678497821093,3,4962,825.7,-0.40192,399045,0.0,7693.44911706,4359.24
0.00567226,-0.00877881,350.64253664016724,0.423924982548,2,4964,823.43,-0.405763,400818,0.0,7672.28796777,3812.32
0.0149438,-0.00947494,352.4301378726959,-0.0458868741989,2,4966,823.43,-0.407458,402818,0.0,7672.38782787,6132.65
0.0374156,-0.00785985,354.2344014644623,-0.161136031151,2,4968,827.24,-0.408194,404818,0.0,7707.92928373,6080.13
0.0136193,-0.0114733,356.0000205039978,0.281251013279,3,4971,830.59,-0.440601,407525,0.0,7739.14667468,7438.95
0.0148261,-0.00521308,357.7968909740448,0.403486907482,3,4974,821.31,-0.437873,409597,0.0,7652.67197863,4067.82
0.0255897,-0.0078387,359.56250953674316,-0.079297542572,2,4976,822.6,-0.421835,411597,0.0,7664.72666802,5957.26
0.0199469,-0.00650757,361.3593797683716,0.291059136391,2,4978,829.56,-0.4202,413468,0.0,7729.59693858,3487.64
0.0113419,-0.0154534,363.1249988079071,0.457380115986,3,4981,819.46,-0.427389,415220,0.0,7635.5504707,5066.14
0.0109763,-0.0100618,364.9218695163727,0.58509722352,5,4986,806.41,-0.427211,417598,0.0,7513.98759027,8264.68
0.0192893,-0.00771027,366.68793201446533,0.61558932066,3,4989,810.27,-0.445575,419744,0.0,7549.89304611,5767.68
0.0146718,-0.0156032,368.46922731399536,0.480396926403,2,4991,815.1,-0.456163,421078,0.0,7594.89271954,4428.54
0.0205377,-0.00365931,370.2500989437103,0.284798920155,3,4994,822.33,-0.452551,423679,0.0,7662.17683195,7468.69
0.0204594,-0.0024257,372.033429145813,-0.139636278152,2,4996,829.48,-0.46052,425679,0.0,7728.76753165,6032.74
0.0222388,-0.00614471,373.8128652572632,-0.00768077373505,2,4998,836.99,-0.45153,427679,0.0,7798.61999615,5846.33
