loss_ent,ev_tdlam_before,EpThisIter,loss_pol_entpen,TimeElapsed,loss_vf_loss,loss_kl,EpisodesSoFar,EpLenMean,loss_pol_surr,TimestepsSoFar,EpRewMean
-0.322517,0.813969522715,4,0.0,225.17254114151,2490.91,0.00893628,4437,749.91,-0.0141424,257555,6985.73231382
-0.327864,0.37081193924,3,0.0,226.9374749660492,6433.58,0.0100063,4440,756.82,-0.0108089,260054,7050.21378004
-0.326199,0.18687081337,3,0.0,228.74996948242188,6781.23,0.0119253,4443,764.34,-0.00975072,262136,7120.36362132
-0.317231,-0.0561100244522,2,0.0,230.5006079673767,5148.51,0.0163911,4445,771.67,-0.0119088,264136,7188.73194693
-0.316233,0.530379503965,2,0.0,232.2824923992157,3781.67,0.0140651,4447,767.87,-0.010626,265756,7153.3845681
-0.313839,0.485808491707,2,0.0,234.06986045837402,3965.51,0.0106757,4449,772.74,-0.00397914,267579,7198.85808598
-0.319767,0.336501300335,4,0.0,235.85964584350586,7395.67,0.0117816,4453,756.92,-0.0136398,269997,7051.65654561
-0.346989,0.299829125404,3,0.0,237.61682271957397,6105.06,0.0369432,4456,754.92,0.00416461,271892,7033.05792574
-0.363673,0.259004056454,3,0.0,239.39106059074402,6959.67,0.0203397,4459,758.99,-0.00144808,274364,7071.15475225
-0.358279,0.319787442684,2,0.0,241.17199683189392,4596.02,0.0288649,4461,757.01,-0.00522493,276166,7052.77731773
-0.349894,-0.0269521474838,2,0.0,242.95324182510376,5447.93,0.00954199,4463,761.91,-0.00664613,278166,7098.51987401
-0.365457,0.000147342681885,2,0.0,244.71886086463928,5447.8,0.0103611,4465,761.91,-0.0127129,280166,7098.55415998
-0.38682,0.387421905994,2,0.0,246.50010657310486,4560.81,0.011948,4467,762.91,-0.00846487,281643,7107.91297011
-0.387584,0.401546120644,3,0.0,248.29697489738464,4797.65,0.012508,4470,767.44,-0.00842244,284108,7150.20467905
-0.389562,-0.0283749103546,2,0.0,250.07822036743164,5239.95,0.0103729,4472,767.44,-0.00491745,286108,7150.1869248
-0.373785,-0.113935470581,2,0.0,251.84383964538574,5571.82,0.0281916,4474,772.86,-0.00272605,288108,7200.74745225
-0.391121,0.379709661007,4,0.0,253.62508463859558,6896.09,0.00728562,4478,754.38,-0.0112924,290260,7028.54631448
-0.394305,0.603165060282,4,0.0,255.37507843971252,5775.78,0.0103643,4482,752.49,-0.00711005,292735,7011.06410448
