loss_ent,EpisodesSoFar,TimeElapsed,EpThisIter,loss_vf_loss,ev_tdlam_before,loss_kl,EpLenMean,loss_pol_surr,EpRewMean,TimestepsSoFar,loss_pol_entpen
5.05813,1802,317.7725787162781,5,102.013,0.972252935171,0.0245609,407.73,-0.0666821,1470.35596827,317422,0.0
5.06612,1806,319.788503408432,4,85.5318,0.970406740904,0.0251806,411.11,-0.064853,1483.73796351,319377,0.0
5.07166,1810,321.84073972702026,4,90.2185,0.970335815102,0.025383,412.19,-0.0624403,1487.96548911,320835,0.0
5.06728,1815,323.8815281391144,5,121.756,0.970442000777,0.0215076,420.79,-0.0634361,1523.8066512,323578,0.0
5.01312,1819,325.91388392448425,4,80.3768,0.968196172267,0.0283922,421.09,-0.0627784,1523.17900724,325405,0.0
4.99927,1823,327.94726276397705,4,131.854,0.960012052208,0.023887,423.35,-0.0625299,1535.42016994,327081,0.0
4.98936,1828,329.9838271141052,5,112.009,0.947848238051,0.0256095,430.38,-0.0567546,1561.01384989,329378,0.0
4.98286,1832,332.01381373405457,4,92.4605,0.965149756521,0.0302945,433.62,-0.0644937,1578.61331426,331158,0.0
4.95046,1837,334.06246733665466,5,129.343,0.963324096054,0.0202446,440.62,-0.0605782,1610.58442953,333814,0.0
4.92407,1840,336.101021528244,3,66.4158,0.971037883312,0.0261535,444.62,-0.065516,1632.67931529,335508,0.0
4.89048,1844,338.1325993537903,4,135.333,0.948847070336,0.0267373,447.64,-0.0641685,1647.31434924,337118,0.0
4.90553,1849,340.1648814678192,5,147.897,0.943620815873,0.0256501,457.67,-0.0604438,1683.22492825,339920,0.0
4.91403,1851,342.17922163009644,2,614.27,0.808594956994,0.0267309,467.47,-0.0387316,1724.10263517,341645,0.0
4.92784,1855,344.21152782440186,4,98.5476,0.958503272384,0.024829,469.23,-0.06538,1731.04359792,343727,0.0
4.87687,1860,346.24186730384827,5,118.683,0.968139003962,0.0294874,470.44,-0.0665427,1736.34148632,345835,0.0
4.87521,1865,348.274049282074,5,126.745,0.970119317994,0.0290705,475.16,-0.0639373,1760.80182973,347904,0.0
4.87219,1870,350.3041105270386,5,112.89,0.968343451619,0.031488,474.96,-0.0705408,1763.40782216,350120,0.0
4.83176,1874,352.332236289978,4,96.8259,0.963609222323,0.0345041,476.17,-0.0647058,1771.45553712,352192,0.0
4.82068,1876,354.3825755119324,2,142.601,0.93488561362,0.0263961,484.25,-0.0610647,1801.7245844,354028,0.0
4.80244,1879,356.4010217189789,3,628.175,0.850259572268,0.0217448,495.12,-0.0411888,1848.75625459,356310,0.0
4.79861,1882,358.4516804218292,3,108.342,0.963525433093,0.0287088,488.72,-0.0655559,1824.16024771,357578,0.0
4.78338,1885,360.4673936367035,3,760.038,0.844196289778,0.0214429,499.96,-0.0420758,1883.38907229,359937,0.0
4.77126,1890,362.5153224468231,5,80.0613,0.979715945199,0.0312225,495.27,-0.0657164,1868.38266653,362292,0.0
4.73768,1894,364.5467007160187,4,386.737,0.91567889601,0.020921,499.93,-0.0430558,1892.56440794,364529,0.0
4.73601,1898,366.5778031349182,4,138.329,0.942235361785,0.0271887,505.56,-0.0663024,1914.25845244,366382,0.0
4.71254,1902,368.60935401916504,4,227.435,0.924714840949,0.0261663,510.64,-0.0549123,1940.41281663,368486,0.0
4.6762,1905,370.63229513168335,3,641.448,0.853002950549,0.0291423,513.35,-0.0441183,1951.76701997,370342,0.0
4.6466,1909,372.67856669425964,4,721.708,0.864341452718,0.0382169,523.18,-0.0484331,1996.09051453,372723,0.0
4.61205,1913,374.7098321914673,4,102.167,0.966702573001,0.0298452,516.59,-0.0594638,1972.35634783,374572,0.0
4.57993,1916,376.74189615249634,3,78.1259,0.967312090099,0.0304907,524.11,-0.0697276,2004.4890863,376542,0.0
4.55913,1920,378.7726454734802,4,104.121,0.948896545917,0.035486,528.35,-0.0595148,2025.06368551,378531,0.0
4.47523,1923,380.81953740119934,3,72.4588,0.976791482419,0.0342685,536.34,-0.0690798,2062.66889178,380715,0.0
4.44534,1927,382.8506073951721,4,68.0328,0.980439053848,0.0315938,539.06,-0.0667291,2086.52452158,382963,0.0
4.44228,1929,384.8690423965454,2,59.7103,0.964342024177,0.0277394,542.64,-0.0594023,2105.72173466,384156,0.0
4.42842,1933,386.885617017746,4,88.117,0.963759273291,0.0230835,549.62,-0.0574798,2136.65370646,386812,0.0
4.42709,1935,388.9219377040863,2,91.3762,0.958806518465,0.0348652,554.8,-0.0636842,2160.35810472,388368,0.0
4.40852,1938,390.9604666233063,3,118.497,0.946964763105,0.030518,562.51,-0.0575384,2193.57172613,390361,0.0
4.39493,1941,392.99134707450867,3,194.809,0.895473316312,0.031495,564.92,-0.0483683,2202.86630413,392546,0.0
4.36328,1944,395.03164196014404,3,735.884,0.85095988214,0.026193,574.89,-0.0398375,2250.84812873,394607,0.0
4.32859,1946,397.06991600990295,2,684.339,0.792223930359,0.0300954,581.46,-0.0319872,2290.93223244,396581,0.0
4.30764,1949,399.08937311172485,3,708.102,0.793494880199,0.0305443,592.81,-0.0453182,2343.85768091,399201,0.0
4.28354,1951,401.1246678829193,2,81.5896,0.956234227866,0.030019,589.79,-0.0643477,2334.20064707,400624,0.0
4.24886,1955,403.14038610458374,4,460.354,0.899432361126,0.028371,594.22,-0.0420634,2362.71330247,403149,0.0
4.26111,1957,405.17858242988586,2,1100.19,0.7596385777,0.0253025,605.58,-0.0403971,2417.71372501,405149,0.0
4.22543,1960,407.1949882507324,3,764.93,0.778770729899,0.0381021,613.92,-0.0412712,2457.6819179,407227,0.0
4.20803,1962,409.2261848449707,2,753.626,0.819011703134,0.0343025,621.09,-0.0467533,2490.65600323,408793,0.0
4.25628,1967,411.2578890323639,5,404.677,0.906768381596,0.032072,627.01,-0.0435393,2509.94489438,411237,0.0
4.24192,1971,413.29666209220886,4,118.335,0.965540334582,0.0335104,630.96,-0.0618464,2528.34524303,413547,0.0
4.28693,1974,415.32665395736694,3,772.495,0.851373016834,0.0294294,633.96,-0.0389137,2546.84279136,415588,0.0
