loss_kl,TimeElapsed,ev_tdlam_before,loss_ent,EpisodesSoFar,loss_pol_surr,EpRewMean,loss_vf_loss,EpLenMean,EpThisIter,TimestepsSoFar,loss_pol_entpen
0.016111,443.6552143096924,0.756631836295,1.8623,1996,-0.0240897,2576.87453635,399.522,716.62,2,402895,0.0
0.0170307,446.18654441833496,0.124354064465,1.87907,1998,-0.0121529,2621.13288213,894.58,729.68,2,404895,0.0
0.0253545,448.3111424446106,0.386761784554,1.86987,2000,-0.0211095,2662.65357754,461.701,742.1,2,406895,0.0
0.0205794,450.4530382156372,0.667385816574,1.86514,2003,-0.0247713,2704.58566209,855.54,755.04,3,409351,0.0
0.0165167,452.498907327652,0.975739998743,1.87014,2005,-0.0275219,2691.71579726,11.7257,752.07,2,410652,0.0
0.0161804,454.59297251701355,0.915752001107,1.8533,2008,-0.0229191,2712.382365,201.661,758.26,3,412997,0.0
0.0189947,456.67400670051575,0.84745965898,1.85997,2011,-0.0197172,2759.88491662,458.573,771.63,3,415587,0.0
0.0167489,458.77281880378723,0.983374325559,1.85952,2014,-0.0369631,2795.74703457,24.5988,781.1,3,417686,0.0
0.0317983,460.88260650634766,0.983565824106,1.88365,2018,-0.0327048,2756.4423596,25.4589,770.82,4,419174,0.0
0.0156565,462.93611311912537,0.154953241348,1.89837,2020,-0.0178629,2775.49921059,915.993,776.72,2,421174,0.0
0.0163654,464.99985218048096,0.867530912161,1.90827,2024,-0.0233499,2778.12598112,436.319,778.21,4,423749,0.0
0.0182621,467.0849258899689,0.848382562399,1.89565,2027,-0.0230326,2776.32857005,435.626,778.14,3,425393,0.0
0.0174821,469.21069860458374,0.707228928804,1.92922,2029,-0.0205458,2790.71336969,450.259,782.76,2,427393,0.0
0.0154992,471.31122970581055,0.532822042704,1.93906,2031,-0.0202346,2829.67519282,449.465,794.0,2,429393,0.0
0.0180093,473.3948473930359,0.870191007853,1.89639,2034,-0.0269005,2848.65527532,447.034,799.31,3,431911,0.0
0.0216879,475.4873113632202,0.985826446675,1.87257,2039,-0.0307633,2766.41412317,20.7735,776.64,5,434164,0.0
0.0166566,477.7166473865509,0.890796102583,1.85709,2042,-0.0208882,2727.0550919,155.621,765.48,3,435861,0.0
0.0226807,480.0148997306824,0.726404488087,1.83889,2044,-0.0206803,2710.81143905,442.082,760.88,2,437318,0.0
0.0209911,482.3269028663635,0.834848284721,1.85018,2047,-0.0234247,2716.61871603,475.934,762.77,3,439370,0.0
0.0254422,484.5615541934967,0.934510670602,1.83254,2051,-0.0237654,2678.28131353,161.088,751.72,4,441534,0.0
0.0193286,486.8586812019348,0.828368708491,1.83445,2053,-0.0181673,2679.21243207,352.789,751.78,2,443420,0.0
0.0170115,489.2489035129547,0.978596460074,1.80773,2057,-0.0367591,2650.08506548,23.5686,743.79,4,445912,0.0
0.0213057,491.7175796031952,0.747205495834,1.8248,2059,-0.0201483,2643.67789924,467.978,742.16,2,447607,0.0
0.0169208,494.1321232318878,0.638286441565,1.84452,2062,-0.0234662,2640.5494608,742.611,740.97,3,450205,0.0
0.0212652,496.52254462242126,0.845691651106,1.83922,2065,-0.026172,2622.84693106,314.31,735.43,3,452535,0.0
0.0424376,498.99889039993286,0.0986412167549,1.84959,2067,-0.0206682,2634.92148519,891.004,739.09,2,454535,0.0
0.0184066,501.4978537559509,0.977710893378,1.84411,2071,-0.0353248,2581.24775161,16.0372,722.85,4,456439,0.0
0.0155946,504.03884959220886,0.901127353311,1.80113,2074,-0.030669,2578.19105438,19.0972,721.82,3,458262,0.0
0.0163558,506.3579452037811,0.980088120326,1.7942,2077,-0.0303296,2544.0716633,19.4082,712.02,3,459885,0.0
0.0160301,508.45219373703003,0.949585717171,1.79501,2082,-0.0270064,2528.33160508,166.525,706.12,5,462786,0.0
0.0198569,510.5144293308258,0.833496913314,1.79172,2085,-0.0189074,2519.29646292,478.424,702.84,3,464885,0.0
0.0184752,512.6428105831146,0.969050664455,1.76641,2089,-0.0308204,2442.2444368,21.7143,681.06,4,466406,0.0
0.0186429,514.74187541008,0.991181670688,1.7514,2092,-0.0311687,2455.75797736,11.3959,683.82,3,468493,0.0
0.0200135,516.8421835899353,0.858992099762,1.75634,2095,-0.0190317,2471.6048592,478.11,687.32,3,470627,0.0
0.0168623,518.8734421730042,0.991225531325,1.77367,2098,-0.0305301,2441.29832784,11.8581,677.56,3,472651,0.0
0.0179242,520.9518942832947,0.988626489416,1.75087,2103,-0.0385676,2373.23927449,24.6175,656.11,5,474962,0.0
0.0224716,523.0528275966644,0.991401626728,1.74931,2106,-0.0372248,2353.85605416,22.1276,649.66,3,476618,0.0
0.0165034,525.1621885299683,0.983958104625,1.74509,2110,-0.0259612,2306.58547378,15.1078,636.97,4,478284,0.0
0.0235054,527.2411015033722,0.906946651638,1.74322,2116,-0.0242848,2267.52766284,485.413,626.74,6,481135,0.0
0.0204505,529.328227519989,0.986516687088,1.71444,2121,-0.0304802,2208.68249828,13.2035,609.55,5,483129,0.0
0.017527,531.4213290214539,0.991042705253,1.69192,2124,-0.0363485,2230.88651542,18.7158,615.45,3,485294,0.0
0.0215502,533.5457661151886,0.989991759881,1.6792,2128,-0.032641,2205.89901988,18.2519,607.94,4,487187,0.0
0.0186247,535.7803258895874,0.99506882159,1.68276,2132,-0.0382608,2132.15925706,10.7992,586.69,4,489062,0.0
0.0169285,537.9676992893219,0.996436612913,1.64881,2137,-0.035763,2108.00543643,10.611,579.61,5,491261,0.0
0.0168914,540.210444688797,0.995709873736,1.60947,2141,-0.0371321,2134.84874904,12.2981,586.42,4,493503,0.0
0.0153653,542.5536997318268,0.893612332642,1.59698,2145,-0.0203779,2085.4859903,475.029,572.34,4,495552,0.0
0.0201593,545.1630897521973,0.991956649348,1.60455,2148,-0.0311168,2077.57672071,7.7916,569.76,3,497346,0.0
0.0169742,547.868545293808,0.135897815228,1.60628,2150,-0.0180874,2121.59984533,957.991,582.37,2,499346,0.0
0.0429754,550.6556894779205,0.851074412465,1.61269,2153,-0.0140885,2110.34123313,474.746,579.33,3,501353,0.0
0.0190254,553.3918776512146,0.993823438883,1.60596,2158,-0.037028,2083.46711672,12.8637,571.26,5,503733,0.0
0.0195009,556.1861064434052,0.992403340992,1.60763,2161,-0.0339444,2063.17722473,7.82037,564.81,3,505686,0.0
0.0201367,558.9515082836151,0.767119243741,1.57819,2163,-0.0204912,2067.10089118,436.367,565.38,2,507207,0.0
0.0169274,561.4455547332764,0.95974964276,1.56627,2166,-0.0288483,2041.74718857,36.9582,557.52,3,509287,0.0
0.0189425,563.9052352905273,0.99429153651,1.54898,2169,-0.0368192,2051.2267043,8.91529,559.89,3,511539,0.0
0.0218361,566.3233845233917,0.98512647301,1.55689,2174,-0.0390908,2028.08994191,19.121,553.77,5,513639,0.0
0.0198534,568.4674506187439,0.994873247109,1.52179,2177,-0.0354342,2045.49261389,8.29697,557.77,3,515662,0.0
0.0138102,570.5923686027527,0.87077267468,1.53808,2180,-0.0197161,2047.85754436,412.515,558.24,3,517756,0.0
0.0296201,572.6558961868286,0.986473184079,1.52435,2184,-0.014644,2066.23341728,11.2235,563.01,4,520186,0.0
0.0230653,574.7214958667755,0.989277888089,1.55129,2186,-0.0319067,2071.82126867,9.57172,563.71,2,521400,0.0
0.0305613,576.8054692745209,0.899781368673,1.56534,2190,-0.0176984,2090.86091154,402.658,568.73,4,524186,0.0
0.0174633,578.8897643089294,0.988278600387,1.52883,2193,-0.0352471,2072.26063842,12.0741,563.72,3,525649,0.0
0.0358724,581.037540435791,0.916380569339,1.52143,2198,-0.0154798,2036.19482184,412.076,554.22,5,528073,0.0
0.0216856,583.0854253768921,0.990134756081,1.52464,2202,-0.0324469,2051.00289373,11.8708,558.73,4,530398,0.0
0.0258739,585.1584045886993,0.991782657802,1.5121,2205,-0.0366926,2056.55706573,8.82806,560.22,3,531917,0.0
0.0220621,587.2406826019287,0.995538784657,1.51676,2211,-0.0339266,2022.26480845,12.6066,550.05,6,534289,0.0
0.0206526,589.3661458492279,0.995761074591,1.50855,2217,-0.0363715,2018.22033039,9.53338,548.58,6,536563,0.0
0.0213866,591.4753439426422,0.994545481168,1.49734,2221,-0.0338645,2036.6774945,11.1884,552.82,4,538411,0.0
0.0179006,593.5523953437805,0.8871332407,1.49795,2225,-0.0247086,2031.93713719,390.783,551.7,4,540671,0.0
0.0252242,595.6946234703064,0.989652538672,1.48272,2228,-0.0348889,2035.6307916,12.4986,552.74,3,542461,0.0
0.0188392,597.9374434947968,0.953698828816,1.48086,2231,-0.027365,2052.92046188,77.1078,557.77,3,544284,0.0
0.0248419,600.2513480186462,0.993201708887,1.44134,2234,-0.0299622,2080.63455251,9.81516,565.21,3,546508,0.0
0.0197049,602.5523934364319,0.866333454847,1.42432,2237,-0.0191148,2101.98625159,484.907,571.81,3,548442,0.0
0.0162415,604.8213467597961,0.855195373297,1.43561,2240,-0.0221753,2111.65508982,488.319,574.62,3,550587,0.0
0.016481,607.0976278781891,0.984494036064,1.4184,2242,-0.0280158,2113.4086874,8.46706,574.87,2,551990,0.0
0.0214619,609.5484275817871,0.86075475812,1.4335,2245,-0.0126238,2151.40375439,427.024,584.88,3,554040,0.0
0.0244085,611.9834504127502,0.737342894077,1.45737,2249,-0.0257568,2157.39118448,916.313,586.92,4,557038,0.0
0.0221242,614.4526634216309,0.985442117788,1.41415,2252,-0.0375895,2159.00466323,11.532,586.75,3,559028,0.0
0.0212421,616.827351808548,0.843281596899,1.41336,2255,-0.0226061,2166.57650467,442.895,588.75,3,561109,0.0
