EpLenMean,EpThisIter,loss_pol_entpen,EpRewMean,loss_vf_loss,EpisodesSoFar,loss_pol_surr,TimestepsSoFar,loss_ent,loss_kl,TimeElapsed,ev_tdlam_before
1000.0,2,0.0,1237.25107898,248.888,303,-0.0620274,303000,2.50461,0.0242071,265.9833700656891,0.398980677128
1000.0,2,0.0,1246.55119901,174.892,305,-0.0636136,305000,2.41252,0.0240898,267.79596519470215,0.818879976869
1000.0,2,0.0,1258.77529034,248.495,307,-0.0609919,307000,2.36091,0.023568,269.5774710178375,0.208731591702
1000.0,2,0.0,1271.83310643,271.655,309,-0.0541975,309000,2.37645,0.0262823,271.37391209602356,0.198279321194
1000.0,2,0.0,1281.72205108,261.132,311,-0.0510058,311000,2.36859,0.0268974,273.17021203041077,0.167204141617
1000.0,2,0.0,1289.38001834,185.799,313,-0.0532666,313000,2.34408,0.0257174,274.96786856651306,0.961139339954
1000.0,2,0.0,1310.73397181,210.322,315,-0.0561007,315000,2.34163,0.0345907,276.7644805908203,0.300065040588
1000.0,2,0.0,1322.88946187,268.748,317,-0.055614,317000,2.3166,0.0231191,278.561160326004,0.166825175285
1000.0,2,0.0,1311.40938275,94.2447,319,-0.0615955,319000,2.28559,0.0243435,280.3577353954315,0.977366654202
1000.0,2,0.0,1321.83737067,289.815,321,-0.0652875,321000,2.28515,0.0249066,282.15501642227173,0.269720852375
1000.0,2,0.0,1327.48360126,249.495,323,-0.0559206,323000,2.28907,0.0252311,283.9518768787384,0.214526593685
1000.0,2,0.0,1335.38404391,271.565,325,-0.0590962,325000,2.22956,0.0261491,285.74861454963684,0.211977779865
1000.0,2,0.0,1332.97504565,107.796,327,-0.0590621,327000,2.23901,0.0201466,287.56131505966187,0.966391451657
1000.0,2,0.0,1335.46921897,139.57,329,-0.0597179,329000,2.23174,0.025328,289.3581392765045,0.955668654293
1000.0,2,0.0,1331.05479378,159.669,331,-0.0666854,331000,2.21214,0.029916,291.13908648490906,0.955776575953
1000.0,2,0.0,1337.89209172,282.298,333,-0.0594456,333000,2.16296,0.0273371,292.95307087898254,0.222236692905
1000.0,2,0.0,1347.93248952,265.848,335,-0.0598455,335000,2.12145,0.0284944,294.7329797744751,0.262720942497
1000.0,2,0.0,1354.2602759,284.358,337,-0.0596276,337000,2.13924,0.0239022,296.53003120422363,0.328790724277
1000.0,2,0.0,1353.55688892,211.559,339,-0.059202,339000,2.09508,0.0242979,298.3282377719879,0.945552702993
1000.0,3,0.0,1367.84383188,398.457,342,-0.0574617,342000,2.08904,0.0258122,300.12437653541565,0.154100179672
1000.0,2,0.0,1387.55127211,287.656,344,-0.057006,344000,2.04954,0.0249893,301.9057755470276,0.248894453049
1000.0,2,0.0,1398.6203045,268.977,346,-0.051985,346000,2.02477,0.0300222,303.70157051086426,0.23937356472
1000.0,2,0.0,1383.19587638,108.764,348,-0.0588749,348000,1.98887,0.0265734,305.49918842315674,0.971212202683
1000.0,2,0.0,1402.07229751,280.915,350,-0.0576842,350000,1.8899,0.0286809,307.27994418144226,0.143263041973
1000.0,2,0.0,1410.44942591,275.021,352,-0.0525044,352000,1.86671,0.0295105,309.08502078056335,0.10940092802
1000.0,2,0.0,1429.13668786,175.121,354,-0.057232,354000,1.84476,0.0246299,310.8896310329437,0.948771100491
1000.0,2,0.0,1437.3076624,279.668,356,-0.0525098,356000,1.83585,0.0271415,312.6747627258301,0.101891636848
1000.0,2,0.0,1452.06457258,275.761,358,-0.0568496,358000,1.80903,0.0256319,314.467102766037,0.152764797211
1000.0,2,0.0,1452.16548612,230.877,360,-0.0576604,360000,1.76386,0.0251458,316.26417565345764,0.941846486181
1000.0,2,0.0,1446.95985674,153.838,362,-0.0541621,362000,1.71423,0.0258424,318.0610680580139,0.974149920046
1000.0,2,0.0,1470.28576664,349.57,364,-0.0540864,364000,1.72076,0.0292959,319.84212350845337,0.820057839155
1000.0,2,0.0,1462.15463293,118.591,366,-0.0526816,366000,1.71135,0.0298533,321.6553463935852,0.981163755059
1000.0,2,0.0,1470.50535005,322.189,368,-0.0617659,368000,1.67596,0.0280549,323.451936006546,0.933312095702
1000.0,2,0.0,1459.43445373,186.674,370,-0.0617032,370000,1.62437,0.0329677,325.2339870929718,0.956595923752
1000.0,2,0.0,1462.0526032,232.265,372,-0.0632538,372000,1.56951,0.0332105,327.0295934677124,0.956568773836
1000.0,2,0.0,1469.26555413,199.978,374,-0.0660448,374000,1.56368,0.0319973,328.8278799057007,0.935281917453
1000.0,2,0.0,1475.57322593,307.475,376,-0.0543081,376000,1.5567,0.026583,330.62371706962585,0.300175726414
1000.0,2,0.0,1485.29081612,385.242,378,-0.0564814,378000,1.53527,0.0288059,332.42050790786743,0.945373103023
1000.0,2,0.0,1474.96763843,224.323,380,-0.0625969,380000,1.53231,0.036474,334.21803641319275,0.878422170877
1000.0,2,0.0,1488.62952761,344.575,382,-0.0580861,382000,1.50499,0.0239627,335.9992609024048,0.959524910897
1000.0,3,0.0,1493.48771069,315.159,385,-0.0556461,385000,1.47086,0.0375266,337.79593658447266,0.580478399992
1000.0,2,0.0,1499.5540957,219.909,387,-0.0584901,387000,1.46089,0.0243419,339.59476375579834,0.965791411698
1000.0,2,0.0,1518.24948032,289.582,389,-0.0530877,389000,1.48153,0.027803,341.3896288871765,0.106000483036
1000.0,2,0.0,1512.23862645,278.163,391,-0.0704437,391000,1.44269,0.032198,343.1863145828247,0.945611041039
1000.0,2,0.0,1510.88733746,257.949,393,-0.0584891,393000,1.41428,0.0304849,344.9828369617462,0.93764141947
1000.0,2,0.0,1507.78432912,213.56,395,-0.0589453,395000,1.38456,0.0345012,346.7966899871826,0.948924142867
1000.0,2,0.0,1512.74275347,227.302,397,-0.054561,397000,1.32891,0.028532,348.6097049713135,0.968297563493
1000.0,2,0.0,1514.34562789,277.153,399,-0.0611536,399000,1.30449,0.0325954,350.38982677459717,0.208891391754
1000.0,2,0.0,1513.51597703,246.561,401,-0.0586969,401000,1.29349,0.0306927,352.2022566795349,0.949248906225
1000.0,2,0.0,1501.23154103,153.788,403,-0.0556763,403000,1.27553,0.0289399,353.9991452693939,0.973171615973
1000.0,2,0.0,1506.93444086,296.639,405,-0.0574097,405000,1.25183,0.033039,355.79663276672363,0.329339623451
1000.0,2,0.0,1499.2242826,236.0,407,-0.0615436,407000,1.21188,0.0281553,357.57697439193726,0.959840781987
1000.0,2,0.0,1502.50188189,268.144,409,-0.0686735,409000,1.21037,0.0333828,359.3733448982239,0.692486733198
1000.0,2,0.0,1508.25731049,308.659,411,-0.0546203,411000,1.18779,0.030661,361.1547429561615,0.23822504282
1000.0,2,0.0,1521.09534084,339.648,413,-0.0563666,413000,1.15739,0.0304509,362.9672477245331,0.22999048233
1000.0,2,0.0,1524.01478687,238.687,415,-0.0610857,415000,1.14255,0.0296689,364.74931263923645,0.426498115063
1000.0,2,0.0,1528.22012158,307.422,417,-0.0603709,417000,1.10109,0.0312943,366.5459408760071,0.256808102131
1000.0,2,0.0,1552.27302046,304.738,419,-0.0503758,419000,1.05368,0.038001,368.3267011642456,0.220684945583
1000.0,2,0.0,1557.5850264,366.129,421,-0.0608007,421000,1.00649,0.0296694,370.12344789505005,0.899035125971
1000.0,2,0.0,1553.50894822,187.71,423,-0.0670142,423000,0.936247,0.0345595,371.92040967941284,0.892754599452
1000.0,2,0.0,1536.21143589,228.068,425,-0.0611229,425000,0.858429,0.0327637,373.73287653923035,0.970717972144
1000.0,3,0.0,1570.34948559,448.265,428,-0.0530517,428000,0.872229,0.030715,375.5184540748596,0.0983288884163
1000.0,2,0.0,1579.18290969,355.854,430,-0.051659,430000,0.846388,0.0331744,377.31280851364136,0.226058185101
1000.0,2,0.0,1592.85295676,326.175,432,-0.0639253,432000,0.833291,0.0345056,379.0930190086365,0.408265590668
1000.0,2,0.0,1591.59489298,257.921,434,-0.0618763,434000,0.828776,0.0276171,380.9053862094879,0.940017599612
1000.0,2,0.0,1585.20025976,233.039,436,-0.0544063,436000,0.807545,0.0312718,382.6704001426697,0.963977374136
1000.0,2,0.0,1591.26746345,319.095,438,-0.0558706,438000,0.838854,0.0284794,384.54618787765503,0.18612742424
1000.0,2,0.0,1603.34996395,333.549,440,-0.0470464,440000,0.834078,0.03695,386.32732129096985,0.198544681072
1000.0,2,0.0,1605.70113491,343.723,442,-0.0531582,442000,0.816324,0.0369856,388.1233687400818,0.161071360111
1000.0,2,0.0,1610.95764633,318.881,444,-0.0533541,444000,0.781055,0.0298294,389.94356632232666,0.249357938766
1000.0,2,0.0,1616.61526533,285.551,446,-0.0570293,446000,0.780179,0.0270619,391.7327437400818,0.353613615036
1000.0,2,0.0,1649.16559525,372.704,448,-0.0406689,448000,0.742898,0.0497108,393.51479053497314,0.211887478828
1000.0,2,0.0,1649.14476113,328.538,450,-0.0565573,450000,0.737074,0.0362856,395.31100702285767,0.213746786118
1000.0,2,0.0,1653.91600499,338.812,452,-0.0593377,452000,0.690816,0.0287881,397.1133770942688,0.238987267017
1000.0,2,0.0,1665.89707162,383.911,454,-0.0496355,454000,0.688042,0.0436096,398.90551567077637,0.30497187376
1000.0,2,0.0,1671.12294749,366.496,456,-0.0590537,456000,0.691765,0.0298411,400.6866018772125,0.294967710972
1000.0,2,0.0,1675.25391509,357.024,458,-0.0602054,458000,0.589597,0.0341406,402.48344135284424,0.326627671719
1000.0,2,0.0,1689.32549527,336.363,460,-0.0518516,460000,0.590057,0.0330069,404.2644340991974,0.0854051113129
