TimestepsSoFar,loss_pol_entpen,TimeElapsed,ev_tdlam_before,EpThisIter,EpLenMean,loss_pol_surr,EpisodesSoFar,loss_ent,loss_kl,EpRewMean,loss_vf_loss
296874,0.0,495.2656555175781,0.950569741428,23,88.49,-0.149308,4275,19.4818,0.0947296,44.243146531,0.268354
298999,0.0,498.6875207424164,0.942281246185,23,89.13,-0.139237,4298,19.466,0.104646,44.6368812888,0.289934
300990,0.0,502.1093854904175,0.950655970722,22,88.9,-0.140725,4320,19.4319,0.105077,44.6447660673,0.443505
303007,0.0,505.5625011920929,0.934809371829,21,90.69,-0.144858,4341,19.4767,0.106178,45.4680180666,0.2392
305139,0.0,509.0156157016754,0.945571120828,23,92.86,-0.145491,4364,19.4292,0.0967484,46.3481439724,0.348091
307167,0.0,512.4772577285767,0.957244090736,22,93.2,-0.147984,4386,19.3972,0.107083,46.5705973399,0.283509
309154,0.0,515.9644401073456,0.961515843868,21,93.24,-0.142183,4407,19.4225,0.109187,46.3981115894,0.273674
311276,0.0,519.4215075969696,0.9405968301,18,99.09,-0.153953,4425,19.4028,0.109191,49.2887402464,0.226801
313261,0.0,522.8589971065521,0.966933358461,23,95.75,-0.145274,4448,19.3646,0.102032,47.8514888166,0.297702
315383,0.0,526.3291211128235,0.946010205895,23,95.24,-0.14481,4471,19.3124,0.120675,47.6388472461,0.301708
317433,0.0,529.7977464199066,0.958699893206,21,96.71,-0.139257,4492,19.313,0.104054,48.1982006913,0.303374
319483,0.0,533.2273185253143,0.94970818609,23,94.18,-0.143428,4515,19.2722,0.12458,47.022511726,0.3204
321422,0.0,536.6947612762451,0.952722560614,21,91.48,-0.148982,4536,19.2101,0.100857,45.6138073788,0.441116
323563,0.0,540.1409642696381,0.954977508634,23,92.78,-0.148029,4559,19.1608,0.108779,46.4655802542,0.328899
325589,0.0,543.6114919185638,0.957392949611,21,93.94,-0.145856,4580,19.1458,0.105971,46.6621296401,0.323798
327628,0.0,547.039314031601,0.962659798563,22,93.49,-0.145574,4602,19.157,0.103341,46.3748955403,0.303885
329693,0.0,550.493408203125,0.954243190587,21,94.42,-0.144755,4623,19.1685,0.0968054,46.8580881377,0.360151
331727,0.0,553.9219133853912,0.958739768714,21,94.89,-0.146682,4644,19.1256,0.104664,47.044729037,0.287748
333818,0.0,557.3594031333923,0.939919341356,22,95.27,-0.136558,4666,19.0846,0.0952251,47.0080805629,0.289906
335867,0.0,560.8013136386871,0.941163633019,23,94.62,-0.148192,4689,19.061,0.128049,47.513021261,0.306583
337886,0.0,564.2709481716156,0.943308535963,21,95.45,-0.152047,4710,19.0231,0.130995,47.661850424,0.35523
339934,0.0,567.7270345687866,0.935525931418,20,95.03,-0.145553,4730,18.987,0.117157,47.7115704423,0.328191
341982,0.0,571.1879191398621,0.932026453316,20,96.76,-0.14265,4750,18.9885,0.114606,48.3888099303,0.379102
344031,0.0,574.6468532085419,0.952734161168,21,97.57,-0.146334,4771,18.9441,0.12281,49.1315705956,0.444458
346104,0.0,578.0529999732971,0.95260515064,22,98.42,-0.14731,4793,18.9318,0.11788,49.3595067099,0.333821
348107,0.0,581.508359670639,0.957370400429,22,96.24,-0.145612,4815,18.9124,0.112946,48.064008989,0.344235
350193,0.0,584.9532630443573,0.946008119732,20,97.3,-0.14126,4835,18.9017,0.125359,48.2749707366,0.308089
352155,0.0,588.3753659725189,0.945134542882,21,95.05,-0.143595,4856,18.8413,0.121049,47.347244566,0.299564
354251,0.0,591.8125367164612,0.945118889213,22,95.68,-0.148136,4878,18.8404,0.119356,47.3282339284,0.325791
356352,0.0,595.2500267028809,0.956653241068,23,95.81,-0.151058,4901,18.7941,0.119691,47.2895364619,0.374862
358384,0.0,598.7144887447357,0.952129416168,21,94.69,-0.143755,4922,18.7737,0.119348,47.3650687968,0.276084
360381,0.0,602.1363017559052,0.95183936134,22,93.88,-0.143399,4944,18.7339,0.106257,47.3216216079,0.319041
362472,0.0,605.5791306495667,0.963401891291,21,94.89,-0.150107,4965,18.7089,0.12551,47.8303422608,0.218469
364458,0.0,609.0239443778992,0.959538977593,20,95.79,-0.149344,4985,18.7122,0.124304,48.1625118203,0.289024
366557,0.0,612.4458820819855,0.947107519954,22,96.41,-0.148286,5007,18.6676,0.118383,48.7008982378,0.293859
368583,0.0,615.8918106555939,0.949887260795,22,95.33,-0.139326,5029,18.6218,0.114108,48.2669213414,0.48927
370681,0.0,619.327960729599,0.95399524644,22,96.85,-0.147514,5051,18.5769,0.125668,48.7375982047,0.380939
372711,0.0,622.7967100143433,0.945923212916,17,99.7,-0.15217,5068,18.5462,0.134519,50.1517919196,0.320721
374698,0.0,626.2312731742859,0.94081703946,20,99.13,-0.14316,5088,18.5653,0.116812,50.2380247869,0.305231
376784,0.0,629.6567695140839,0.950996894389,21,99.78,-0.151217,5109,18.5182,0.128329,50.5495769993,0.340389
378820,0.0,633.1052424907684,0.959658950567,21,101.55,-0.148821,5130,18.4753,0.118034,51.3256811184,0.35837
380924,0.0,636.56298661232,0.962339647114,21,102.43,-0.151727,5151,18.4354,0.12829,51.8526216734,0.28157
382974,0.0,640.0087976455688,0.947647031397,20,99.99,-0.146701,5171,18.4434,0.121727,50.6975747967,0.360316
384974,0.0,643.468507528305,0.95640424639,20,100.02,-0.144172,5191,18.4085,0.125874,50.5200510416,0.319177
386991,0.0,646.8916788101196,0.935562036932,19,101.12,-0.146331,5210,18.3931,0.128466,51.2221876346,0.309123
389092,0.0,650.3442032337189,0.959518883377,19,103.66,-0.148233,5229,18.3538,0.127348,52.4094087362,0.370673
391081,0.0,653.7888762950897,0.949831988662,19,104.66,-0.145546,5248,18.3005,0.129846,52.6891217431,0.33451
393166,0.0,657.219475030899,0.955473367125,20,105.45,-0.147565,5268,18.2616,0.128861,53.0430680317,0.359643
395233,0.0,660.6907584667206,0.961864709854,20,105.03,-0.146018,5288,18.2517,0.122732,52.7661417618,0.309663
397275,0.0,664.1297929286957,0.930371247232,20,104.48,-0.150917,5308,18.2336,0.135466,51.9684380288,0.361496
399345,0.0,667.5622928142548,0.934590227902,20,104.04,-0.142411,5328,18.2062,0.129199,51.7014287557,0.356897
401378,0.0,670.9922358989716,0.950080528855,22,101.13,-0.144665,5350,18.1899,0.126615,50.6391907116,0.423326
403450,0.0,674.4460573196411,0.929728925228,18,102.84,-0.147312,5368,18.1485,0.14665,51.5294822549,0.244995
405451,0.0,677.8751153945923,0.96182943508,21,99.85,-0.144816,5389,18.1189,0.121994,49.9471490641,0.300133
407522,0.0,681.3203091621399,0.95367609337,21,99.87,-0.144462,5410,18.0536,0.134935,49.7913346171,0.319702
409565,0.0,684.7773451805115,0.952987771481,19,101.56,-0.146157,5429,18.0119,0.1354,50.6420546872,0.291229
411620,0.0,688.2140402793884,0.93791686371,19,104.03,-0.144421,5448,17.9636,0.149086,51.7746797875,0.307313
413672,0.0,691.6580502986908,0.950324937701,19,103.32,-0.152853,5467,17.9358,0.127862,51.3523061864,0.293322
