loss_kl,TimestepsSoFar,ev_tdlam_before,loss_pol_surr,EpisodesSoFar,loss_ent,EpLenMean,EpThisIter,loss_pol_entpen,loss_vf_loss,TimeElapsed,EpRewMean
0.0189932,227315,0.966587871313,-0.0605194,1396,5.74229,319.87,6,0.0,93.6135,226.96066188812256,1042.81104652
0.0205532,229161,0.96182897687,-0.0651581,1400,5.7124,327.04,4,0.0,84.9267,229.00872468948364,1071.8256032
0.0224061,231079,0.942521825433,-0.0598403,1405,5.66948,330.42,5,0.0,124.666,231.0284218788147,1084.76454992
0.0225701,233102,0.967696685344,-0.0600454,1410,5.65328,336.32,5,0.0,66.9917,233.06085801124573,1108.14175197
0.0193914,235281,0.94631639123,-0.0686661,1416,5.58923,340.83,6,0.0,138.364,235.0861279964447,1121.02029284
0.0238629,237184,0.960948500782,-0.0594629,1422,5.58404,341.99,6,0.0,88.5564,237.11900234222412,1127.40712273
0.0208016,239430,0.95687187463,-0.0635571,1429,5.5599,344.97,7,0.0,133.975,239.15332198143005,1144.0472371
0.0215154,241273,0.949900660664,-0.0655337,1435,5.55901,348.51,6,0.0,152.964,241.17794799804688,1159.96846291
0.0253959,243677,0.948294304311,-0.0656975,1441,5.52617,350.95,6,0.0,104.678,243.20929551124573,1171.41240632
0.0196401,245749,0.953175786883,-0.0611675,1447,5.47405,352.45,6,0.0,132.171,245.2406837940216,1180.37328574
0.0194998,247435,0.953406900167,-0.0639637,1452,5.48127,354.48,5,0.0,157.187,247.28758311271667,1193.03169225
0.019571,249641,0.942571662366,-0.0578733,1457,5.45802,358.93,5,0.0,138.973,249.3032524585724,1210.41768482
0.0209714,251864,0.954191986471,-0.0626412,1462,5.42371,361.97,5,0.0,105.804,251.3377242088318,1222.12882138
0.0203275,253715,0.947823960334,-0.0597764,1468,5.38772,362.98,6,0.0,122.213,253.37334179878235,1226.31495233
0.0227873,255652,0.958713386208,-0.0672276,1473,5.32234,367.28,5,0.0,85.3293,255.38776326179504,1245.71436359
0.0225083,257598,0.965199965984,-0.0564217,1477,5.34056,372.02,4,0.0,83.8375,257.42070722579956,1269.11916039
0.0237868,259863,0.972880102694,-0.0601599,1483,5.29317,372.25,6,0.0,71.2421,259.4437532424927,1271.35006166
0.0206342,261801,0.836087927222,-0.0379981,1486,5.3103,379.51,3,0.0,423.209,261.490690946579,1301.35403431
0.0234428,263557,0.961633492261,-0.0596181,1491,5.27956,380.94,5,0.0,129.976,263.5064527988434,1311.30526214
0.0211236,265579,0.961569927633,-0.0644709,1495,5.26361,385.47,4,0.0,87.5147,265.5251305103302,1335.13211464
0.0233024,268084,0.962274108082,-0.060242,1500,5.24037,389.23,5,0.0,122.612,267.55982971191406,1357.09226583
0.0247792,269800,0.969912715256,-0.0531325,1503,5.2243,394.86,3,0.0,66.9781,269.58383679389954,1385.51099679
0.0226677,271669,0.960254911333,-0.0666533,1506,5.18893,402.3,3,0.0,108.03,271.6031138896942,1418.62722294
0.0193836,274216,0.842579826713,-0.042543,1509,5.18569,415.1,3,0.0,568.344,273.6383764743805,1468.10165958
0.0199865,276452,0.959993738681,-0.0595711,1512,5.15347,424.09,3,0.0,69.6909,275.657164812088,1510.30261845
0.0214941,278310,0.952192254364,-0.0608542,1516,5.11859,430.29,4,0.0,157.539,277.69347953796387,1537.44858941
0.0247001,280215,0.954790208489,-0.0633753,1520,5.0955,438.49,4,0.0,109.665,279.72483086586,1566.5287577
0.0226443,282151,0.957944173366,-0.0576135,1524,5.09807,441.79,4,0.0,100.455,281.75613379478455,1581.30363238
0.0234725,284607,0.944463118911,-0.0547667,1528,5.0672,455.39,4,0.0,168.41,283.78744292259216,1635.55502602
0.0235625,286325,0.943492718041,-0.0562765,1531,5.07966,463.66,3,0.0,101.795,285.8187909126282,1666.76384724
0.0214588,288399,0.815279960632,-0.0446787,1534,5.03495,474.59,3,0.0,438.928,287.88935899734497,1707.10399355
0.0191663,290173,0.815842851996,-0.0391643,1537,5.02031,480.98,3,0.0,546.8,289.92552638053894,1732.04199142
0.0205528,292699,0.870643019676,-0.0453816,1541,4.97972,490.22,4,0.0,423.46,291.943186044693,1768.18526659
0.024519,294735,0.942248538136,-0.0673811,1544,4.97748,503.47,3,0.0,113.8,293.97448468208313,1818.60617601
0.0278901,296740,0.959053464234,-0.0526381,1548,4.9265,504.56,4,0.0,105.479,296.0014293193817,1826.85180985
0.0262676,298594,0.96098491177,-0.0611649,1551,4.93442,515.38,3,0.0,88.4691,298.0292241573334,1868.20726949
0.0276897,301000,0.94248181209,-0.0631136,1555,4.92318,521.81,4,0.0,129.934,300.0602283477783,1894.44375211
0.0169654,302514,0.679110586643,-0.0405213,1557,4.93106,528.73,2,0.0,576.97,302.0755970478058,1920.72696756
0.0223911,304686,0.958765093237,-0.062456,1561,4.92062,532.63,4,0.0,74.0953,304.10759830474854,1937.40403984
0.0207609,307145,0.902506314218,-0.0496622,1566,4.88919,539.75,5,0.0,452.721,306.13917088508606,1968.73605932
0.0256246,308912,0.927071124315,-0.0658393,1571,4.83693,544.26,5,0.0,207.786,308.1546618938446,1985.60344463
0.0215986,310988,0.824794769287,-0.0453754,1574,4.79437,547.83,3,0.0,548.499,310.19310998916626,2000.44243048
0.0354799,312887,0.793656945229,-0.03517,1576,4.76149,558.83,2,0.0,526.522,312.2091052532196,2044.58742014
0.0232136,315364,0.947732545435,-0.065607,1581,4.72921,564.53,5,0.0,130.689,314.24045968055725,2068.786313
0.0258351,317252,0.970848612487,-0.0697557,1584,4.6701,570.12,3,0.0,72.142,316.2714936733246,2090.97838369
0.0308352,319139,0.971131013706,-0.0712039,1588,4.65055,563.29,4,0.0,69.3023,318.28708243370056,2062.25918172
0.0228599,321113,0.959733344615,-0.0605832,1592,4.64171,568.81,4,0.0,87.5128,320.31879329681396,2084.99492272
0.0257834,323420,0.884199097753,-0.0417136,1596,4.6265,571.57,4,0.0,586.533,322.33519411087036,2095.74433927
0.0266094,325254,0.932670861483,-0.0650798,1599,4.58687,573.53,3,0.0,156.691,324.3652710914612,2103.57925173
0.0190173,327392,0.959489967674,-0.0600069,1602,4.56038,582.54,3,0.0,96.1063,326.38063287734985,2140.91530402
0.0227265,329370,0.895905226469,-0.0424117,1604,4.52029,587.49,2,0.0,91.319,328.415491104126,2160.38658845
0.0280229,331673,0.930049188435,-0.0652288,1609,4.47418,574.57,5,0.0,136.682,330.44930243492126,2108.0912498
0.0231682,333448,0.855654001236,-0.0454912,1612,4.46115,569.96,3,0.0,470.836,332.4671814441681,2087.31144663
0.0218674,335711,0.847322255373,-0.0418572,1615,4.43741,577.32,3,0.0,427.725,334.4985055923462,2120.48535593
0.0186676,337724,0.843024730682,-0.0433161,1618,4.42717,583.91,3,0.0,564.311,336.5298385620117,2151.32201671
0.0270542,339963,0.955390397459,-0.0565734,1622,4.40817,586.15,4,0.0,99.2896,338.5613739490509,2163.82946458
0.0307751,341392,0.958385638893,-0.0615897,1625,4.42515,582.6,3,0.0,97.1807,340.5791234970093,2147.81703008
0.0217259,344039,0.713746219873,-0.0399669,1628,4.43745,594.32,3,0.0,749.505,342.6060080528259,2196.27117833
