EpisodesSoFar,ev_tdlam_before,EpThisIter,loss_pol_entpen,loss_pol_surr,loss_vf_loss,EpLenMean,loss_ent,TimestepsSoFar,TimeElapsed,loss_kl,EpRewMean
1779,0.99107353203,8,0.0,-0.0566991,24.909,256.84,5.41142,280412,282.70306968688965,0.0206603,826.190436234
1787,0.987529465929,8,0.0,-0.0613833,37.5083,256.71,5.3863,282429,284.7569417953491,0.0178713,826.485701835
1795,0.978472260758,8,0.0,-0.0593168,35.5723,255.16,5.37876,284407,286.80488896369934,0.0198696,820.366999915
1804,0.987412202172,9,0.0,-0.0502197,36.676,256.09,5.37354,286710,288.85106778144836,0.0263461,824.448764599
1812,0.978970227763,8,0.0,-0.0550149,50.5371,255.0,5.39585,288710,290.9023504257202,0.0194749,822.388629228
1821,0.986202375032,9,0.0,-0.0508551,30.2383,251.54,5.39893,290714,292.93661975860596,0.0215349,813.274092299
1829,0.989713290706,8,0.0,-0.0637711,27.0107,250.29,5.35811,292688,294.98430132865906,0.0241022,810.948946135
1838,0.985308948904,9,0.0,-0.0568175,37.8945,248.39,5.32724,294799,297.0335304737091,0.0309225,806.804648894
1847,0.974326109514,9,0.0,-0.0558822,48.556,245.64,5.29954,296846,299.1005620956421,0.0189869,798.71563984
1855,0.986451196484,8,0.0,-0.0610555,33.5285,244.96,5.23151,298905,301.1414427757263,0.0218502,795.999300663
1862,0.989017565735,7,0.0,-0.0553044,21.583,245.9,5.21799,300826,303.1636173725128,0.0191262,801.26100391
1871,0.989148002118,9,0.0,-0.0609311,25.7123,247.1,5.2098,303033,305.21064376831055,0.019285,806.090445392
1880,0.984706309624,9,0.0,-0.056887,33.1322,243.82,5.20723,305087,307.24128580093384,0.0259915,792.216138117
1888,0.986773706041,8,0.0,-0.059323,24.2235,242.46,5.16726,306974,309.30461168289185,0.0236004,789.4109515
1897,0.984746444039,9,0.0,-0.0540288,29.6324,242.36,5.15736,309190,311.343709230423,0.023063,792.457114666
1905,0.982612360269,8,0.0,-0.0565986,50.1336,240.89,5.16614,311085,313.40063309669495,0.0193846,786.80288372
1913,0.989645429887,8,0.0,-0.0611289,24.3788,245.29,5.15973,313300,315.45271825790405,0.0223968,802.823070291
1920,0.989802635275,7,0.0,-0.0556365,33.4573,247.85,5.1382,315239,317.51570296287537,0.0250645,810.472754829
1928,0.985639480874,8,0.0,-0.0506152,34.0987,247.0,5.1002,317172,319.5700604915619,0.019325,807.46580109
1936,0.974370302632,8,0.0,-0.0517811,47.3464,248.62,5.13689,319264,321.6034622192383,0.0208222,809.527514789
1944,0.976897237822,8,0.0,-0.0556566,40.1013,254.36,5.0911,321511,323.6567106246948,0.0194332,830.282909995
1951,0.985831305385,7,0.0,-0.0638612,27.7588,254.43,5.0974,323364,325.69451355934143,0.0228847,829.630311647
1960,0.988191623241,9,0.0,-0.0626539,29.6893,251.27,5.07275,325426,327.7577862739563,0.0233366,817.284689602
1968,0.991801681928,8,0.0,-0.0625599,16.9558,252.35,5.02787,327555,329.80439591407776,0.0219404,820.639178533
1976,0.99221745925,8,0.0,-0.0547586,21.2294,256.37,5.00865,329724,331.85094833374023,0.0191288,835.848530202
1983,0.995147483889,7,0.0,-0.0591545,12.8304,258.59,4.95869,331644,333.89750146865845,0.0289587,847.195202218
1991,0.991885515861,8,0.0,-0.0529832,19.4712,261.3,4.92957,333785,335.9284944534302,0.0205127,857.408097555
1999,0.985357980244,8,0.0,-0.0474662,37.5522,262.56,4.92895,335851,337.9856059551239,0.0233826,862.113014582
2006,0.986362879165,7,0.0,-0.0484898,25.6787,263.46,4.93017,337708,340.0071837902069,0.0215681,864.943532301
2014,0.991008116864,8,0.0,-0.0617844,19.9549,261.73,4.87739,339724,342.06957626342773,0.025028,861.289044297
2023,0.986711779609,9,0.0,-0.0512945,32.7067,258.54,4.86103,341856,344.1005368232727,0.0264128,851.98562845
2030,0.990384180099,7,0.0,-0.064357,16.6371,262.15,4.86203,343898,346.1482002735138,0.0248833,866.797798035
2038,0.985636520199,8,0.0,-0.0656546,24.2274,261.23,4.87447,346033,348.1975643634796,0.0279274,866.720524931
2045,0.985072989948,7,0.0,-0.0568214,31.8047,262.08,4.86461,347938,350.227073431015,0.0212814,868.731576031
2052,0.994204407092,7,0.0,-0.0530764,11.9759,264.45,4.85314,350051,352.27282071113586,0.0226137,879.993319424
2060,0.989650040865,8,0.0,-0.0511454,27.3146,266.98,4.84428,352124,354.3039164543152,0.0258454,889.54650959
2068,0.991477785632,8,0.0,-0.0653185,20.8438,266.07,4.83345,354162,356.3576853275299,0.0226742,887.954551146
2075,0.985105468892,7,0.0,-0.063245,29.0231,267.83,4.83147,356246,358.3907175064087,0.0223958,893.536554444
2082,0.993348078337,7,0.0,-0.0519091,18.2534,267.64,4.78909,358157,360.4615442752838,0.0248914,891.4600053
2089,0.995890728664,7,0.0,-0.0581178,12.8776,270.88,4.79048,360354,362.5197858810425,0.0212454,905.387719917
2096,0.977786827832,7,0.0,-0.0513175,62.0995,270.82,4.78821,362203,364.5610752105713,0.0241509,903.636897154
2103,0.98936311435,7,0.0,-0.0635985,17.6203,274.92,4.74562,364389,366.608704328537,0.0262556,920.884385829
2111,0.990618279204,8,0.0,-0.061047,22.8256,275.66,4.69184,366518,368.63579845428467,0.0262484,925.500149344
2118,0.996103226906,7,0.0,-0.0650319,11.4615,279.37,4.65147,368633,370.6793899536133,0.0272793,942.872965199
2124,0.990893770009,6,0.0,-0.0530156,17.5507,283.59,4.66711,370413,372.7104916572571,0.0229801,957.966086831
2133,0.988939038478,9,0.0,-0.0657471,31.2361,276.86,4.67146,372530,374.77306389808655,0.0239513,932.400955302
2140,0.992562140338,7,0.0,-0.0628765,19.7789,278.94,4.65537,374497,376.807493686676,0.0233878,942.799084633
2149,0.989584530704,9,0.0,-0.061374,31.606,274.98,4.63413,376634,378.84250926971436,0.0222843,928.948784392
2156,0.990875103511,7,0.0,-0.0561328,27.1689,275.16,4.58692,378666,380.8901798725128,0.0259073,929.327822206
2163,0.985822251067,7,0.0,-0.0554226,37.2285,280.38,4.62189,380821,382.937050819397,0.0248491,948.707798713
2170,0.992966536433,7,0.0,-0.0608901,16.0918,281.61,4.58117,382880,384.99462270736694,0.0264699,952.272248073
2176,0.994806095026,6,0.0,-0.0610104,15.3316,285.72,4.60034,384947,387.03175616264343,0.0260918,969.351875627
2184,0.983883235604,8,0.0,-0.0585361,46.2363,281.81,4.56277,386928,389.06973600387573,0.0243206,954.086012492
2191,0.992068236694,7,0.0,-0.0629477,19.0051,281.74,4.59997,388941,391.11435437202454,0.0261764,953.20803294
2198,0.987878495827,7,0.0,-0.0535753,18.8129,279.78,4.56362,390832,393.16350769996643,0.021055,945.234310714
2206,0.991232226603,8,0.0,-0.0530549,19.1587,281.02,4.53856,393124,395.2104687690735,0.0366327,950.064734129
2212,0.988597167656,6,0.0,-0.0568924,27.5816,280.56,4.53671,394928,397.2421004772186,0.0265118,945.557730913
2220,0.979340095073,8,0.0,-0.0541766,52.4966,280.38,4.54741,397306,399.28825211524963,0.0258097,939.740613602
2226,0.979538472369,6,0.0,-0.0567653,53.4952,282.65,4.51562,399167,401.30425810813904,0.0218564,947.114047465
2233,0.989813558757,7,0.0,-0.0562297,36.5734,286.92,4.4864,401222,403.3593466281891,0.0224556,962.475614886
2240,0.992471300997,7,0.0,-0.0592581,17.6851,288.4,4.45249,403337,405.3824830055237,0.028413,967.72960791
2246,0.99252782017,6,0.0,-0.0420426,13.61,293.81,4.40799,405400,407.4323036670685,0.0391188,990.170775711
2252,0.99608532805,6,0.0,-0.0616896,9.99216,297.45,4.36967,407263,409.4755837917328,0.0329867,1004.12983041
2258,0.994165864307,6,0.0,-0.0507622,12.1829,302.01,4.32663,409546,411.5222668647766,0.0269029,1022.62957458
2264,0.984757171012,6,0.0,-0.0592728,30.424,304.82,4.35031,411557,413.55757308006287,0.0235293,1033.40812895
2271,0.990744581446,7,0.0,-0.0652454,20.4008,304.32,4.33041,413548,415.6085464954376,0.0273201,1031.62321701
2279,0.98937973287,8,0.0,-0.0647983,28.444,296.86,4.31934,415423,417.65453457832336,0.0240125,1005.56133268
2287,0.993430772331,8,0.0,-0.0615177,16.9889,299.23,4.26855,417755,419.6869316101074,0.0307788,1015.26560781
2294,0.984577671625,7,0.0,-0.0605505,25.6616,298.48,4.26491,419723,421.7493944168091,0.0265037,1012.06788923
2300,0.992761181202,6,0.0,-0.0636276,14.8582,302.43,4.2465,421634,423.7810130119324,0.0261914,1026.90065056
2307,0.987857610919,7,0.0,-0.057766,21.477,303.6,4.19999,423780,425.82813715934753,0.0230738,1032.38318463
