EpisodesSoFar,TimestepsSoFar,ev_tdlam_before,EpThisIter,loss_vf_loss,TimeElapsed,loss_kl,loss_pol_surr,EpRewMean,loss_ent,EpLenMean,loss_pol_entpen
2193,358265,0.958875365555,5,134.193,357.8434281349182,0.0274063,-0.0564218,1267.37095103,3.85145,354.55,0.0
2198,360407,0.947203125805,5,126.913,359.8642477989197,0.0264577,-0.0599847,1300.02505317,3.81632,362.75,0.0
2203,362437,0.955152001232,5,126.393,361.8961193561554,0.0262158,-0.0558159,1319.76297129,3.82792,367.73,0.0
2207,364518,0.959760919213,4,88.7476,363.9184138774872,0.0267134,-0.0564049,1355.10172775,3.84287,376.45,0.0
2211,366532,0.960688747466,4,140.941,365.95071291923523,0.0300594,-0.0567923,1379.39520557,3.77668,382.97,0.0
2215,368465,0.955539662391,4,164.811,367.9685277938843,0.022153,-0.0493871,1408.28728239,3.7781,389.9,0.0
2220,370455,0.945696555078,5,177.189,370.00615668296814,0.025523,-0.0597964,1417.4326557,3.79245,392.52,0.0
2223,372482,0.837829589844,3,299.065,372.0281548500061,0.02644,-0.0408131,1460.29950841,3.79563,403.18,0.0
2228,374533,0.955077540129,5,129.163,374.0607044696808,0.0342845,-0.0569775,1468.86502854,3.78834,405.24,0.0
2231,376388,0.838961109519,3,510.77,376.09105920791626,0.0264993,-0.0351915,1515.3995113,3.76638,416.38,0.0
2234,378299,0.962280705571,3,88.7173,378.1064157485962,0.0271987,-0.0515036,1541.76869286,3.79272,423.14,0.0
2237,380000,0.854992881417,3,513.84,380.1167571544647,0.0211126,-0.0351117,1566.59322356,3.77755,429.26,0.0
2244,382726,0.890838451684,7,325.318,382.13780999183655,0.026694,-0.0553984,1574.24417669,3.77751,432.17,0.0
2249,384939,0.900929458439,5,336.437,384.16931080818176,0.0236452,-0.0557521,1597.02700478,3.76493,438.73,0.0
2253,386899,0.877941012383,4,525.36,386.2170195579529,0.0312211,-0.0402293,1609.34302239,3.71957,442.51,0.0
2256,388603,0.84836179018,3,571.181,388.25553846359253,0.0250367,-0.0397975,1623.82650915,3.67416,446.75,0.0
