loss_ent,TimeElapsed,EpLenMean,loss_kl,EpThisIter,loss_vf_loss,EpisodesSoFar,ev_tdlam_before,TimestepsSoFar,loss_pol_entpen,EpRewMean,loss_pol_surr
18.9614,608.9683122634888,99.65,0.109644,21,0.361479,4034,0.958015102893,307192,0.0,49.4641986501,-0.144099
18.8911,612.7410669326782,97.74,0.0990173,22,0.357387,4056,0.956464663148,309193,0.0,48.4456424026,-0.13887
18.8695,616.6635150909424,99.76,0.131609,19,0.288644,4075,0.924398086965,311292,0.0,49.4328083836,-0.142939
18.858,620.9208242893219,99.71,0.0996482,21,0.39774,4096,0.96483848989,313322,0.0,49.1682426075,-0.140385
18.777,625.3051979541779,100.58,0.114077,19,0.277048,4115,0.958087906241,315316,0.0,49.4556044967,-0.140963
18.7229,629.9381418228149,100.93,0.115881,20,0.49902,4135,0.928984381258,317359,0.0,49.6516897673,-0.14402
18.6703,634.0549852848053,102.1,0.118536,21,0.441303,4156,0.946785032749,319403,0.0,50.379157979,-0.149108
18.6522,637.8654088973999,99.85,0.110057,21,0.395281,4177,0.959732174873,321494,0.0,49.6103615371,-0.151892
18.6799,641.6826713085175,100.85,0.113913,20,0.54386,4197,0.938082080334,323552,0.0,50.0960502295,-0.139368
18.6296,645.4983670711517,103.98,0.109662,17,0.387325,4214,0.936938151717,325604,0.0,51.4985033013,-0.149455
18.5623,649.4443652629852,104.21,0.112253,19,0.322163,4233,0.931416399777,327543,0.0,51.8639283111,-0.146014
18.5546,653.6255309581757,106.6,0.124738,20,0.417254,4253,0.946526747197,329723,0.0,52.9469330045,-0.143865
18.5481,657.9911301136017,106.74,0.100192,20,0.360397,4273,0.953004967421,331711,0.0,52.8285554095,-0.145872
18.511,662.6007516384125,106.78,0.126976,20,0.33387,4293,0.954508729279,333811,0.0,53.0492605681,-0.142095
18.498,666.8208825588226,102.2,0.112406,21,0.383155,4314,0.96008990705,335824,0.0,51.1429481249,-0.146273
18.5243,670.6348991394043,102.87,0.115072,19,0.335719,4333,0.955488298088,337830,0.0,51.2425197665,-0.138462
18.4345,674.4599187374115,101.92,0.112868,20,0.42981,4353,0.957886263728,339915,0.0,50.6867264388,-0.145591
18.3715,678.2728850841522,104.63,0.11958,18,0.454861,4371,0.935918293893,342003,0.0,52.0292205226,-0.143686
18.3453,682.1633403301239,105.23,0.120038,19,0.490497,4390,0.939565192908,344029,0.0,51.9530075961,-0.147615
18.3204,686.3196618556976,105.76,0.113505,20,0.357202,4410,0.953120898455,346034,0.0,52.311703716,-0.144772
18.2996,690.6887321472168,106.23,0.114991,20,0.389604,4430,0.935591034591,348128,0.0,52.4880028081,-0.147307
18.3173,695.2651505470276,107.07,0.127983,18,0.374842,4448,0.928939774632,350142,0.0,52.8331353025,-0.144079
18.2569,699.6582605838776,107.38,0.122473,19,0.410809,4467,0.949738375843,352189,0.0,53.1751054365,-0.149974
18.2276,703.5223863124847,104.65,0.121255,21,0.31039,4488,0.965682044625,354293,0.0,51.9484715053,-0.14987
18.2426,707.3464262485504,106.31,0.109828,19,0.354198,4507,0.960091669112,356262,0.0,52.6090612831,-0.15002
18.1941,711.155118227005,104.72,0.117374,20,0.318179,4527,0.952556684613,358290,0.0,51.7997473284,-0.143766
18.1659,715.0426540374756,103.2,0.12218,20,0.374534,4547,0.952514126897,360347,0.0,51.308205561,-0.148289
18.1335,719.1325359344482,99.91,0.111965,23,0.367518,4570,0.961234133691,362482,0.0,49.5692955348,-0.149815
18.128,723.4223446846008,100.54,0.13331,20,0.280219,4590,0.959008060396,364540,0.0,50.2000874467,-0.150435
18.1187,727.9605784416199,99.99,0.128404,20,0.334915,4610,0.948367886245,366565,0.0,50.1948516679,-0.14597
18.1445,732.5098395347595,99.34,0.111479,21,0.323867,4631,0.954321883619,368616,0.0,50.0162734357,-0.146855
18.0835,736.3988966941833,98.58,0.123365,20,0.387269,4651,0.956441204995,370597,0.0,49.6311192999,-0.146516
18.0355,740.2131571769714,102.17,0.126136,19,0.343071,4670,0.952079944313,372699,0.0,51.4805807186,-0.144039
18.0278,744.0109899044037,104.58,0.131145,17,0.299763,4687,0.960241887718,374686,0.0,52.5700640455,-0.147471
18.0011,747.906308889389,103.83,0.123361,21,0.324987,4708,0.95368071273,376755,0.0,51.9634340844,-0.149804
18.0096,751.9136152267456,106.12,0.135844,19,0.295012,4727,0.93129709363,378850,0.0,52.9272467031,-0.153635
17.9963,756.1481854915619,108.07,0.279914,19,0.2679,4746,0.947255380452,380918,0.0,53.9633951791,-0.140297
17.9615,760.7188422679901,106.44,0.110604,20,0.344863,4766,0.947073440999,382871,0.0,52.8254768518,-0.142226
18.0069,765.2884247303009,104.24,0.115052,20,0.301274,4786,0.957430053502,384974,0.0,51.91846773,-0.148211
17.9273,769.3904631137848,102.96,0.133003,22,0.313965,4808,0.958406854421,387051,0.0,51.3815481779,-0.150847
17.9092,773.2126715183258,101.85,0.130949,20,0.261879,4828,0.949144758284,389111,0.0,51.0266517795,-0.147074
17.839,777.0270867347717,100.53,0.14394,20,0.346237,4848,0.954369094223,391159,0.0,50.532970351,-0.147559
17.7878,780.8910660743713,100.27,0.126281,20,0.337586,4868,0.944331336766,393207,0.0,50.4956302008,-0.142891
17.7655,784.7143423557281,101.71,0.13332,19,0.310246,4887,0.941078163683,395217,0.0,51.3475592923,-0.149793
17.755,788.9369380474091,102.73,0.133983,20,0.396792,4907,0.944698564708,397234,0.0,51.8887454849,-0.147678
17.7846,793.307356595993,104.95,0.136339,19,0.358197,4926,0.955995190889,399349,0.0,52.8648712512,-0.149424
17.7162,797.8443448543549,106.72,0.133956,16,0.34074,4942,0.954471956939,401301,0.0,53.4416533545,-0.148354
17.669,802.3860063552856,107.53,0.12118,19,0.469182,4961,0.949489977211,403236,0.0,54.0574156678,-0.149177
17.5971,806.2104287147522,110.27,0.128588,18,0.483073,4979,0.933410517871,405388,0.0,55.0571645059,-0.139342
17.5713,810.1004951000214,114.83,0.232641,17,0.365076,4996,0.929011315107,407535,0.0,57.2578081791,-0.146429
