loss_ent,ev_tdlam_before,EpThisIter,TimestepsSoFar,loss_kl,loss_pol_entpen,EpisodesSoFar,loss_vf_loss,TimeElapsed,loss_pol_surr,EpLenMean,EpRewMean
0.889216,-0.00946640968323,2,404821,0.0102414,0.0,1167,68.534,317.72585701942444,-0.00608884,998.47,998.47
0.877558,-0.000845789909363,2,406821,0.00686491,0.0,1169,68.4256,319.3352270126343,-0.00574578,998.47,998.47
0.882719,0.0105872750282,3,409314,0.00397475,0.0,1172,92.2681,320.9445962905884,-0.00759599,993.4,993.4
0.882553,-0.0133280754089,2,410755,0.0109121,0.0,1174,58.4219,322.53156328201294,-0.0106284,987.81,987.81
0.884081,-0.00943624973297,2,412755,0.013919,0.0,1176,67.4776,324.1422703266144,-0.0094163,987.81,987.81
0.87003,0.0173460841179,4,415255,0.00596071,0.0,1180,109.462,325.7337555885315,-0.00686064,972.81,972.81
0.879146,-0.0483794212341,2,417255,0.00671071,0.0,1182,64.8791,327.3355619907379,-0.00640497,972.81,972.81
0.884062,-0.00580132007599,2,419255,0.00995775,0.0,1184,67.7087,328.92930793762207,-0.0113559,972.81,972.81
0.875634,-0.0123649835587,2,421255,0.00559323,0.0,1186,67.4206,330.54100370407104,-0.00725973,972.81,972.81
0.892292,-0.0090297460556,2,423255,0.00507184,0.0,1188,67.7113,332.1428744792938,-0.0067448,972.81,972.81
0.89821,-0.0082049369812,2,425255,0.00675377,0.0,1190,67.9843,333.74511337280273,-0.00613468,972.81,972.81
0.88542,0.000119030475616,2,427255,0.0083366,0.0,1192,68.0529,335.36747193336487,-0.00621364,972.81,972.81
0.907745,-0.00376045703888,2,429255,0.0114796,0.0,1194,68.2137,336.96300435066223,-0.00508658,972.81,972.81
0.906866,0.0226579904556,3,431395,0.00802288,0.0,1197,82.6608,338.5716791152954,-0.0116382,964.21,964.21
0.909776,0.0138223767281,3,433887,0.00980253,0.0,1200,91.3721,340.15789341926575,-0.00800496,959.13,959.13
0.900129,-0.0740926265717,2,435887,0.00519034,0.0,1202,65.3677,341.766001701355,-0.0061138,959.13,959.13
0.934851,-0.0102733373642,2,437887,0.00744284,0.0,1204,67.258,343.3673861026764,-0.00749548,959.13,959.13
0.91283,-0.0422677993774,2,439887,0.00646368,0.0,1206,67.8874,344.9769084453583,-0.00844347,959.13,959.13
0.895574,0.0126256942749,2,441887,0.00553951,0.0,1208,56.7005,346.5708866119385,-0.004689,959.13,959.13
0.898365,-0.043226480484,2,443887,0.00589512,0.0,1210,68.3049,348.1717393398285,-0.00544072,959.13,959.13
0.899104,-0.00436520576477,2,445887,0.0025742,0.0,1212,68.2464,349.7668790817261,-0.00417477,959.13,959.13
0.897642,-0.00937414169312,2,447887,0.0176125,0.0,1214,68.1362,351.36830496788025,-0.00521547,959.13,959.13
0.889118,-0.00172173976898,2,449887,0.0107703,0.0,1216,68.2293,352.99760341644287,-0.00473479,959.13,959.13
0.904524,-0.000681281089783,2,451887,0.00751374,0.0,1218,68.3056,354.6014726161957,-0.00709661,959.13,959.13
0.913424,-0.000226020812988,2,453887,0.0111426,0.0,1220,68.3442,356.1952180862427,-0.00586027,959.13,959.13
0.89818,-0.000393986701965,2,455887,0.00729685,0.0,1222,68.4281,357.7889633178711,-0.00539271,959.13,959.13
0.907252,-0.000231385231018,2,457887,0.013513,0.0,1224,68.4391,359.3983325958252,-0.00567917,959.13,959.13
0.906807,-0.00130248069763,2,459887,0.00886025,0.0,1226,68.4523,360.99207854270935,-0.00536091,959.13,959.13
0.907711,-0.000245213508606,2,461887,0.00380353,0.0,1228,68.4371,362.6254243850708,-0.00739544,959.13,959.13
0.898174,0.00315952301025,3,464230,0.00576364,0.0,1231,93.3324,364.2233738899231,-0.00819756,954.09,954.09
0.892247,-0.0183024406433,2,466230,0.00658288,0.0,1233,67.026,365.85314083099365,-0.00724581,954.09,954.09
0.893996,-0.011713385582,2,468230,0.00347434,0.0,1235,67.9914,367.44566082954407,-0.0053256,954.09,954.09
