EpRewMean,EpThisIter,ev_tdlam_before,loss_kl,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,loss_vf_loss,EpisodesSoFar,loss_ent,EpLenMean,TimeElapsed
973.37,2,-0.0043842792511,0.0037796,-0.00343627,0.0,226392,67.6175,1000,0.873049,973.37,179.71250319480896
973.37,2,-0.0081512928009,0.0114123,-0.00436631,0.0,228392,68.3601,1002,0.895504,973.37,181.35538792610168
973.37,3,-0.00919771194458,0.00673645,-0.00476938,0.0,231392,97.174,1005,0.906252,973.37,182.9812080860138
973.37,2,-0.00353240966797,0.00505349,-0.0028935,0.0,233392,67.8465,1007,0.930916,973.37,184.5857605934143
973.37,2,-0.00788187980652,0.0048853,-0.00348854,0.0,235392,67.8777,1009,0.934938,973.37,186.22024846076965
967.47,2,0.226364314556,0.00813561,-0.00972399,0.0,236802,53.3576,1011,0.933601,967.47,187.8278021812439
965.34,3,0.0492475628853,0.00982069,-0.00560276,0.0,239589,81.7418,1014,0.919201,965.34,189.43717193603516
965.34,2,0.0339881181717,0.00417966,-0.00539481,0.0,241589,66.2831,1016,0.930483,965.34,191.06496500968933
965.34,2,-0.0134344100952,0.00419731,-0.00289012,0.0,243589,69.2132,1018,0.921227,965.34,192.6736295223236
965.34,2,-0.0141664743423,0.00604023,-0.00544745,0.0,245589,68.5281,1020,0.927462,965.34,194.27639055252075
965.34,2,-0.0210388898849,0.00745528,-0.00662285,0.0,247589,58.0677,1022,0.915332,965.34,195.88712978363037
965.34,2,-0.00755739212036,0.00736556,-0.00496636,0.0,249589,69.4266,1024,0.909197,965.34,197.50355458259583
965.34,2,0.00122201442719,0.00563737,-0.00529005,0.0,251589,69.1342,1026,0.90937,965.34,199.11317491531372
965.34,2,0.00315821170807,0.00896205,-0.0068449,0.0,253589,70.3888,1028,0.911571,965.34,200.73956060409546
965.34,2,-0.00186562538147,0.00730004,-0.00482197,0.0,255589,68.7956,1030,0.916327,965.34,202.34379243850708
965.34,2,0.00094747543335,0.00653749,-0.00678309,0.0,257589,68.555,1032,0.935326,965.34,203.96878695487976
965.34,2,-0.000813245773315,0.00418132,-0.00447572,0.0,259589,68.74,1034,0.940437,965.34,205.5781581401825
965.34,2,-0.00060510635376,0.00606357,-0.00365651,0.0,261589,68.7069,1036,0.965259,965.34,207.18752717971802
965.34,2,-0.000192880630493,0.00755491,-0.00627061,0.0,263589,68.4789,1038,0.965772,965.34,208.81252360343933
966.37,2,0.00333815813065,0.00443543,-0.00445161,0.0,265589,65.3711,1040,0.956335,966.37,210.437570810318
966.37,2,-0.0143448114395,0.00373968,-0.00429097,0.0,267589,69.2429,1042,0.948906,966.37,212.06256556510925
974.91,2,0.00760155916214,0.0111584,-0.00657414,0.0,269589,64.349,1044,0.971525,974.91,213.67200446128845
974.91,2,0.0179638266563,0.00755428,-0.00418168,0.0,271589,65.5022,1046,0.971018,974.91,215.28853297233582
974.91,2,-0.0145622491837,0.00780944,-0.00768964,0.0,273589,69.3135,1048,0.991375,974.91,216.8998520374298
974.91,2,0.0467137098312,0.00974638,-0.00764132,0.0,275589,66.5432,1050,0.999941,974.91,218.50102305412292
974.91,2,-0.0165306329727,0.00637203,-0.00734451,0.0,277589,69.7692,1052,0.987944,974.91,220.10931587219238
986.51,2,0.0146847367287,0.00325051,-0.00284,0.0,279589,67.145,1054,0.993189,986.51,221.7186861038208
986.51,3,0.00347489118576,0.00752461,-0.00869393,0.0,282589,50.0825,1057,1.00416,986.51,223.32691860198975
986.51,2,-0.0360966920853,0.00446729,-0.00550912,0.0,284589,70.4688,1059,1.00466,986.51,224.95974040031433
986.51,2,-0.0174844264984,0.00798971,-0.00351896,0.0,286589,70.031,1061,1.00975,986.51,226.55637073516846
986.51,2,-0.0473309755325,0.00583872,-0.00575055,0.0,288589,68.7466,1063,1.01595,986.51,228.18881797790527
986.51,2,0.0131669640541,0.00677881,-0.00808678,0.0,290589,67.8907,1065,1.01136,986.51,229.79699754714966
986.51,2,-0.0083315372467,0.00871194,-0.00809545,0.0,292589,68.9741,1067,1.00068,986.51,231.41782093048096
986.51,2,-0.00491964817047,0.00528457,-0.00481015,0.0,294589,68.9022,1069,0.999943,986.51,233.02485918998718
986.51,2,-0.00346601009369,0.00436663,-0.00337522,0.0,296589,68.73,1071,1.00573,986.51,234.618554353714
986.51,2,0.0279858112335,0.00896764,-0.00639637,0.0,298589,58.5458,1073,1.02516,986.51,236.24354791641235
986.51,2,-0.0127742290497,0.00629658,-0.00872972,0.0,300589,68.5072,1075,1.00091,986.51,237.85584902763367
986.51,2,0.00267869234085,0.00527265,-0.00532918,0.0,302589,66.5397,1077,1.02031,986.51,239.4722762107849
991.97,2,0.00198048353195,0.00352577,-0.00272269,0.0,304589,68.4022,1079,1.02546,991.97,241.08290553092957
991.97,2,0.00616014003754,0.0113818,-0.00904891,0.0,306589,62.8022,1081,1.02162,991.97,242.71388244628906
991.97,2,-0.0355033874512,0.00597067,-0.00502818,0.0,308589,68.695,1083,1.01969,991.97,244.32778477668762
991.97,2,-0.00365149974823,0.00536563,-0.00436819,0.0,310589,68.8338,1085,1.02378,991.97,245.94612169265747
991.97,2,0.00623935461044,0.0108321,-0.00719919,0.0,312589,68.0693,1087,1.02304,991.97,247.55569911003113
991.97,2,0.00801795721054,0.00552257,-0.00586164,0.0,314589,65.8888,1089,1.03126,991.97,249.20290899276733
991.97,2,-0.00398588180542,0.00821066,-0.00523908,0.0,316589,69.1772,1091,1.00718,991.97,250.81227946281433
991.97,2,-0.0229104757309,0.00833954,-0.00570466,0.0,318589,68.4559,1093,0.996466,991.97,252.42164874076843
991.97,2,-0.00159215927124,0.00991985,-0.00734057,0.0,320589,68.4006,1095,0.971017,991.97,254.0310184955597
991.97,2,-0.00773894786835,0.00570911,-0.00555669,0.0,322589,68.0986,1097,0.979536,991.97,255.65601444244385
991.97,3,0.0394831299782,0.00770671,-0.00812048,0.0,325589,84.0153,1100,0.968104,991.97,257.26538491249084
991.97,2,0.0356768369675,0.00591941,-0.00659761,0.0,327589,50.133,1102,0.940292,991.97,258.87475514411926
991.97,2,0.049976348877,0.00363927,-0.00426167,0.0,329589,71.4907,1104,0.931271,991.97,260.48412561416626
991.97,2,-0.00545382499695,0.00511918,-0.00329675,0.0,331589,67.5844,1106,0.944731,991.97,262.09349489212036
991.97,2,-0.00164556503296,0.00551443,-0.00200254,0.0,333589,68.4754,1108,0.956627,991.97,263.712961435318
997.87,2,0.00812435150146,0.0058353,-0.00594504,0.0,335589,68.8352,1110,0.957165,997.87,265.31659960746765
1000.0,2,0.03129529953,0.0138523,-0.00787525,0.0,337589,68.1105,1112,0.974155,1000.0,266.92718625068665
1000.0,2,0.0217739343643,0.00584755,-0.00454874,0.0,339589,68.4753,1114,0.973401,1000.0,268.5394403934479
1000.0,2,-0.00477969646454,0.00245964,-0.00177353,0.0,341589,70.1267,1116,0.978879,1000.0,270.1571464538574
1000.0,2,-0.00967705249786,0.012961,-0.00898626,0.0,343589,67.9366,1118,0.969821,1000.0,271.76659202575684
1000.0,2,-0.0159095525742,0.0178707,-0.00397747,0.0,345589,68.5253,1120,0.955243,1000.0,273.38405323028564
