loss_vf_loss,loss_ent,loss_pol_entpen,EpLenMean,ev_tdlam_before,EpisodesSoFar,loss_kl,EpThisIter,loss_pol_surr,TimeElapsed,TimestepsSoFar,EpRewMean
69.2992,1.62914,0.0,1000.0,0.146021485329,280,0.0235757,2,-0.0422444,238.296000957489,280000,838.57587216
68.975,1.63614,0.0,1000.0,0.156551897526,282,0.0285271,2,-0.0415249,240.0300736427307,282000,842.952079173
70.1188,1.60213,0.0,1000.0,0.122520267963,284,0.0205905,2,-0.0424905,241.76489329338074,284000,846.478097911
69.2664,1.57832,0.0,1000.0,0.124028801918,286,0.0249469,2,-0.0388843,243.4843852519989,286000,851.747253926
67.1363,1.55585,0.0,1000.0,0.141112864017,288,0.0237704,2,-0.0376684,245.21817469596863,288000,855.737581527
73.7696,1.52306,0.0,1000.0,0.114338994026,290,0.0265297,2,-0.0400736,246.95205688476562,290000,860.706349881
73.6916,1.51137,0.0,1000.0,0.126124799252,292,0.0304227,2,-0.0369237,248.70238947868347,292000,866.402360374
72.6746,1.49275,0.0,1000.0,0.10948830843,294,0.0307063,2,-0.0364522,250.42215609550476,294000,871.311972304
74.36,1.49413,0.0,1000.0,0.137493491173,296,0.0241232,2,-0.0381129,252.15524411201477,296000,876.617008734
109.099,1.43717,0.0,1000.0,0.12979131937,299,0.0425863,3,-0.0375191,253.87396597862244,299000,884.915628658
72.0291,1.41151,0.0,1000.0,0.139055252075,301,0.0238042,2,-0.038825,255.59247493743896,301000,888.885642222
73.5731,1.34917,0.0,1000.0,0.13348788023,303,0.0211393,2,-0.0403272,257.32663893699646,303000,894.655219027
73.6775,1.33026,0.0,1000.0,0.138433098793,305,0.0298793,2,-0.0386,259.0616331100464,305000,899.142614183
77.4701,1.29608,0.0,1000.0,0.168170273304,307,0.0273915,2,-0.0373898,260.7957503795624,307000,903.063258312
79.7862,1.26093,0.0,1000.0,0.139805734158,309,0.0278761,2,-0.0399169,262.51589012145996,309000,906.235651944
81.0153,1.18822,0.0,1000.0,0.121718406677,311,0.0303208,2,-0.0394934,264.2668704986572,311000,910.916904316
77.0639,1.17754,0.0,1000.0,0.213721394539,313,0.0256265,2,-0.0411108,265.99968218803406,313000,915.405181285
77.2973,1.1371,0.0,1000.0,0.17493891716,315,0.0280477,2,-0.0403374,267.7488794326782,315000,919.269227812
79.7283,1.12751,0.0,1000.0,0.170934736729,317,0.0287358,2,-0.0349812,269.4677402973175,317000,924.881505494
85.6088,1.0897,0.0,1000.0,0.161338448524,319,0.0284345,2,-0.0377785,271.2175552845001,319000,930.66513509
84.0988,1.07298,0.0,1000.0,0.115350246429,321,0.0301747,2,-0.03678,272.93707060813904,321000,934.26344544
77.815,1.0494,0.0,1000.0,0.148502707481,323,0.0439009,2,-0.030761,274.6873688697815,323000,937.96704091
88.2854,1.01582,0.0,1000.0,0.122132480145,325,0.0341839,2,-0.0313783,276.42132019996643,325000,942.472147186
83.3451,1.03051,0.0,1000.0,0.108395397663,327,0.022592,2,-0.0372038,278.1695649623871,327000,946.675929344
86.9536,1.067,0.0,1000.0,0.157848536968,329,0.0266167,2,-0.0334773,279.90532970428467,329000,952.288902021
81.422,1.03721,0.0,1000.0,0.126120269299,331,0.0248809,2,-0.0425755,281.6453609466553,331000,955.601366279
85.8359,0.985687,0.0,1000.0,0.113894820213,333,0.0400214,2,-0.0312708,283.3582899570465,333000,959.553263858
82.1268,0.939444,0.0,1000.0,0.110709249973,335,0.0345808,2,-0.0347493,285.12355852127075,335000,962.612209588
84.7293,0.931114,0.0,1000.0,0.133334159851,337,0.024628,2,-0.0389512,286.84239530563354,337000,966.311583392
87.2129,0.889742,0.0,1000.0,0.140614211559,339,0.0412703,2,-0.0336709,288.5777394771576,339000,971.268017234
125.04,0.839138,0.0,1000.0,0.137104868889,342,0.0445442,3,-0.0356867,290.2958559989929,342000,978.800358645
88.0896,0.847973,0.0,1000.0,0.14291036129,344,0.0283926,2,-0.0370638,292.01823353767395,344000,982.23899526
87.1698,0.833602,0.0,1000.0,0.131032168865,346,0.030131,2,-0.0317962,293.7652442455292,346000,985.98463622
87.3692,0.839335,0.0,1000.0,0.158191084862,348,0.0391721,2,-0.0346352,295.4847912788391,348000,989.193213841
83.2088,0.793198,0.0,1000.0,0.145130932331,350,0.0282176,2,-0.0372814,297.2178874015808,350000,992.980506805
84.0123,0.766765,0.0,1000.0,0.119740784168,352,0.0284686,2,-0.0342267,298.9363684654236,352000,995.973848354
90.0794,0.705393,0.0,1000.0,0.240166425705,354,0.0375342,2,-0.0371317,300.6717221736908,354000,1000.03285447
