loss_vf_loss,EpLenMean,EpisodesSoFar,TimeElapsed,ev_tdlam_before,loss_kl,EpRewMean,TimestepsSoFar,loss_pol_surr,loss_pol_entpen,loss_ent,EpThisIter
69.3138,916.44,948,188.16096878051758,0.0178590416908,0.00396854,916.44,232648,-0.00426148,0.0,0.986805,2
62.9955,916.44,950,189.7930805683136,0.0205294489861,0.00674727,916.44,234648,-0.0104656,0.0,0.97826,2
57.6615,926.01,952,191.44572591781616,0.121686816216,0.00656641,926.01,236648,-0.00634003,0.0,1.00284,2
68.0069,926.01,954,193.09454655647278,0.0145991444588,0.0138768,926.01,238648,-0.00465232,0.0,1.01549,2
97.0748,932.7,957,194.74095630645752,0.0218808054924,0.00250508,932.7,241648,-0.00501053,0.0,1.00204,3
69.355,941.53,959,196.38346815109253,-0.0429275035858,0.0077807,941.53,243648,-0.00604096,0.0,0.991132,2
69.3407,941.53,961,198.0321352481842,-0.00628256797791,0.00731885,941.53,245648,-0.00453922,0.0,1.00227,2
66.1922,941.53,963,199.67274594306946,0.00391083955765,0.00496179,941.53,247648,-0.00426671,0.0,1.00052,2
69.1281,941.53,965,201.3289601802826,-0.0102958679199,0.00625595,941.53,249648,-0.00525382,0.0,1.00008,2
66.9799,943.04,967,202.96210169792175,0.0278508067131,0.00577958,943.04,251648,-0.00512256,0.0,0.987032,2
68.9343,947.49,969,204.62044668197632,-0.0134711265564,0.0043147,947.49,253648,-0.00388762,0.0,0.981555,2
45.5047,947.49,971,206.24175834655762,0.0134428739548,0.00691029,947.49,255648,-0.00869747,0.0,0.995661,2
70.4415,950.29,973,207.88172316551208,-0.00716912746429,0.00554592,950.29,257648,-0.00478407,0.0,0.979849,2
69.7948,950.29,975,209.52449584007263,-0.0228023529053,0.00577847,950.29,259648,-0.00466296,0.0,0.97268,2
69.4909,950.29,977,211.1561255455017,0.00201016664505,0.00965037,950.29,261648,-0.00570027,0.0,0.988621,2
69.4889,950.29,979,212.7967450618744,-0.000915884971619,0.00830536,950.29,263648,-0.00422924,0.0,0.987207,2
69.2855,960.1,981,214.43736600875854,-0.00467169284821,0.0063296,960.1,265648,-0.00706303,0.0,0.942156,2
69.0751,960.1,983,216.09361147880554,0.000585794448853,0.00543902,960.1,267648,-0.00446389,0.0,0.945108,2
67.9476,960.1,985,217.73423027992249,0.000984132289886,0.00441295,960.1,269648,-0.00599883,0.0,0.93717,2
66.1674,960.1,987,219.39047574996948,0.015771150589,0.00465377,960.1,271648,-0.00363657,0.0,0.931915,2
