EpisodesSoFar,TimestepsSoFar,loss_vf_loss,EpRewMean,loss_pol_surr,TimeElapsed,loss_pol_entpen,EpThisIter,loss_kl,loss_ent,ev_tdlam_before,EpLenMean
2293,638333,636.113,3076.38271923,-0.0348703,640.6645288467407,0.0,2,0.0294011,3.22106,0.707223415375,696.51
2297,640968,1551.8,3051.75490995,-0.0427994,642.711080789566,0.0,4,0.0320969,3.21359,0.843624800444,692.09
2299,642968,1331.77,3051.22004852,-0.0386594,644.7570540904999,0.0,2,0.0292103,3.19412,0.470248103142,692.09
2301,644968,1173.13,3090.80283714,-0.0420642,646.8051447868347,0.0,2,0.025,3.18104,0.328633010387,700.46
2303,646968,971.406,3107.65286544,-0.0387906,648.8512277603149,0.0,2,0.0248183,3.18898,0.455745518208,703.95
2305,648968,1663.01,3108.98225312,-0.0404538,650.8987286090851,0.0,2,0.0377048,3.15431,0.348035573959,703.95
2307,650771,895.103,3100.77855178,-0.0430326,652.9296133518219,0.0,2,0.0331582,3.13819,0.734222203493,701.98
2310,652809,788.219,3094.17711051,-0.046396,654.9932310581207,0.0,3,0.0266594,3.1197,0.883251823485,700.73
2313,655096,749.321,3132.54370921,-0.0470152,657.0319442749023,0.0,3,0.0315625,3.07908,0.881437338889,707.45
2315,656678,821.806,3151.73188707,-0.0327662,659.0821146965027,0.0,2,0.0283305,3.05902,0.823630228639,711.03
2317,658578,824.346,3200.48432089,-0.0273439,661.1350209712982,0.0,2,0.102429,3.01479,0.820296108723,720.47
2320,661134,1131.67,3199.6725797,-0.041828,663.1807217597961,0.0,3,0.0232886,3.02716,0.74300301075,720.48
2324,663193,907.014,3109.23482582,-0.0458244,665.234432220459,0.0,4,0.0306861,2.98916,0.876306533813,701.55
2328,665311,127.874,3052.50868114,-0.0624158,667.2657585144043,0.0,4,0.0467284,2.97006,0.973895356059,689.71
2331,667493,933.005,3019.21108073,-0.0363846,669.3160524368286,0.0,3,0.107704,2.9505,0.8635994941,683.05
2334,669596,69.3281,3046.06185976,-0.0630622,671.3679823875427,0.0,3,0.0336677,2.95297,0.983052114025,688.39
2337,671636,358.547,3047.14455971,-0.0379347,673.4063513278961,0.0,3,0.0262328,2.95972,0.909458503127,688.52
2340,673711,506.705,3035.44264626,-0.0441388,675.4689965248108,0.0,3,0.0325122,2.98149,0.897653162479,685.77
2342,675189,177.744,3031.10744205,-0.05582,677.4972715377808,0.0,2,0.0472614,2.98902,0.910215727985,684.64
2345,677577,631.543,3048.33528151,-0.0358829,679.5468485355377,0.0,3,0.0334914,2.99091,0.892597071826,688.35
2347,679101,766.65,3025.38172462,-0.0439167,681.5939853191376,0.0,2,0.0341613,3.00014,0.787235707045,683.59
2351,681882,1706.95,3047.05162199,-0.0407335,683.64093708992,0.0,4,0.0292138,2.99641,0.772743985057,687.77
2354,683115,108.06,3020.08639659,-0.0575802,685.7031996250153,0.0,3,0.0316037,2.9728,0.954300668091,682.18
2357,686035,1566.04,3091.08177512,-0.0420374,687.735490322113,0.0,3,0.0325185,2.97471,0.705176502466,695.83
2360,687815,666.146,3088.48957643,-0.0437641,689.7844641208649,0.0,3,0.0392782,2.9227,0.889959506691,695.04
2365,689697,913.412,3065.86851536,-0.0450071,691.8365209102631,0.0,5,0.0413477,2.94958,0.9063276425,689.61
2369,692151,849.314,3043.44302212,-0.0472018,693.8825328350067,0.0,4,0.0315027,2.91402,0.914497546852,684.83
2372,694262,724.109,3066.21781664,-0.0368207,695.9149191379547,0.0,3,0.0324616,2.88907,0.886632673442,688.84
