EpisodesSoFar,loss_vf_loss,loss_ent,EpRewMean,ev_tdlam_before,EpThisIter,loss_kl,TimeElapsed,TimestepsSoFar,loss_pol_surr,loss_pol_entpen,EpLenMean
3932,0.257323,-1.92117,-9.28340367254,0.883570827544,41,0.0213325,168.4138834476471,196600,-0.012506,0.0,50.0
3973,0.271622,-1.97492,-9.26732849824,0.91033039242,41,0.0137571,170.1637089252472,198650,-0.0161177,0.0,50.0
4014,0.228516,-1.97777,-9.21349012377,0.908204957843,41,0.014547,171.91354703903198,200700,-0.0213811,0.0,50.0
4055,0.133552,-1.98485,-9.03829201738,0.927745454013,41,0.0203961,173.64675521850586,202750,-0.0235497,0.0,50.0
4096,0.246772,-1.97613,-9.06943966917,0.910934753716,41,0.0119101,175.3903751373291,204800,-0.0216047,0.0,50.0
4136,0.253804,-1.99775,-9.21811353809,0.906852416694,40,0.0277975,177.12473225593567,206800,-0.0121744,0.0,50.0
4177,0.190855,-2.02327,-8.86528219109,0.91741809994,41,0.0369663,178.86681413650513,208850,-0.00339446,0.0,50.0
4218,0.224403,-2.03944,-8.96039483214,0.908471718431,41,0.0138839,180.61707949638367,210900,-0.023593,0.0,50.0
4259,0.236116,-2.06306,-9.14656545677,0.93136908859,41,0.0132665,182.38145899772644,212950,-0.0170925,0.0,50.0
4300,0.196262,-2.07217,-9.38141062996,0.904860436916,41,0.017338,184.12469816207886,215000,-0.0206203,0.0,50.0
4341,0.203745,-2.07971,-9.40015582109,0.887769602239,41,0.0304103,185.87687611579895,217050,-0.0134771,0.0,50.0
4382,0.191888,-2.11021,-9.01635745925,0.917107634246,41,0.0216355,187.61545038223267,219100,-0.0272367,0.0,50.0
4423,0.280175,-2.14316,-8.78278590847,0.902364432812,41,0.0155761,189.35722160339355,221150,-0.0199261,0.0,50.0
4464,0.216796,-2.16866,-8.35981181129,0.887097455561,41,0.0118619,191.09311246871948,223200,-0.0223344,0.0,50.0
