EpisodesSoFar,TimestepsSoFar,loss_kl,TimeElapsed,loss_pol_surr,loss_pol_entpen,loss_vf_loss,EpRewMean,EpThisIter,ev_tdlam_before,EpLenMean,loss_ent
2325,352121,0.0130214,355.90191411972046,-0.0344494,0.0,19.7342,874.619711084,8,0.992889655288,256.57,1.60514
2332,353994,0.0226603,357.93233609199524,-0.0326601,0.0,8.10197,878.062411862,7,0.995389617514,257.69,1.58078
2339,356180,0.0212763,359.9949679374695,-0.0380111,0.0,5.49786,893.466065545,7,0.99740009103,261.82,1.57647
2347,358376,0.0200242,362.0336880683899,-0.032911,0.0,10.4131,904.402776751,8,0.995352447964,265.18,1.59795
2355,360407,0.0198843,364.0958652496338,-0.0379534,0.0,10.3606,908.8842042,8,0.995044966694,266.59,1.58781
2362,362310,0.020788,366.1283745765686,-0.0363247,0.0,10.4375,910.772412504,7,0.994470929261,267.47,1.57161
2368,364342,0.0245994,368.17372703552246,-0.0331687,0.0,12.5915,932.913291894,6,0.994485618081,273.89,1.52548
2376,366505,0.0221891,370.23623394966125,-0.0379801,0.0,5.93826,938.993010574,8,0.997482254868,275.43,1.52024
2383,368500,0.0173023,372.28471636772156,-0.0407414,0.0,9.0148,940.521552561,7,0.995217495132,275.79,1.52712
2389,370418,0.0213097,374.3574175834656,-0.0440971,0.0,8.03317,953.868531088,6,0.996549629606,279.71,1.52106
2395,372380,0.017722,376.3934805393219,-0.0376414,0.0,10.5202,964.194354851,6,0.995518423617,282.91,1.51901
2403,374664,0.0234871,378.44826912879944,-0.0383306,0.0,17.011,974.835126694,8,0.992507169023,286.25,1.51682
2410,376749,0.0208185,380.4952018260956,-0.0344579,0.0,16.9141,980.049017418,7,0.992284727283,288.01,1.51714
2416,378714,0.0193465,382.62005281448364,-0.0384809,0.0,6.91017,990.043297231,6,0.997217633529,290.62,1.5248
2423,380854,0.0247032,384.66703748703003,-0.0380813,0.0,5.35727,998.94669496,7,0.998196608969,292.22,1.51846
2428,382702,0.023414,386.6988763809204,-0.0444179,0.0,9.54359,1021.46908481,5,0.995988688897,298.64,1.5049
2435,384855,0.0202779,388.7484040260315,-0.0334245,0.0,29.9477,1016.50876959,7,0.984674529172,298.0,1.48731
2440,386891,0.0248122,390.8014531135559,-0.0350643,0.0,6.06887,1034.11832266,5,0.99637501128,303.03,1.45517
2445,388883,0.0230485,392.8644313812256,-0.0342674,0.0,9.76199,1060.99164597,5,0.995978560299,311.27,1.40587
2451,390917,0.0240342,394.9180610179901,-0.0326092,0.0,8.74164,1074.06322361,6,0.996881123167,314.92,1.41338
2458,393121,0.0229531,396.9638845920563,-0.0375013,0.0,11.0427,1081.81297774,7,0.994731603656,317.14,1.42599
2464,395256,0.0186288,399.0188670158386,-0.0330035,0.0,4.75771,1103.57387562,6,0.997017533053,322.93,1.4538
2470,397289,0.0189878,401.08162021636963,-0.0373029,0.0,4.8222,1111.65549268,6,0.99667150341,324.78,1.4762
2475,399210,0.0193095,403.144357919693,-0.0373588,0.0,9.99127,1128.53491749,5,0.995484693907,330.11,1.48044
2481,401157,0.0219805,405.19868445396423,-0.037405,0.0,38.782,1136.96547774,6,0.981938458979,333.15,1.44765
2488,403321,0.0252303,407.2334358692169,-0.0381426,0.0,9.12741,1135.85688979,7,0.996049039066,331.99,1.42906
2496,405456,0.0196645,409.3009777069092,-0.0307523,0.0,9.86997,1116.08047523,8,0.996997334994,325.94,1.42507
2501,407463,0.0151569,411.3391070365906,-0.0361096,0.0,7.79782,1139.45522949,5,0.996684098849,332.5,1.38796
2508,409357,0.01716,413.3859097957611,-0.0386721,0.0,66.6453,1131.25842547,7,0.965536274016,331.23,1.38328
2514,411294,0.0215562,415.43267583847046,-0.0326103,0.0,12.3355,1135.16241309,6,0.994530754164,332.51,1.37249
2521,413656,0.0257453,417.4805414676666,-0.0455247,0.0,9.32594,1143.50377479,7,0.996624619933,335.77,1.37398
2527,415452,0.0220536,419.5288681983948,-0.0461187,0.0,12.2361,1124.31563906,6,0.995151425246,330.3,1.34628
2533,417611,0.0216481,421.59612131118774,-0.0387348,0.0,7.19033,1140.14451513,6,0.996449067257,334.54,1.35698
2539,419570,0.0246969,423.64373803138733,-0.0390657,0.0,21.0309,1122.91373982,6,0.991834403947,329.89,1.32075
2546,421601,0.0238852,425.67482113838196,-0.0379335,0.0,5.02051,1105.23276759,7,0.997822187841,324.19,1.31441
