loss_ent,TimeElapsed,TimestepsSoFar,EpRewMean,loss_pol_entpen,loss_pol_surr,loss_vf_loss,loss_kl,ev_tdlam_before,EpLenMean,EpThisIter,EpisodesSoFar
3.94367,353.51237750053406,349944,815.092181835,0.0,-0.0598523,53.2417,0.0266375,0.966004408896,263.43,7,2090
3.94461,355.57394766807556,352080,820.119005706,0.0,-0.0503395,71.3012,0.0237763,0.950864337385,265.08,8,2098
3.91721,357.6297914981842,354301,829.820401126,0.0,-0.0587024,90.311,0.0286099,0.959668610245,267.8,8,2106
3.88719,359.71157026290894,356304,839.675777564,0.0,-0.0572137,47.6643,0.0281203,0.972348321229,270.08,7,2113
3.87944,361.7624042034149,358152,840.969509479,0.0,-0.0381428,272.877,0.0164091,0.867023795843,270.94,7,2120
3.88634,363.8247444629669,360432,849.47334916,0.0,-0.0468005,75.4307,0.0312515,0.941909082234,273.12,8,2128
3.84108,365.87203884124756,362335,850.558154614,0.0,-0.054125,105.927,0.0287277,0.960769206285,274.12,7,2135
3.81501,367.93439865112305,364372,869.090111669,0.0,-0.0534582,70.5383,0.0280735,0.958526786417,279.38,6,2141
3.7964,369.9967179298401,366340,875.945571547,0.0,-0.0610974,45.6311,0.026687,0.977557893842,281.33,7,2148
3.70761,372.05910301208496,368577,887.309185057,0.0,-0.0607369,58.0346,0.03062,0.975658504292,284.49,7,2155
3.66203,374.1235918998718,370270,895.800208022,0.0,-0.0615207,74.6015,0.0236555,0.965471245348,286.87,5,2160
3.61002,376.15686559677124,372507,902.361194868,0.0,-0.0598311,36.0617,0.0288665,0.977727413177,288.37,7,2167
3.5968,378.2383077144623,374473,912.149409882,0.0,-0.0644718,42.8661,0.0265186,0.980016440153,290.9,6,2173
3.58459,380.28621077537537,376644,922.17001958,0.0,-0.061958,54.3495,0.0270261,0.977239705622,293.56,7,2180
3.54998,382.3401765823364,378652,928.012201848,0.0,-0.0606876,116.65,0.0274301,0.930572129786,295.07,7,2187
3.52979,384.38880372047424,380719,934.672274528,0.0,-0.0620452,88.9279,0.0279282,0.962554261088,297.24,7,2194
3.47779,386.4498453140259,382628,946.745698865,0.0,-0.0542238,79.2154,0.0308344,0.957534816116,300.04,6,2200
3.4879,388.5146050453186,384987,970.831886974,0.0,-0.0620692,80.1908,0.0281213,0.960884619504,306.86,6,2206
3.54214,390.56339955329895,386977,978.770792875,0.0,-0.0621381,51.277,0.0274111,0.972935250029,309.22,6,2212
3.57383,392.62967252731323,388956,994.842701687,0.0,-0.0582683,80.6786,0.0292229,0.964570119977,313.33,6,2218
3.55024,394.68018913269043,391066,1009.18615849,0.0,-0.0652823,77.6676,0.0253569,0.943614721298,317.61,6,2224
3.49482,396.747168302536,393154,1019.46811021,0.0,-0.0528095,267.805,0.0242702,0.847907423973,320.35,6,2230
3.46197,398.79633593559265,394949,1040.3585726,0.0,-0.0514791,132.413,0.0300729,0.911744512618,326.14,5,2235
3.46184,400.86467695236206,396737,1041.73652125,0.0,-0.0654319,81.214,0.0282858,0.959410745651,326.24,5,2240
3.42842,402.90703558921814,399158,1071.95981969,0.0,-0.060393,76.3621,0.0279868,0.941203050315,333.13,6,2246
3.40784,404.9580318927765,401222,1083.14149802,0.0,-0.0642291,87.4125,0.0257892,0.948874406517,336.24,6,2252
3.37146,407.0047516822815,403424,1083.41563594,0.0,-0.0629373,88.3142,0.037793,0.955888036638,336.67,6,2258
3.35424,409.05039501190186,405180,1095.29919902,0.0,-0.0499619,187.41,0.0225108,0.863016754389,340.06,5,2263
3.33642,411.1293041706085,407143,1092.86064481,0.0,-0.0676702,88.2578,0.0298697,0.955090325326,339.74,6,2269
3.31155,413.1765260696411,409504,1121.00725687,0.0,-0.0584303,88.9685,0.032873,0.937366269529,347.07,5,2274
