loss_pol_surr,loss_kl,EpRewMean,EpLenMean,loss_vf_loss,EpisodesSoFar,EpThisIter,loss_ent,TimestepsSoFar,loss_pol_entpen,ev_tdlam_before,TimeElapsed
-0.00645188,0.00646138,952.87,952.87,102.515,1104,3,0.93036,419819,0.0,-0.0282000303268,328.8241436481476
-0.0070469,0.00730682,952.87,952.87,68.4762,1106,2,0.932139,421819,0.0,-0.0013325214386,330.4333634376526
-0.00662424,0.007823,952.87,952.87,68.8023,1108,2,0.928236,423819,0.0,-0.000638961791992,332.0350661277771
-0.00947938,0.00675963,952.87,952.87,68.177,1110,2,0.92115,425819,0.0,0.00507289171219,333.6445121765137
-0.00426485,0.00763772,952.87,952.87,67.6692,1112,2,0.94566,427819,0.0,-0.0106109380722,335.2381830215454
-0.00589122,0.00485614,952.87,952.87,67.8377,1114,2,0.903763,429819,0.0,-0.0120562314987,336.8400459289551
-0.00508073,0.0070469,952.87,952.87,66.7322,1116,2,0.916847,431819,0.0,-0.0108208656311,338.44013953208923
-0.0127667,0.00980964,952.87,952.87,67.4354,1118,2,0.918959,433819,0.0,0.0154041051865,340.03911781311035
-0.0119224,0.00908274,952.87,952.87,67.4084,1120,2,0.927408,435819,0.0,0.00514125823975,341.6444127559662
-0.010667,0.0149225,952.87,952.87,66.7942,1122,2,0.92614,437819,0.0,0.00758796930313,343.2376594543457
-0.00543481,0.00468174,964.81,964.81,56.8457,1124,2,0.920786,439819,0.0,0.0753475427628,344.83857250213623
-0.00845918,0.00556735,964.81,964.81,69.4303,1126,2,0.89645,441819,0.0,-0.0125869512558,346.4341425895691
-0.00451926,0.00790303,964.81,964.81,68.3889,1128,2,0.922642,443819,0.0,0.0233381390572,348.03526163101196
-0.00399871,0.00907419,967.69,967.69,68.1595,1130,2,0.92086,445819,0.0,0.0167765021324,349.6287913322449
-0.00667179,0.00855278,967.69,967.69,68.9393,1132,2,0.928715,447819,0.0,0.00873529911041,351.23767852783203
-0.00668464,0.0202919,967.69,967.69,69.1822,1134,2,0.909244,449819,0.0,-0.00816631317139,352.8385682106018
-0.00813156,0.0103451,971.31,971.31,68.0472,1136,2,0.918147,451819,0.0,0.00798261165619,354.4499943256378
-0.0055092,0.0125752,983.44,983.44,66.6732,1138,2,0.915845,453819,0.0,-0.0191713571548,356.035489320755
-0.00576821,0.00325067,983.44,983.44,68.3988,1140,2,0.906673,455819,0.0,-0.00194895267487,357.6447105407715
-0.00587031,0.00558568,983.44,983.44,68.8596,1142,2,0.89267,457819,0.0,-0.0124362707138,359.253538608551
-0.00283762,0.00521879,987.62,987.62,68.8308,1144,2,0.895822,459819,0.0,-0.0228655338287,360.8388001918793
-0.00492712,0.00864937,987.62,987.62,97.0694,1147,3,0.920706,462819,0.0,0.00260299444199,362.44920325279236
-0.00435639,0.00614019,987.62,987.62,66.1098,1149,2,0.910385,464819,0.0,0.0206807851791,364.05031871795654
-0.00895472,0.00874795,987.62,987.62,67.1849,1151,2,0.902006,466819,0.0,-0.0102009773254,365.66064453125
-0.00429116,0.00433972,987.62,987.62,65.9632,1153,2,0.903698,468819,0.0,0.0185847878456,367.2527606487274
-0.00701144,0.00909457,987.62,987.62,61.8437,1155,2,0.892191,470819,0.0,0.078758597374,368.8626046180725
-0.00715981,0.00887461,994.46,994.46,69.5349,1157,2,0.88592,472819,0.0,-0.0273792743683,370.4579849243164
