EpLenMean,loss_kl,loss_vf_loss,loss_pol_entpen,EpThisIter,EpRewMean,TimestepsSoFar,loss_pol_surr,loss_ent,ev_tdlam_before,TimeElapsed,EpisodesSoFar
985.23,0.00781221,68.6791,0.0,2,985.23,406921,-0.00834964,1.2394,-0.00357604026794,319.21884775161743,1185
985.23,0.00880143,68.6878,0.0,2,985.23,408921,-0.0063191,1.23641,-0.00135886669159,320.8278224468231,1187
967.93,0.00484806,119.997,0.0,4,967.93,411191,-0.00858615,1.20829,-0.00531756877899,322.4225308895111,1191
967.93,0.00500348,66.2342,0.0,2,967.93,413191,-0.00700079,1.19695,0.00310206413269,324.031537771225,1193
967.93,0.00767283,66.5241,0.0,2,967.93,415191,-0.00787733,1.20096,-0.0139875411987,325.64051365852356,1195
953.52,0.0103588,119.096,0.0,4,953.52,417750,-0.0125781,1.19192,0.0194338560104,327.234947681427,1199
953.52,0.00919488,66.1845,0.0,2,953.52,419750,-0.00432727,1.19173,-0.0118581056595,328.84412932395935,1201
960.35,0.006077,65.5548,0.0,2,960.35,421750,-0.00832448,1.19601,0.0116685628891,330.4388732910156,1203
960.35,0.00945217,67.3896,0.0,2,960.35,423750,-0.00545761,1.21516,0.0247265696526,332.031418800354,1205
960.35,0.00521494,68.6312,0.0,2,960.35,425750,-0.00685062,1.23272,0.0141307115555,333.6262562274933,1207
960.35,0.00866253,68.2909,0.0,2,960.35,427750,-0.00617951,1.23564,0.0225659608841,335.2346329689026,1209
944.7,0.00820155,83.3144,0.0,3,944.7,429185,-0.0142147,1.24287,0.0321686267853,336.84401845932007,1212
940.69,0.00624331,94.3985,0.0,3,940.69,431784,-0.00842087,1.22708,0.0638776421547,338.4400780200958,1215
931.72,0.00690093,100.03,0.0,3,931.72,433887,-0.0101858,1.20715,0.0123062729836,340.0466899871826,1218
925.88,0.00591323,64.9729,0.0,2,925.88,435303,-0.00626274,1.21281,0.00307905673981,341.64042377471924,1220
925.88,0.00576054,68.1981,0.0,2,925.88,437303,-0.00691411,1.21855,-0.0197846889496,343.2494478225708,1222
922.92,0.00745283,97.2414,0.0,3,922.92,440007,-0.00636469,1.21263,-0.00637257099152,344.8438172340393,1225
922.92,0.00726119,60.5161,0.0,2,922.92,442007,-0.00622267,1.2033,-0.0338319540024,346.4375309944153,1227
922.92,0.0085374,67.2089,0.0,2,922.92,444007,-0.00675116,1.19969,-0.0548888444901,348.0476007461548,1229
914.71,0.00334889,92.9745,0.0,3,914.71,446186,-0.00572104,1.19274,0.0548542737961,349.64006781578064,1232
914.71,0.00614723,64.9502,0.0,2,914.71,448186,-0.00487598,1.1983,-0.0020170211792,351.23520946502686,1234
914.71,0.0113908,66.1038,0.0,2,914.71,450186,-0.00920024,1.21188,0.00328183174133,352.84438252449036,1236
914.71,0.00805357,62.5387,0.0,2,914.71,452186,-0.0109418,1.21942,-0.00470757484436,354.4527111053467,1238
914.71,0.00376245,67.908,0.0,2,914.71,454186,-0.00315627,1.22532,-0.0183663368225,356.05633568763733,1240
914.71,0.0107206,61.7526,0.0,2,914.71,456186,-0.00684799,1.23326,0.0363239049911,357.6401147842407,1242
920.0,0.00631842,65.8347,0.0,2,920.0,458186,-0.00862478,1.23002,0.0219421982765,359.25016832351685,1244
903.79,0.00561182,122.026,0.0,4,903.79,460565,-0.0085078,1.22878,0.00774943828583,360.84476232528687,1248
899.94,0.00799942,63.4321,0.0,2,899.94,462180,-0.00972529,1.2268,0.0997741818428,362.48540115356445,1250
895.73,0.0060535,97.6749,0.0,3,895.73,464759,-0.00712,1.21146,0.0572520494461,364.078449010849,1253
887.39,0.00974045,94.473,0.0,3,887.39,466925,-0.00941124,1.19649,0.0386563539505,365.68790221214294,1256
887.39,0.00817332,66.727,0.0,2,887.39,468925,-0.00795812,1.18666,0.00659054517746,367.28126287460327,1258
887.39,0.00341966,67.2566,0.0,2,887.39,470925,-0.00444705,1.18638,-0.0203747749329,368.8746290206909,1260
