TimestepsSoFar,ev_tdlam_before,EpisodesSoFar,EpRewMean,loss_pol_surr,loss_pol_entpen,EpThisIter,loss_ent,loss_kl,TimeElapsed,EpLenMean,loss_vf_loss
298178,0.032503426075,1019,941.63,-0.00559508,0.0,2,1.07959,0.00777055,235.61833310127258,941.63,66.1683
300178,0.0023917555809,1021,941.63,-0.00246858,0.0,2,1.07878,0.0045159,237.24332785606384,941.63,68.0235
302178,-0.00969624519348,1023,941.63,-0.00151073,0.0,2,1.08101,0.00213596,238.8553659915924,941.63,67.6014
304178,-0.00728952884674,1025,950.59,-0.00581806,0.0,2,1.08426,0.00625704,240.46496868133545,950.59,68.6619
307178,0.00409936904907,1028,958.99,-0.00604195,0.0,3,1.08587,0.00971348,242.0743396282196,958.99,98.0623
309178,0.00122594833374,1030,958.99,-0.0103899,0.0,2,1.07907,0.0133634,243.69933462142944,958.99,58.588
310718,0.266938567162,1032,954.39,-0.0066227,0.0,2,1.06549,0.0042381,245.30870413780212,954.39,55.9082
312846,0.662979632616,1035,945.67,-0.0111017,0.0,3,1.05203,0.00424673,246.91807532310486,945.67,43.138
314404,0.631630450487,1037,941.25,-0.0076011,0.0,2,1.06671,0.00530889,248.52744555473328,941.25,37.2393
317404,0.16949659586,1040,941.25,-0.00615843,0.0,3,1.0579,0.0119099,250.15244007110596,941.25,82.0132
319404,0.00172412395477,1042,946.98,-0.00414591,0.0,2,1.05139,0.0123723,251.76429867744446,946.98,69.143
321404,0.007463991642,1044,946.98,-0.00237112,0.0,2,1.052,0.00237073,253.37283325195312,946.98,69.704
323404,0.0129348635674,1046,946.98,-0.00712911,0.0,2,1.04338,0.00680019,255.0070722103119,946.98,67.8126
325404,0.0420818328857,1048,951.49,-0.00532247,0.0,2,1.02804,0.0154135,256.6210424900055,951.49,67.5606
326827,0.0850301384926,1051,944.26,-0.0098735,0.0,3,1.0028,0.0050217,258.23041248321533,944.26,94.7716
328827,0.363222956657,1053,944.26,-0.00594076,0.0,2,1.00509,0.00688118,259.86544728279114,944.26,55.5739
330827,-0.0313835144043,1055,944.26,-0.00740546,0.0,2,0.987398,0.00732996,261.4768314361572,944.26,70.1924
