loss_pol_entpen,loss_ent,EpLenMean,EpThisIter,EpRewMean,loss_pol_surr,EpisodesSoFar,loss_kl,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_vf_loss
0.0,-0.501955,769.7,2,7172.02984064,-0.0072519,4441,0.0134471,334.53450632095337,387005,-0.0175222158432,5896.72
0.0,-0.530283,753.23,3,7018.48460373,0.00383609,4444,0.0416552,336.285715341568,388358,0.382876813412,5334.97
0.0,-0.546938,753.23,2,7018.42561691,-0.00400523,4446,0.017617,338.0506429672241,390358,-0.124629855156,5955.47
0.0,-0.530466,766.7,2,7144.02408359,-0.00931641,4448,0.0374932,339.79769134521484,392358,-0.00901234149933,5892.29
0.0,-0.530572,774.51,2,7216.92578785,-0.00837434,4450,0.0160403,341.573579788208,394358,-0.00129389762878,5899.55
0.0,-0.523432,785.02,2,7314.98902512,-0.0101966,4452,0.0146066,343.32448530197144,396358,0.000220119953156,5900.77
0.0,-0.512988,802.36,3,7476.84713401,-0.00933659,4455,0.0152643,345.0913152694702,399358,-0.0107043981552,8743.65
0.0,-0.508068,796.06,2,7418.2151407,-0.0104876,4457,0.0214969,346.85163950920105,400728,0.433207631111,3948.46
0.0,-0.509501,796.06,2,7418.42993072,-0.00677436,4459,0.0286774,348.62213945388794,402728,-0.0529382228851,5895.51
0.0,-0.495686,802.63,2,7479.86474878,-0.00302693,4461,0.00679354,350.3962368965149,404728,-0.000968217849731,5901.71
0.0,-0.481976,819.57,3,7637.95533212,-0.00944971,4464,0.00964501,352.151255607605,407145,0.303623914719,7259.57
0.0,-0.489982,814.9,3,7594.57936526,-0.00679126,4467,0.0124778,353.9097378253937,408766,0.568750858307,3590.34
0.0,-0.495587,822.05,3,7661.46314076,0.00938938,4470,0.0615418,355.6759054660797,411434,0.552632123232,5975.56
0.0,-0.489881,820.11,2,7643.57776752,-0.00998976,4472,0.0494183,357.44003987312317,413240,0.469807744026,3973.19
0.0,-0.486478,824.32,2,7683.04480453,-0.00491896,4474,0.021614,359.1906397342682,415240,-0.00580549240112,5910.3
0.0,-0.47352,824.32,2,7683.27010198,-0.0050246,4476,0.0280833,360.9568374156952,417240,-0.0187534093857,5881.97
0.0,-0.462994,829.57,2,7732.52213914,-0.00955148,4478,0.01311,362.7323224544525,419240,-0.02969789505,5914.81
0.0,-0.459687,844.59,2,7872.78048143,-0.00779813,4480,0.015982,364.4945845603943,421240,-0.00579333305359,5901.12
0.0,-0.457397,858.94,2,8006.78667925,-0.00630936,4482,0.0218649,366.27727341651917,423240,0.000595390796661,5900.79
0.0,-0.465723,874.52,2,8152.28206838,-0.00898849,4484,0.0116827,368.0269367694855,425240,-0.000249028205872,5915.85
0.0,-0.474819,877.82,2,8183.31613188,-0.0124917,4486,0.017193,369.8005623817444,427039,0.318542838097,4513.4
0.0,-0.456213,870.41,4,8114.64483593,-0.00925408,4490,0.00799519,371.5509901046753,429847,0.295857489109,5163.52
0.0,-0.471855,874.1,2,8149.2883578,-0.00691223,4492,0.00921196,373.3150427341461,431847,0.0149303078651,4911.4
0.0,-0.468434,866.61,3,8079.74840968,-0.0121562,4495,0.00829194,375.0664155483246,433716,0.630863815546,4169.24
0.0,-0.496631,862.33,2,8039.9683233,-0.0159545,4497,0.0104427,376.83158326148987,435225,0.6253079772,3442.45
0.0,-0.505465,857.84,3,7998.42863525,-0.00478212,4500,0.0249366,378.58907532691956,437776,0.324359953403,5785.12
0.0,-0.493376,857.84,2,7998.80992984,-0.00637553,4502,0.00674903,380.33946084976196,439776,-0.01728951931,5948.29
0.0,-0.489737,857.84,2,7999.20265804,-0.00865473,4504,0.00995005,382.1136305332184,441776,-0.00750708580017,5951.48
0.0,-0.462305,857.84,2,7999.53592375,-0.00405243,4506,0.00538342,383.8639979362488,443776,-0.000743389129639,5949.47
0.0,-0.457178,862.68,3,8045.19642491,-0.00401711,4509,0.0215256,385.62112379074097,446410,0.389277040958,5739.37
