EpRewMean,EpisodesSoFar,loss_vf_loss,ev_tdlam_before,loss_ent,loss_pol_surr,EpLenMean,loss_pol_entpen,EpThisIter,TimestepsSoFar,loss_kl,TimeElapsed
1000.0,971,94.9755,-0.00394403934479,0.84205,-0.00763725,1000.0,0.0,3,266204,0.0129186,213.68747639656067
1000.0,973,68.6913,-0.00670158863068,0.843922,-0.00468135,1000.0,0.0,2,268204,0.0106262,215.329106092453
1000.0,975,68.5675,-0.0013210773468,0.861902,-0.00379388,1000.0,0.0,2,270204,0.00825091,216.96940445899963
1000.0,977,68.4923,-0.00118362903595,0.86383,-0.00229895,1000.0,0.0,2,272204,0.0157362,218.6096920967102
1000.0,979,67.4675,-0.000752210617065,0.879304,-0.00616697,1000.0,0.0,2,274204,0.00996793,220.2498242855072
1000.0,981,68.2971,-0.00182473659515,0.879478,-0.00355647,1000.0,0.0,2,276204,0.00380723,221.89015865325928
1000.0,983,68.3291,-0.00595808029175,0.887081,-0.00325826,1000.0,0.0,2,278204,0.00409676,223.53600478172302
996.77,985,46.4507,0.0567036867142,0.90729,-0.00536858,996.77,0.0,2,279881,0.00405682,225.17223381996155
961.9,991,119.698,0.205564320087,0.883663,-0.0134143,961.9,0.0,6,282394,0.00982411,226.8126368522644
961.9,993,68.5738,-0.0560230016708,0.876878,-0.00523354,961.9,0.0,2,284394,0.00589379,228.4527463912964
961.9,995,59.4369,0.0165933966637,0.874697,-0.00756032,961.9,0.0,2,286394,0.012082,230.09429168701172
961.9,997,69.6679,-0.0232005119324,0.887865,-0.00450802,961.9,0.0,2,288394,0.00766774,231.7201099395752
961.9,999,70.1193,-0.0705939531326,0.896143,-0.00400253,961.9,0.0,2,290394,0.00422527,233.3655881881714
961.9,1001,68.9617,-0.00624144077301,0.889179,-0.00444032,961.9,0.0,2,292394,0.00589935,234.99406599998474
961.9,1003,68.8327,0.00136214494705,0.897434,-0.00588437,961.9,0.0,2,294394,0.00408846,236.6441843509674
954.82,1006,92.6203,0.0708342194557,0.894739,-0.0096926,954.82,0.0,3,296686,0.0146949,238.28129482269287
954.82,1008,60.8105,0.00345551967621,0.893071,-0.00971594,954.82,0.0,2,298686,0.0139165,239.92225670814514
954.82,1010,68.3377,-0.0568069219589,0.889492,-0.00547503,954.82,0.0,2,300686,0.00418392,241.56391501426697
954.82,1012,67.7425,-0.00609445571899,0.898481,-0.00431561,954.82,0.0,2,302686,0.00992842,243.20340824127197
954.82,1014,67.8648,-0.00479018688202,0.877395,-0.00909795,954.82,0.0,2,304686,0.00893645,244.8593533039093
954.82,1016,66.5247,0.00767773389816,0.901336,-0.00821776,954.82,0.0,2,306686,0.00777971,246.49959921836853
954.82,1018,68.4897,-0.00384640693665,0.915319,-0.00663466,954.82,0.0,2,308686,0.00891493,248.14073729515076
954.82,1020,61.0011,0.0526323318481,0.901979,-0.00953101,954.82,0.0,2,310686,0.0123786,249.78251433372498
954.82,1022,67.9175,-0.0147513151169,0.896316,-0.00889476,954.82,0.0,2,312686,0.0122974,251.422114610672
954.82,1024,68.9918,-0.00798714160919,0.888597,-0.00718596,954.82,0.0,2,314686,0.0119936,253.0470268726349
954.82,1026,68.9387,-0.00424325466156,0.869326,-0.00366701,954.82,0.0,2,316686,0.00841266,254.68746161460876
954.82,1028,68.8204,-0.00417327880859,0.85923,-0.00352042,954.82,0.0,2,318686,0.00405,256.31275725364685
954.82,1030,67.7506,0.00240993499756,0.859655,-0.00737913,954.82,0.0,2,320686,0.010398,257.9536008834839
954.82,1032,67.4961,0.00768423080444,0.847981,-0.00422418,954.82,0.0,2,322686,0.00675884,259.60451197624207
954.82,1034,68.5469,-0.00913143157959,0.838722,-0.00394688,954.82,0.0,2,324686,0.0088336,261.2344100475311
954.82,1036,57.3004,0.0212316513062,0.839676,-0.00787864,954.82,0.0,2,326686,0.00456205,262.8904299736023
