loss_pol_surr,loss_kl,loss_ent,EpThisIter,TimeElapsed,EpLenMean,ev_tdlam_before,loss_vf_loss,loss_pol_entpen,EpRewMean,EpisodesSoFar,TimestepsSoFar
-0.0356276,0.0266105,0.880224,2,334.5790047645569,1000.0,0.124550700188,112.804,0.0,1146.04512294,380,380000
-0.0355679,0.024702,0.856537,2,336.37727761268616,1000.0,0.0988461375237,121.345,0.0,1147.65945053,382,382000
-0.0475814,0.0333272,0.822071,3,338.1720242500305,1000.0,0.351038515568,172.575,0.0,1150.41557854,385,385000
-0.0448183,0.0290983,0.794983,2,339.9847011566162,1000.0,0.496949970722,119.451,0.0,1150.48975206,387,387000
-0.0360327,0.0314308,0.790446,2,341.7657973766327,1000.0,0.087050318718,122.792,0.0,1152.62290267,389,389000
-0.0362667,0.0333104,0.772379,2,343.5628056526184,1000.0,0.0987245440483,120.807,0.0,1155.05831135,391,391000
-0.0432876,0.028051,0.741186,2,345.3442986011505,1000.0,0.125061511993,119.924,0.0,1155.0230971,393,393000
-0.0469587,0.0325737,0.727279,2,347.14056158065796,1000.0,0.536240339279,124.858,0.0,1154.66652993,395,395000
-0.0365395,0.0325268,0.707824,2,348.9384262561798,1000.0,0.149661958218,118.632,0.0,1157.82860433,397,397000
-0.0359789,0.0264141,0.72962,2,350.7344446182251,1000.0,0.0854682922363,117.592,0.0,1159.79154145,399,399000
0.0139825,1.25914,0.762463,2,352.54785919189453,1000.0,0.0669937729836,115.753,0.0,1160.50112686,401,401000
-0.0373521,0.0271388,0.739351,2,354.34401965141296,1000.0,0.16410946846,106.947,0.0,1166.85865516,403,403000
-0.0368823,0.0241898,0.739836,2,356.1251382827759,1000.0,0.0426962375641,100.651,0.0,1174.41821692,405,405000
-0.0374631,0.0218562,0.736336,2,357.9234640598297,1000.0,0.0379992127419,100.501,0.0,1171.66869231,407,407000
-0.0375871,0.0243895,0.762701,2,359.72011375427246,1000.0,0.0157567858696,93.1984,0.0,1170.22497528,409,409000
-0.0402307,0.0267463,0.719248,2,361.50779724121094,1000.0,0.0531887412071,89.7319,0.0,1175.79660453,411,411000
-0.0389224,0.0197389,0.697561,2,363.2981803417206,1000.0,0.0677042603493,89.4339,0.0,1174.94973431,413,413000
-0.035026,0.0288222,0.651443,2,365.0951657295227,1000.0,0.0796881318092,83.4053,0.0,1171.33074989,415,415000
-0.0394808,0.0285674,0.649824,2,366.8753077983856,1000.0,0.0350365638733,83.6567,0.0,1169.65159157,417,417000
-0.0380668,0.0273707,0.614539,2,368.6730442047119,1000.0,0.0457201004028,86.6023,0.0,1168.78755607,419,419000
-0.0360815,0.0293088,0.579673,2,370.47650814056396,1000.0,0.0581341385841,86.9018,0.0,1166.24140311,421,421000
